intent_type,phrase,label
acknowledge,I would feel the same in your situation but we will sort this out,ACK_HELP_POS
acknowledge,I know how frustrating it can be let us see how I can help you,ACK_SYMPATHISE
acknowledge,I completely understand how frustrating it is,ACK_SYMPATHISE
acknowledge,I appreciate how difficult it is to,ACK_SYMPATHISE
acknowledge,We will work to resolve the problem,ACK_HELP_POS
acknowledge,We will be in touch shortly,ACK_SYMPATHISE
acknowledge,We are keen to resolve this as much as you are,ACK_SYMPATHISE
acknowledge,If I were in your position I would feel exactly the same,ACK_SYMPATHISE
acknowledge,I appreciate you bringing this to our attention,ACK_SYMPATHISE
acknowledge,I will contact you as soon as we have had an update,ACK_SYMPATHISE
acknowledge,Definitely you are making perfect sense,ACK_SYMPATHISE
acknowledge,I can assure you that this will absolutely happen,ACK_SYMPATHISE
acknowledge,We will help you get this issue resolved,ACK_HELP_POS
acknowledge,Apologies for the wait I appreciate your patience,ACK_SYMPATHISE
acknowledge,Do not worry I can see why you did that,ACK_SYMPATHISE
acknowledge,Yes that would certainly frustrate me too,ACK_SYMPATHISE
acknowledge,What I would do in this situation is,ASK_SUGGEST
acknowledge,How do you feel about,ASK_SUGGEST
acknowledge,I know others who have been in your situation and what we did to successfully help them was,ACK_HELP_POS
acknowledge,Just so we know what we are aiming for what would be the best case scenario for you,ASK_SUGGEST
acknowledge,Absolutely I can certainly fix that for you,ACK_HELP_POS
acknowledge,I will quickly put this into action for you and then everything will be back to normal,ACK_HELP_POS
acknowledge,Just so I can clarify and help you,ACK_HELP_POS
acknowledge,I am afraid that we cannot offer you,ACK_HELP_NEG
acknowledge,I am going to take care of this for you,ACK_HELP_POS
acknowledge,That does sound frustrating let us see what I can do to help,ACK_HELP_POS
acknowledge,Alright,ACK_POS
acknowledge,Interesting,ACK_POS
address,Sir,ADDRESS_FORMAL
address,Miss,ADDRESS_FORMAL
address,Ms,ADDRESS_FORMAL
address,Ma’am,ADDRESS_FORMAL
address,Mam,ADDRESS_FORMAL
address,Mister,ADDRESS_FORMAL
address,Missus,ADDRESS_FORMAL
address,Mrs,ADDRESS_FORMAL
address,Mr,ADDRESS_FORMAL
address,Madame,ADDRESS_FORMAL
address,Lady,ADDRESS_FORMAL
address,Mousier,ADDRESS_FORMAL
address,Mademoiselle,ADDRESS_FORMAL
address,Senor,ADDRESS_FORMAL
address,Senorita,ADDRESS_FORMAL
address,Doctor,ADDRESS_PROFESSIONAL
address,Professor,ADDRESS_PROFESSIONAL
address,General,ADDRESS_PROFESSIONAL
address,Sergeant,ADDRESS_PROFESSIONAL
address,Lieutenant,ADDRESS_PROFESSIONAL
address,Major,ADDRESS_PROFESSIONAL
address,Officer,ADDRESS_PROFESSIONAL
address,Governor,ADDRESS_PROFESSIONAL
address,Senator,ADDRESS_PROFESSIONAL
address,Captain,ADDRESS_PROFESSIONAL
address,Representative,ADDRESS_PROFESSIONAL
address,Judge,ADDRESS_PROFESSIONAL
address,Attorney General,ADDRESS_PROFESSIONAL
address,City Councilor,ADDRESS_PROFESSIONAL
address,President,ADDRESS_PROFESSIONAL
address,Vice President,ADDRESS_PROFESSIONAL
address,Waiter,ADDRESS_PROFESSIONAL
address,Honey,ADDRESS_CASUAL
address,Dear,ADDRESS_CASUAL
address,Sweetie,ADDRESS_CASUAL
address,Love,ADDRESS_CASUAL
address,Darling,ADDRESS_CASUAL
address,Babe,ADDRESS_CASUAL
address,Baby,ADDRESS_CASUAL
address,Pal,ADDRESS_CASUAL
address,Buddy,ADDRESS_CASUAL
address,Bud,ADDRESS_CASUAL
address,Bro,ADDRESS_CASUAL
address,Homie,ADDRESS_CASUAL
address,Man,ADDRESS_CASUAL
address,Brother,ADDRESS_CASUAL
address,Sis,ADDRESS_CASUAL
address,Sister,ADDRESS_CASUAL
address,Father,ADDRESS_CASUAL
address,Mom,ADDRESS_CASUAL
address,Mama,ADDRESS_CASUAL
address,Dad,ADDRESS_CASUAL
address,Daddy,ADDRESS_CASUAL
address,Everybody,ADDRESS_CASUAL
address,Guy,ADDRESS_CASUAL
address,Boys,ADDRESS_CASUAL
address,Girls,ADDRESS_CASUAL
address,Aunt,ADDRESS_CASUAL
address,Uncle,ADDRESS_CASUAL
address,Grandma,ADDRESS_CASUAL
address,Grandpa,ADDRESS_CASUAL
agree,I completely agree,AGREE_DIRECT
agree,You are absolutely right,AGREE_DIRECT
agree,I agree with you entirely,AGREE_DIRECT
agree,I totally agree with you,AGREE_DIRECT
agree,I could not agree more,AGREE_DIRECT
agree,Exactly,AGREE_DIRECT
agree,Absolutely,AGREE_DIRECT
agree,You are right,AGREE_DIRECT
agree,Me too,AGREE_DIRECT
agree,I agree,AGREE_DIRECT
agree,I see exactly what you mean,AGREE_DIRECT
agree,That is exactly what I think,AGREE_DIRECT
agree,There is no doubt about it,AGREE_DIRECT
agree,I agree up to a point but,PARTIAL_AGREE_DIRECT
agree,That is partly true but,PARTIAL_AGREE_DIRECT
agree,That may be true but,PARTIAL_AGREE_DIRECT
agree,I see your point but ,PARTIAL_AGREE_DIRECT
agree,I guess so but,PARTIAL_AGREE_DIRECT
agree,That seems obvious but,PARTIAL_AGREE_DIRECT
agree,I am not so sure about that,PARTIAL_AGREE_DIRECT
agree,I do not agree,DISAGREE_DIRECT
agree,I do not agree with you,DISAGREE_DIRECT
agree,I totally disagree,DISAGREE_DIRECT
agree,I am sorry but I disagree,DISAGREE_DIRECT
agree,Absolutely not,DISAGREE_DIRECT
agree,I am afraid I can not agree with you,DISAGREE_DIRECT
agree,That is not right,DISAGREE_DIRECT
agree,That is not always true,DISAGREE_DIRECT
agree,I do not think so,DISAGREE_DIRECT
agree,No that is not true,DISAGREE_DIRECT
agree,No way,DISAGREE_DIRECT
agree,Obviously,AGREE_DIRECT
alternative,or,ALTERNATIVE_DIRECT
alternative,either,ALTERNATIVE_DIRECT
alternative,options,ALTERNATIVE_DIRECT
alternative,option,ALTERNATIVE_DIRECT
alternative,inclusive,ALTERNATIVE_DIRECT
alternative,exclusive,ALTERNATIVE_DIRECT
alternative,excluding,ALTERNATIVE_DIRECT
alternative,precluding,ALTERNATIVE_DIRECT
alternative,exclusion,ALTERNATIVE_DIRECT
alternative,other,ALTERNATIVE_DIRECT
alternative,one or the other,ALTERNATIVE_DIRECT
alternative,thing or two,ALTERNATIVE_DIRECT
alternative,dichotomy,ALTERNATIVE_DIRECT
alternative,tradeoff,ALTERNATIVE_DIRECT
alternative,alternative,ALTERNATIVE_DIRECT
alternative,disjunction,ALTERNATIVE_DIRECT
alternative,trade off,ALTERNATIVE_DIRECT
alternative,dilemma,ALTERNATIVE_DIRECT
alternative,choice,ALTERNATIVE_DIRECT
alternative,one way or the other,ALTERNATIVE_DIRECT
alternative,conflict,ALTERNATIVE_DIRECT
alternative,conundrum,ALTERNATIVE_DIRECT
alternative,quandary,ALTERNATIVE_DIRECT
alternative,this or that,ALTERNATIVE_DIRECT
alternative,one or other,ALTERNATIVE_DIRECT
alternative,either one or the other,ALTERNATIVE_DIRECT
alternative,one or both,ALTERNATIVE_DIRECT
alternative,either or both,ALTERNATIVE_DIRECT
alternative,any,ALTERNATIVE_DIRECT
alternative,each,ALTERNATIVE_DIRECT
alternative,each and every one,ALTERNATIVE_DIRECT
alternative,each of two,ALTERNATIVE_DIRECT
alternative,each other,ALTERNATIVE_DIRECT
alternative,every last one,ALTERNATIVE_DIRECT
alternative,every one,ALTERNATIVE_DIRECT
alternative,one,ALTERNATIVE_DIRECT
alternative,one of two,ALTERNATIVE_DIRECT
alternative,this one,ALTERNATIVE_DIRECT
alternative,thing or the other,ALTERNATIVE_DIRECT
alternative,way or the other,ALTERNATIVE_DIRECT
alternative,both ways,ALTERNATIVE_DIRECT
alternative,one nor the other,ALTERNATIVE_DIRECT
alternative,both,ALTERNATIVE_DIRECT
alternative,instead,ALTERNATIVE_DIRECT
bad_news,I am afraid I have got some bad news for yous,BAD_NEWS_DIRECT
bad_news,I am so sorry but,BAD_NEWS_DIRECT
bad_news,I am sorry to have to tell you that,BAD_NEWS_DIRECT
bad_news,I know this is not what you want to hear but,BAD_NEWS_DIRECT
bad_news,I am afraid to inform you of,BAD_NEWS_DIRECT
bad_news,It is my unfortunate duty to tell you that,BAD_NEWS_DIRECT
bad_news,I really feel bad to have to say this but,BAD_NEWS_DIRECT
bad_news,I really do not know how to say it but,BAD_NEWS_DIRECT
bad_news,I am sorry to hear that,BAD_NEWS_RESPONSE
bad_news,You must be feeling terrible,BAD_NEWS_RESPONSE
bad_news,That is awful,BAD_NEWS_RESPONSE
bad_news,Too bad,BAD_NEWS_RESPONSE
bad_news,Poor you,BAD_NEWS_RESPONSE
bad_news,Please accept my deepest sympathy,BAD_NEWS_RESPONSE
bad_news,Anytime you need to talk,BAD_NEWS_RESPONSE
bad_news,If there is anything I can do just let me know,BAD_NEWS_RESPONSE
blame,It is your fault,BLAME_DIRECT
blame,It is your mistake,BLAME_DIRECT
blame,I can not believe that you,BLAME_DIRECT
blame,How could you do such a thing,BLAME_DIRECT
blame,Are you out of your mind,BLAME_DIRECT
blame,What on earth were you thinking,BLAME_DIRECT
blame,I think you are the one to blame,BLAME_DIRECT
blame,I think you are the one who could have,BLAME_DIRECT
blame,It must have been you who did it,BLAME_DIRECT
blame,I think you are the only person who could have,BLAME_DIRECT
blame,You must be doing something wrong,BLAME_DIRECT
blame,I am sorry It is my fault,BLAME_ACCEPT
blame,I am sorry for the things I have done,BLAME_ACCEPT
blame,I am really sorry I did not mean to,BLAME_ACCEPT
blame,Sorry for my fault,BLAME_ACCEPT
blame,It is my responsibility I am sorry,BLAME_ACCEPT
blame,You are right It is my fault I am sorry,BLAME_ACCEPT
blame,It is not true,BLAME_REJECT
blame,It is not my fault,BLAME_REJECT
blame,I am not the one to blame,BLAME_REJECT
blame,I did not do it,BLAME_REJECT
blame,You are wrong It was not me,BLAME_REJECT
bye,Goodbye,BYE_FORMAL
bye,Farewell,BYE_FORMAL
bye,Have a good day,BYE_FORMAL
bye,Have a nice day,BYE_FORMAL
bye,Take care,BYE_FORMAL
bye,Have a great day,BYE_FORMAL
bye,Bye,BYE_FORMAL
bye,Bye Bye,BYE_FORMAL
bye,See you later,BYE_INFORMAL
bye,Talk to you later,BYE_INFORMAL
bye,Have a good one,BYE_FORMAL
bye,So long,BYE_INFORMAL
bye,All right then,BYE_FORMAL
bye,Catch you later,BYE_INFORMAL
bye,Peace out,BYE_INFORMAL
bye,Peace,BYE_INFORMAL
bye,I am out,BYE_INFORMAL
bye,Adios,BYE_FORMAL
bye,Ciao,BYE_FORMAL
bye,Au revoir,BYE_FORMAL
bye,Sayonara,BYE_FORMAL
bye,Take it easy,BYE_INFORMAL
bye,See you soon,BYE_INFORMAL
bye,Talk to you soon,BYE_INFORMAL
bye,It was nice talking to you,BYE_FORMAL
bye,Good day,BYE_FORMAL
bye,Good evening,BYE_FORMAL
bye,Good night,BYE_FORMAL
bye,Cheers,BYE_FORMAL
bye,Cheerio,BYE_FORMAL
bye,Have a wonderful day,BYE_FORMAL
clear,Do you understand,ASK_IF_CLEAR
clear,Are you following,ASK_IF_CLEAR
clear,Do you get it,ASK_IF_CLEAR
clear,Do you comprehend,ASK_IF_CLEAR
clear,Any questions,ASK_IF_CLEAR
clear,Got it,ASK_IF_CLEAR
clear,I do not get it,UNCLEAR
clear,Sorry I did not get,UNCLEAR
clear,What do you mean,UNCLEAR
clear,I am not sure I got your point,UNCLEAR
clear,I beg your pardon but I do not quite understand,UNCLEAR
clear,I do not quite follow,UNCLEAR
clear,I am sorry I do not understand what you mean,UNCLEAR
clear,Sorry I did not quite hear what you said,UNCLEAR
clear,Could you clarify that,ASK_TO_CLEAR
clear,Could you explain that,ASK_TO_CLEAR
clear,What do you mean by that,ASK_TO_CLEAR
clear,Could you say that again,ASK_TO_CLEAR
clear,Could you repeat,ASK_TO_CLEAR
clear,Could you put it differently,ASK_TO_CLEAR
clear,Sorry let me explain,CLARIFYING
clear,Let me clarify,CLARIFYING
clear,To put it differently,CLARIFYING
clear,Let me put it in another way,CLARIFYING
clear,I see,CLEAR_DIRECT
clear,I understand,CLEAR_DIRECT
clear,I got it,CLEAR_DIRECT
clear,Okay I got what you mean,CLEAR_DIRECT
clear,I understand what you mean,CLEAR_DIRECT
clear,I get it,CLEAR_DIRECT
complaint,I am sorry to say this but,COMPLAINT_DIRECT
complaint,I hate to tell you but,COMPLAINT_DIRECT
complaint,I am angry about,COMPLAINT_DIRECT
complaint,I have a complaint to make,COMPLAINT_DIRECT
complaint,There seems to be a problem with,COMPLAINT_DIRECT
complaint,I am afraid there is a slight problem with,COMPLAINT_DIRECT
complaint,Sorry to bother you but,COMPLAINT_DIRECT
complaint,I am not satisfied with,COMPLAINT_DIRECT
complaint,Would not be a good idea to,COMPLAINT_DIRECT
complaint,There appears to be something wrong with,COMPLAINT_DIRECT
complaint,I was expecting,COMPLAINT_DIRECT
complaint,Sorry to bother you but,COMPLAINT_DIRECT
complaint,I want to complain about,COMPLAINT_DIRECT
complaint,I am afraid I have got a complaint about,COMPLAINT_DIRECT
complaint,I have to make a complaint about,COMPLAINT_DIRECT
complaint,I do not understand why,COMPLAINT_DIRECT
complaint,Excuse me but there is a problem,COMPLAINT_DIRECT
complaint,Would you mind,COMPLAINT_DIRECT
complaint,I am so sorry but this will never happen again,COMPLAINT_RESPONSE_POS
complaint,I am sorry,COMPLAINT_RESPONSE_POS
complaint,I can not tell you how sorry I am,COMPLAINT_RESPONSE_POS
complaint,I wish it never happened,COMPLAINT_RESPONSE_POS
complaint,Sorry there is nothing we can do about it,COMPLAINT_RESPONSE_NEG
complaint,Sorry but it is not our fault,COMPLAINT_RESPONSE_NEG
complaint,I am afraid there is not much we can do about it,COMPLAINT_RESPONSE_NEG
complaint,we promise never to make the same mistake again,COMPLAINT_RESPONSE_POS
complaint,you are supposed to,COMPLAINT_DIRECT
complaint,you were supposed to,COMPLAINT_DIRECT
complaint,that is the problem,COMPLAINT_DIRECT
complaint,this is the problem,COMPLAINT_DIRECT
compliment,Good job,COMPLIMENT_DIRECT
compliment,Well done,COMPLIMENT_DIRECT
compliment,Fantastic,COMPLIMENT_DIRECT
compliment,Perfect,COMPLIMENT_DIRECT
compliment,That is great,COMPLIMENT_DIRECT
compliment,Nice work,COMPLIMENT_DIRECT
compliment,Excellent,COMPLIMENT_DIRECT
compliment,That is really remarkable,COMPLIMENT_DIRECT
compliment,I like your,COMPLIMENT_DIRECT
compliment,What a beautiful,COMPLIMENT_DIRECT
compliment,What a nice,COMPLIMENT_DIRECT
compliment,I really must express my admiration for,COMPLIMENT_DIRECT
compliment,How kind of you to say so,COMPLIMENT_RESPONSE
compliment,It is nice of you to say so,COMPLIMENT_RESPONSE
compliment,It is very kind of you to say that,COMPLIMENT_RESPONSE
compliment,Thank you,COMPLIMENT_RESPONSE
compliment,Thanks a lot,COMPLIMENT_RESPONSE
compliment,I am glad you like it,COMPLIMENT_RESPONSE
compliment,It was nothing really,COMPLIMENT_RESPONSE
compliment,I am delighted to hear that,COMPLIMENT_RESPONSE
compliment,Thanks for your compliment,COMPLIMENT_RESPONSE
compliment,I appreciate it,COMPLIMENT_DIRECT
condition,if,CONDITION_DIRECT
condition,condition,CONDITION_DIRECT
condition,provided that,CONDITION_DIRECT
condition,conditional,CONDITION_DIRECT
condition,then,CONDITION_DIRECT
condition,assuming that,CONDITION_DIRECT
condition,conceding that,CONDITION_DIRECT
condition,granted that,CONDITION_DIRECT
condition,in case,CONDITION_DIRECT
condition,on the assumption that,CONDITION_DIRECT
condition,on the occasion that,CONDITION_DIRECT
condition,supposing that,CONDITION_DIRECT
condition,whenever,CONDITION_DIRECT
condition,wherever,CONDITION_DIRECT
condition,with the condition that,CONDITION_DIRECT
condition,contingent upon,CONDITION_DIRECT
condition,given,CONDITION_DIRECT
condition,if,CONDITION_DIRECT
condition,if and only if,CONDITION_DIRECT
condition,in case,CONDITION_DIRECT
condition,in the case that,CONDITION_DIRECT
condition,in the event,CONDITION_DIRECT
condition,on condition,CONDITION_DIRECT
condition,on the assumption,CONDITION_DIRECT
condition,on these terms,CONDITION_DIRECT
condition,subject to,CONDITION_DIRECT
condition,supposing,CONDITION_DIRECT
condition,with the proviso,CONDITION_DIRECT
condition,though,CONDITION_DIRECT
condition,albeit,CONDITION_DIRECT
condition,allowing,CONDITION_DIRECT
condition,although,CONDITION_DIRECT
condition,but,CONDITION_DIRECT
condition,despite,CONDITION_DIRECT
condition,despite the fact,CONDITION_DIRECT
condition,even if,CONDITION_DIRECT
condition,even supposing,CONDITION_DIRECT
condition,even though,CONDITION_DIRECT
condition,granted,CONDITION_DIRECT
condition,howbeit,CONDITION_DIRECT
condition,much as,CONDITION_DIRECT
condition,notwithstanding,CONDITION_DIRECT
condition,when,CONDITION_DIRECT
condition,whereas,CONDITION_DIRECT
condition,whether,CONDITION_DIRECT
condition,until,CONDITION_DIRECT
confirm,Are you sure,CONFIRM_QUES
confirm,Are you sure about,CONFIRM_QUES
confirm,Are you certain about,CONFIRM_QUES
confirm,Do you think it is true,CONFIRM_QUES
confirm,Do you think so,CONFIRM_QUES
confirm,How sure are you,CONFIRM_QUES
confirm,Yes I am certain,CONFIRM_RESPONSE_POS
confirm,I am a hundred percent,CONFIRM_RESPONSE_POS
confirm,I am absolutely sure,CONFIRM_RESPONSE_POS
confirm,I have no doubt about it,CONFIRM_RESPONSE_POS
confirm,I am sure about it,CONFIRM_RESPONSE_POS
confirm,I do not think there can be any doubt about,CONFIRM_RESPONSE_POS
confirm,Of course,CONFIRM_RESPONSE_POS
confirm,I am positive,CONFIRM_RESPONSE_POS
confirm,I am quite sure about it,CONFIRM_RESPONSE_POS
confirm,I am no doubt about it,CONFIRM_RESPONSE_POS
confirm,I am absolutely certain that,CONFIRM_RESPONSE_POS
confirm,I am not sure about it,CONFIRM_RESPONSE_NEG
confirm,I doubt it,CONFIRM_RESPONSE_NEG
confirm,I am not really sure about,CONFIRM_RESPONSE_NEG
confirm,I do not know for sure,CONFIRM_RESPONSE_NEG
confirm,It is very unlikely,CONFIRM_RESPONSE_NEG
confirm,I have my own doubts,CONFIRM_RESPONSE_NEG
confirm,I do not think so,CONFIRM_RESPONSE_NEG
confirm,I do not believe this is true,CONFIRM_RESPONSE_NEG
confirm,There is some doubt in my mind,CONFIRM_RESPONSE_NEG
confirm,I am not a hundred percent,CONFIRM_RESPONSE_NEG
confirm,I do not know yet,CONFIRM_RESPONSE_NEG
confirm,I will confirm,CONFIRM_RESPONSE_POS
confirm,I am confirming,CONFIRM_RESPONSE_POS
confirm,confirm,CONFIRM_QUES
confirm,confirmation,CONFIRM_QUES
confirm,I need a confirmation,CONFIRM_QUES
confirm,I need you to confirm,CONFIRM_QUES
confirm,I just need confirmation,CONFIRM_QUES
confirm,I just need to confirm,CONFIRM_QUES
confirm,Double Check,CONFIRM_DIRECT
demand,Can you explain,DEMAND_DIRECT
demand,How come,DEMAND_DIRECT
demand,I do not understand,DEMAND_DIRECT
demand,Can you tell me,DEMAND_DIRECT
demand,Why is it that,DEMAND_DIRECT
demand,Do you expect me to believe,DEMAND_DIRECT
demand,I demand an explanation,DEMAND_DIRECT
demand,I demand to know,DEMAND_DIRECT
demand,I need to speak to your supervisor,DEMAND_DIRECT
demand,I want to speak to the manager,DEMAND_DIRECT
demand,Who is in charge here,DEMAND_DIRECT
demand,I wish to speak to the,DEMAND_DIRECT
demand,How can this happen,DEMAND_DIRECT
desire,I hope,DESIRE_DIRECT
desire,We hope,DESIRE_DIRECT
desire,Let us hope,DESIRE_DIRECT
desire,I believe,DESIRE_DIRECT
desire,We believe,DESIRE_DIRECT
desire,Hopefully,DESIRE_DIRECT
desire,I keep hoping,DESIRE_DIRECT
desire,We keep hoping,DESIRE_DIRECT
desire,I wish,DESIRE_DIRECT
desire,We wish,DESIRE_DIRECT
desire,If we are lucky,DESIRE_DIRECT
desire,If I am lucky,DESIRE_DIRECT
desire,With any luck,DESIRE_DIRECT
desire,I would like,DESIRE_DIRECT
desire,We would like,DESIRE_DIRECT
desire,I want,DESIRE_DIRECT
desire,We want,DESIRE_DIRECT
desire,What I really want,DESIRE_DIRECT
desire,What we really want,DESIRE_DIRECT
desire,I just want,DESIRE_DIRECT
desire,We just want,DESIRE_DIRECT
desire,I just really want,DESIRE_DIRECT
desire,We just really want,DESIRE_DIRECT
desire,I’d rather,DESIRE_DIRECT
desire,We’d rather,DESIRE_DIRECT
desire,I’d much rather,DESIRE_DIRECT
desire,We’d much rather,DESIRE_DIRECT
desire,I do not want,DESIRE_DIRECT
desire,We do not want,DESIRE_DIRECT
desire,I just do not want,DESIRE_DIRECT
desire,We just do not want,DESIRE_DIRECT
desire,I just wish,DESIRE_DIRECT
desire,We just wish,DESIRE_DIRECT
desire,If only,DESIRE_REGRET
desire,I should have,DESIRE_REGRET
desire,We should have,DESIRE_REGRET
desire,I should not have,DESIRE_REGRET
desire,We should not have,DESIRE_REGRET
desire,I regret,DESIRE_REGRET
desire,We regret,DESIRE_REGRET
desire,hope,DESIRE_DIRECT
disappoint,That is too bad,DISAPPOINT_DIRECT
disappoint,How disappointing,DISAPPOINT_DIRECT
disappoint,That is so disappointing,DISAPPOINT_DIRECT
disappoint,Oh no what a shame,DISAPPOINT_DIRECT
disappoint,It is a great shame,DISAPPOINT_DIRECT
disappoint,It is a little bit disappointing,DISAPPOINT_DIRECT
disappoint,It did not live up to my expectations,DISAPPOINT_DIRECT
disappoint,What a pity,DISAPPOINT_DIRECT
disappoint,What a letdown,DISAPPOINT_DIRECT
disappoint,What a bummer,DISAPPOINT_DIRECT
disappoint,That is a nuisance,DISAPPOINT_DIRECT
disappoint,I thought you could do better,DISAPPOINT_DIRECT
disappoint,I have never been so disappointed in my life,DISAPPOINT_DIRECT
disappoint,It was not as good as I thought it would be,DISAPPOINT_DIRECT
entity,name,NAME
entity,first name,NAME
entity,card number,CARD
entity,access code,ACCESS_CODE
entity,phone number,PHONE
entity,cell number,PHONE
