key,value
6_turn_0_dm_n,11
6_turn_0_dm_sp-act,init
6_turn_0_dm_text,"
now "
6_turn_1_q-yn_n,12
6_turn_1_q-yn_sp-act,reqInfo
6_turn_1_q-yn_polarity,positive
6_turn_1_q-yn_topic,railcard
6_turn_1_q-yn_mode,closed
6_turn_1_q-yn_text,"
do you have a rail card
"
7_turn_n,8
7_turn_speaker,B
7_turn_text,"
"
7_turn_0_no_n,13
7_turn_0_no_sp-act,answ
7_turn_0_no_mode,closure
7_turn_0_no_text,"
no
"
8_turn_n,9
8_turn_speaker,A
8_turn_text,"
"
8_turn_0_q-wh_n,14
8_turn_0_q-wh_sp-act,reqInfo
8_turn_0_q-wh_polarity,positive
8_turn_0_q-wh_topic,number-journey
8_turn_0_q-wh_mode,open
8_turn_0_q-wh_text,"
and how many people's travelling
"
9_turn_n,10
9_turn_speaker,B
9_turn_text,"
"
9_turn_0_frag_n,15
9_turn_0_frag_sp-act,answ
9_turn_0_frag_polarity,positive
9_turn_0_frag_topic,number
9_turn_0_frag_mode,partial-closure
9_turn_0_frag_text,"
one
"
10_turn_n,11
10_turn_speaker,A
10_turn_text,"
"
10_turn_0_q-wh_n,16
10_turn_0_q-wh_sp-act,reqInfo
10_turn_0_q-wh_polarity,positive
10_turn_0_q-wh_topic,date-journey
10_turn_0_q-wh_mode,open
10_turn_0_q-wh_text,"
and what date is it you're travelling out
"
11_turn_n,12
11_turn_speaker,B
11_turn_text,"
"
11_turn_0_decl_n,17
11_turn_0_decl_sp-act,answ
11_turn_0_decl_polarity,positive
11_turn_0_decl_topic,month-date
11_turn_0_decl_mode,closure
11_turn_0_decl_text,"
the eighth of October
"
12_turn_n,13
12_turn_speaker,A
12_turn_text,"
"
12_turn_0_frag_n,18
12_turn_0_frag_sp-act,reqInfo
12_turn_0_frag_polarity,positive
12_turn_0_frag_topic,time-departure
12_turn_0_frag_mode,open
12_turn_0_frag_text,"
"
13_turn_n,14
13_turn_speaker,B
13_turn_text,"
"
13_turn_0_decl_n,19
13_turn_0_decl_sp-act,answ
13_turn_0_decl_polarity,positive
13_turn_0_decl_topic,departure-preference-time
13_turn_0_decl_mode,intent-closure
13_turn_0_decl_text,"
i'd like to leave on the 7 33 train
"
14_turn_n,15
14_turn_speaker,A
14_turn_text,"
"
14_turn_0_frag_n,20
14_turn_0_frag_sp-act,confirm
14_turn_0_frag_polarity,positive
14_turn_0_frag_topic,location-from
14_turn_0_frag_mode,deixis
14_turn_0_frag_text,"
from Birmingham International
"
15_turn_n,16
15_turn_speaker,B
15_turn_text,"
"
15_turn_0_frag_n,21
15_turn_0_frag_sp-act,correct
15_turn_0_frag_polarity,positive
15_turn_0_frag_topic,
15_turn_0_frag_mode,deixis
15_turn_0_frag_text,"
New Street
"
16_turn_n,17
16_turn_speaker,A
16_turn_text,"
"
16_turn_0_dm_n,22
16_turn_0_dm_sp-act,expressRegret
16_turn_0_dm_mode,regret
16_turn_0_dm_text,"
sorry
"
16_turn_1_frag_n,23
16_turn_1_frag_sp-act,correctSelf
16_turn_1_frag_polarity,positive
16_turn_1_frag_topic,location
16_turn_1_frag_mode,deixis
16_turn_1_frag_text,"
Birmingham New Street
"
16_turn_2_yes_n,24
16_turn_2_yes_sp-act,ackn
16_turn_2_yes_text,"
yeah "
16_turn_2_yes_0_pause_length,10s
16_turn_3_decl_n,25
16_turn_3_decl_sp-act,inform
16_turn_3_decl_polarity,positive
16_turn_3_decl_topic,location-enum-from
16_turn_3_decl_mode,exists
16_turn_3_decl_text,"
there's the 7 33 from Birmingham New Street
"
16_turn_4_frag_n,26
16_turn_4_frag_sp-act,inform
16_turn_4_frag_polarity,positive
16_turn_4_frag_topic,location-time-arrival
16_turn_4_frag_mode,deixis
16_turn_4_frag_text,"
arriving at 9 05 in Euston
"
17_turn_n,18
17_turn_speaker,B
17_turn_text,"
"
17_turn_0_yes_n,27
17_turn_0_yes_sp-act,ackn
17_turn_0_yes_text,"
yeah
"
18_turn_n,19
18_turn_speaker,A
18_turn_text,"
"
18_turn_0_q-wh_n,28
18_turn_0_q-wh_sp-act,reqInfo
18_turn_0_q-wh_polarity,positive
18_turn_0_q-wh_topic,time-return
18_turn_0_q-wh_mode,open
18_turn_0_q-wh_text,"
and when is it you're returning
"
19_turn_n,20
19_turn_speaker,B
19_turn_text,"
"
19_turn_0_frag_n,29
19_turn_0_frag_sp-act,answ
19_turn_0_frag_polarity,positive
19_turn_0_frag_topic,day-enum
19_turn_0_frag_mode,deixis-closure
19_turn_0_frag_text,"
em same day on the em 17 15
"
20_turn_n,21
20_turn_speaker,A
20_turn_text,"
"
20_turn_0_frag_n,30
20_turn_0_frag_sp-act,confirm
20_turn_0_frag_polarity,positive
20_turn_0_frag_topic,time-arrival
20_turn_0_frag_mode,deixis
20_turn_0_frag_text,"
"
20_turn_0_frag_0_pause_length,7s
21_turn_n,22
21_turn_speaker,B
21_turn_text,"
"
21_turn_0_yes_n,31
21_turn_0_yes_sp-act,ackn
21_turn_0_yes_text,"
yeah "
22_turn_n,23
22_turn_speaker,A
22_turn_text,"
"
22_turn_0_dm_n,32
22_turn_0_dm_sp-act,init
22_turn_0_dm_text,"
now
"
22_turn_1_decl_n,33
22_turn_1_decl_sp-act,informIntent-hold
22_turn_1_decl_polarity,positive
22_turn_1_decl_topic,fare-avail-verify
22_turn_1_decl_mode,reportIntent
22_turn_1_decl_text,"
i'm just going to check to see what's your cheapest fare available to you
"
22_turn_2_dm_n,34
22_turn_2_dm_sp-act,init
22_turn_2_dm_text,"
so
"
22_turn_3_decl_n,35
22_turn_3_decl_sp-act,hold
22_turn_3_decl_polarity,positive
22_turn_3_decl_topic,hold
22_turn_3_decl_mode,poss2-condition-manage
22_turn_3_decl_text,"
if you can "
22_turn_3_decl_0_backchannel_content,yes
23_turn_n,24
23_turn_speaker,B
23_turn_text,"
"
23_turn_0_frag_n,36
23_turn_0_frag_sp-act,thank
23_turn_0_frag_mode,
23_turn_0_frag_text,"
thank you
"
24_turn_n,25
24_turn_speaker,A
24_turn_text,"
"
24_turn_0_decl_n,37
24_turn_0_decl_sp-act,confirm
24_turn_0_decl_polarity,positive
24_turn_0_decl_topic,month-date
24_turn_0_decl_mode,
24_turn_0_decl_text,"
and that's for the eighth of October
"
25_turn_n,26
25_turn_speaker,B
25_turn_text,"
"
25_turn_0_yes_n,38
25_turn_0_yes_sp-act,ackn
25_turn_0_yes_text,"
yeah
"
26_turn_n,27
26_turn_speaker,A
26_turn_text,"
"
26_turn_0_dm_n,39
26_turn_0_dm_sp-act,init
26_turn_0_dm_text,"
"
26_turn_0_dm_0_pause_length,20s
26_turn_1_frag_n,40
26_turn_1_frag_sp-act,inform
26_turn_1_frag_polarity,positive
26_turn_1_frag_topic,time-location-journey
26_turn_1_frag_mode,reason
26_turn_1_frag_text,"
because of the time that you're travelling out "
26_turn_2_decl_n,41
26_turn_2_decl_sp-act,inform
26_turn_2_decl_polarity,negative
26_turn_2_decl_topic,fare-journey
26_turn_2_decl_mode,exists
26_turn_2_decl_text,"
there's not any advance purchase tickets left "
26_turn_3_decl_n,42
26_turn_3_decl_sp-act,inform
26_turn_3_decl_polarity,positive
26_turn_3_decl_topic,avail
26_turn_3_decl_mode,
26_turn_3_decl_text,"
they've now been booked up
"
27_turn_n,28
27_turn_speaker,B
27_turn_text,"
"
27_turn_0_dm_n,43
27_turn_0_dm_sp-act,ackn
27_turn_0_dm_polarity,positive
27_turn_0_dm_text,"
right
"
28_turn_n,29
28_turn_speaker,A
28_turn_text,"
"
28_turn_0_decl_n,44
28_turn_0_decl_sp-act,inform-disc
28_turn_0_decl_polarity,positive
28_turn_0_decl_topic,fare
28_turn_0_decl_mode,
28_turn_0_decl_text,"
and the cheapest way to do it is going to is
"
28_turn_1_decl_n,45
28_turn_1_decl_sp-act,inform
28_turn_1_decl_polarity,positive
28_turn_1_decl_topic,
28_turn_1_decl_mode,reason
28_turn_1_decl_text,"
cos it's the normal price
"
28_turn_2_frag_n,46
28_turn_2_frag_sp-act,inform-cont
28_turn_2_frag_polarity,positive
28_turn_2_frag_topic,fare
28_turn_2_frag_mode,
28_turn_2_frag_text,"
is gonna be standard open return at 61 pounds 50 "
28_turn_2_frag_0_backchannel_content,right
28_turn_3_decl_n,47
28_turn_3_decl_sp-act,inform
28_turn_3_decl_polarity,positive
28_turn_3_decl_topic,fare
28_turn_3_decl_mode,constrain
28_turn_3_decl_text,"
but you reduce that slightly "
28_turn_4_decl_n,48
28_turn_4_decl_sp-act,inform
28_turn_4_decl_polarity,positive
28_turn_4_decl_topic,fare
28_turn_4_decl_mode,
28_turn_4_decl_text,"
you'll be able to get the standard open single at 33 pounds on your outward service
"
28_turn_5_frag_n,49
28_turn_5_frag_sp-act,refer
28_turn_5_frag_polarity,positive
28_turn_5_frag_topic,fare
28_turn_5_frag_mode,deixis
28_turn_5_frag_text,"
then on the return
"
28_turn_6_decl_n,50
28_turn_6_decl_sp-act,inform
28_turn_6_decl_polarity,positive
28_turn_6_decl_topic,time-date
28_turn_6_decl_mode,condition
28_turn_6_decl_text,"
as long as you're prepared to stick to the date and time "
28_turn_6_decl_0_backchannel_content,yes
28_turn_7_decl_n,51
28_turn_7_decl_sp-act,inform
28_turn_7_decl_polarity,positive
28_turn_7_decl_topic,fare
28_turn_7_decl_mode,poss2
28_turn_7_decl_text,"
you can get the Virgin value single at 7 pounds "
28_turn_7_decl_0_backchannel_content,right
28_turn_8_dm_n,52
28_turn_8_dm_sp-act,init
28_turn_8_dm_text,"
so
"
28_turn_9_decl_n,53
28_turn_9_decl_sp-act,inform
28_turn_9_decl_polarity,positive
28_turn_9_decl_topic,fare
28_turn_9_decl_mode,
28_turn_9_decl_text,"
that's going to save you 21 pounds 50 there
"
29_turn_n,30
29_turn_speaker,B
29_turn_text,"
"
29_turn_0_decl_n,54
29_turn_0_decl_sp-act,appreciate
29_turn_0_decl_polarity,positive
29_turn_0_decl_topic,
29_turn_0_decl_mode,reassurance-appreciate
29_turn_0_decl_text,"
that's fine
"
29_turn_1_yes_n,55
29_turn_1_yes_sp-act,ackn
29_turn_1_yes_text,"
yeah "
30_turn_n,31
30_turn_speaker,A
30_turn_text,"
"
30_turn_0_dm_n,56
30_turn_0_dm_sp-act,init
30_turn_0_dm_text,"
so
"
30_turn_1_decl_n,57
30_turn_1_decl_sp-act,informIntent
30_turn_1_decl_polarity,positive
30_turn_1_decl_topic,booking
30_turn_1_decl_mode,intent
30_turn_1_decl_text,"
i'll just gonna book "
30_turn_2_dm_n,58
30_turn_2_dm_sp-act,init
30_turn_2_dm_text,"
so
"
30_turn_3_decl_n,59
30_turn_3_decl_sp-act,inform
30_turn_3_decl_polarity,positive
30_turn_3_decl_topic,fare-journey
30_turn_3_decl_mode,
30_turn_3_decl_text,"
we say it's a return journey
"
30_turn_4_decl_n,60
30_turn_4_decl_sp-act,inform
30_turn_4_decl_polarity,positive
30_turn_4_decl_topic,number-fare
30_turn_4_decl_mode,constrain
30_turn_4_decl_text,"
but it's classed as two "
30_turn_4_decl_0_overlap_type,start
31_turn_n,32
31_turn_speaker,B
31_turn_text,"
"
31_turn_0_yes_n,61
31_turn_0_yes_sp-act,ackn
31_turn_0_yes_text,"
yeah
"
31_turn_1_decl_n,62
31_turn_1_decl_sp-act,appreciate
31_turn_1_decl_polarity,positive
31_turn_1_decl_topic,
31_turn_1_decl_mode,reassurance-appreciate
31_turn_1_decl_text,"
"
31_turn_1_decl_0_overlap_type,end
31_turn_2_yes_n,63
31_turn_2_yes_sp-act,ackn
31_turn_2_yes_text,"
yeah
"
32_turn_n,33
32_turn_speaker,A
32_turn_text,"
"
32_turn_0_dm_n,64
32_turn_0_dm_sp-act,init
32_turn_0_dm_text,"
now
"
32_turn_1_frag_n,65
32_turn_1_frag_sp-act,confirm
32_turn_1_frag_polarity,positive
32_turn_1_frag_topic,month
32_turn_1_frag_mode,deixis
32_turn_1_frag_text,"
on the eighth October
"
32_turn_2_decl_n,66
32_turn_2_decl_sp-act,confirm
32_turn_2_decl_polarity,positive
32_turn_2_decl_topic,time-location-from-journey
32_turn_2_decl_mode,
32_turn_2_decl_text,"
you're travelling from Birmingham New Street at 7 33 "
32_turn_3_frag_n,67
32_turn_3_frag_sp-act,confirm
32_turn_3_frag_polarity,positive
32_turn_3_frag_topic,location-time-arrival
32_turn_3_frag_mode,deixis
32_turn_3_frag_text,"
arriving in Euston at 9 05
"
33_turn_n,34
33_turn_speaker,B
33_turn_text,"
"
33_turn_0_yes_n,68
33_turn_0_yes_sp-act,ackn
33_turn_0_yes_text,"
yeah
"
34_turn_n,35
34_turn_speaker,A
34_turn_text,"
"
34_turn_0_q-yn_n,69
34_turn_0_q-yn_sp-act,reqDirect
34_turn_0_q-yn_polarity,positive
34_turn_0_q-yn_topic,preference-seat
34_turn_0_q-yn_mode,closed-alternative
34_turn_0_q-yn_text,"
would you like smoking or non smoking
"
35_turn_n,36
35_turn_speaker,B
35_turn_text,"
"
35_turn_0_frag_n,70
35_turn_0_frag_sp-act,direct
35_turn_0_frag_polarity,positive
35_turn_0_frag_topic,seat
35_turn_0_frag_mode,closure
35_turn_0_frag_text,"
non smoking "
35_turn_0_frag_0_overlap_type,start
36_turn_n,37
36_turn_speaker,A
36_turn_text,"
"
36_turn_0_q-yn_n,71
36_turn_0_q-yn_sp-act,reqDirect
36_turn_0_q-yn_polarity,positive
36_turn_0_q-yn_topic,preference-booking-seat
36_turn_0_q-yn_mode,closed
36_turn_0_q-yn_text,"
and "
36_turn_0_q-yn_0_overlap_type,end
37_turn_n,38
37_turn_speaker,B
37_turn_text,"
"
37_turn_0_frag_n,72
37_turn_0_frag_sp-act,direct
37_turn_0_frag_polarity,positive
37_turn_0_frag_topic,seat
37_turn_0_frag_mode,condition-closure
37_turn_0_frag_text,"
erm "
38_turn_n,39
38_turn_speaker,A
38_turn_text,"
"
38_turn_0_dm_n,73
38_turn_0_dm_sp-act,accept
38_turn_0_dm_polarity,positive
38_turn_0_dm_text,"
ok "
38_turn_0_dm_0_pause_length,3s
38_turn_1_decl_n,74
38_turn_1_decl_sp-act,inform
38_turn_1_decl_polarity,positive
38_turn_1_decl_topic,booking
38_turn_1_decl_mode,benefit
38_turn_1_decl_text,"
that's booked for you
"
38_turn_2_dm_n,75
38_turn_2_dm_sp-act,init
38_turn_2_dm_text,"
now
"
38_turn_3_decl_n,76
38_turn_3_decl_sp-act,confirm
38_turn_3_decl_polarity,positive
38_turn_3_decl_topic,to-location-from-booking
38_turn_3_decl_mode,reportIntent
38_turn_3_decl_text,"
i'm booking from Euston to Birmingham New Street
"
39_turn_n,40
39_turn_speaker,B
39_turn_text,"
"
39_turn_0_dm_n,77
39_turn_0_dm_sp-act,ackn
39_turn_0_dm_polarity,positive
39_turn_0_dm_text,"
alright
"
40_turn_n,41
40_turn_speaker,A
40_turn_text,"
"
40_turn_0_frag_n,78
40_turn_0_frag_sp-act,confirm
40_turn_0_frag_polarity,positive
40_turn_0_frag_topic,
40_turn_0_frag_mode,deixis
40_turn_0_frag_text,"
on the 8th again "
40_turn_0_frag_0_pause_length,2s
40_turn_1_frag_n,79
40_turn_1_frag_sp-act,confirm
40_turn_1_frag_polarity,positive
40_turn_1_frag_topic,departure-time
40_turn_1_frag_mode,deixis
40_turn_1_frag_text,"
departing 17 15
"
41_turn_n,42
41_turn_speaker,B
41_turn_text,"
"
41_turn_0_yes_n,80
41_turn_0_yes_sp-act,ackn
41_turn_0_yes_text,"
yep
"
42_turn_n,43
42_turn_speaker,A
42_turn_text,"
"
42_turn_0_decl_n,81
42_turn_0_decl_sp-act,confirm
42_turn_0_decl_polarity,positive
42_turn_0_decl_topic,fare
42_turn_0_decl_mode,
42_turn_0_decl_text,"
"
42_turn_0_decl_0_pause_length,3s
43_turn_n,44
43_turn_speaker,B
43_turn_text,"
"
43_turn_0_yes_n,82
43_turn_0_yes_sp-act,ackn
43_turn_0_yes_text,"
yep
"
44_turn_n,45
44_turn_speaker,A
44_turn_text,"
"
44_turn_0_decl_n,83
44_turn_0_decl_sp-act,informIntent
44_turn_0_decl_polarity,positive
44_turn_0_decl_topic,seat-booking
44_turn_0_decl_mode,intent-report
44_turn_0_decl_text,"
i'm going to book you a forward facing seat again "
44_turn_0_decl_0_pause_length,2s
44_turn_1_dm_n,84
44_turn_1_dm_sp-act,init
44_turn_1_dm_text,"
now
"
44_turn_2_frag_n,85
44_turn_2_frag_sp-act,refer
44_turn_2_frag_polarity,positive
44_turn_2_frag_topic,fare
44_turn_2_frag_mode,deixis
44_turn_2_frag_text,"
with the standard open single
"
44_turn_3_decl_n,86
44_turn_3_decl_sp-act,inform
44_turn_3_decl_polarity,positive
44_turn_3_decl_topic,miss
44_turn_3_decl_mode,condition
44_turn_3_decl_text,"
if you miss the service i've reserved you on
"
44_turn_4_decl_n,87
44_turn_4_decl_sp-act,inform
44_turn_4_decl_polarity,positive
44_turn_4_decl_topic,avail
44_turn_4_decl_mode,poss2
44_turn_4_decl_text,"
you are able to get the next available train "
44_turn_4_decl_0_backchannel_content,right
44_turn_5_decl_n,88
44_turn_5_decl_sp-act,inform
44_turn_5_decl_polarity,positive
44_turn_5_decl_topic,refund-fare
44_turn_5_decl_mode,
44_turn_5_decl_text,"
and it's a full refund less 5 pounds
"
44_turn_6_decl_n,89
44_turn_6_decl_sp-act,inform
44_turn_6_decl_polarity,positive
44_turn_6_decl_topic,cancel
44_turn_6_decl_mode,condition-constrain
44_turn_6_decl_text,"
if you have to cancel "
44_turn_6_decl_0_backchannel_content,right
44_turn_7_frag_n,90
44_turn_7_frag_sp-act,refer
44_turn_7_frag_polarity,positive
44_turn_7_frag_topic,fare
44_turn_7_frag_mode,deixis-constrain
44_turn_7_frag_text,"
but with the Virgin value fare
"
44_turn_8_decl_n,91
44_turn_8_decl_sp-act,inform
44_turn_8_decl_polarity,positive
44_turn_8_decl_topic,time-date-booking
44_turn_8_decl_mode,constrain
44_turn_8_decl_text,"
you must stick to the date and time that you book "
44_turn_8_decl_0_backchannel_content,right
44_turn_9_decl_n,92
44_turn_9_decl_sp-act,inform
44_turn_9_decl_polarity,positive
44_turn_9_decl_topic,preference-time-journey
44_turn_9_decl_mode,condition
44_turn_9_decl_text,"
if you wanted to change the time of that travel
"
44_turn_10_decl_n,93
44_turn_10_decl_sp-act,inform
44_turn_10_decl_polarity,positive
44_turn_10_decl_topic,time-day-journey
44_turn_10_decl_mode,constrain
44_turn_10_decl_text,"
you must do so by 6 o'clock the day before your outward journey "
44_turn_10_decl_0_backchannel_content,yeah
44_turn_11_decl_n,94
44_turn_11_decl_sp-act,inform
44_turn_11_decl_polarity,positive
44_turn_11_decl_topic,avail-fare
44_turn_11_decl_mode,constrain
44_turn_11_decl_text,"
and it's subject to availability and 5 pounds charge
"
45_turn_n,46
45_turn_speaker,B
45_turn_text,"
"
45_turn_0_dm_n,95
45_turn_0_dm_sp-act,ackn
45_turn_0_dm_polarity,positive
45_turn_0_dm_text,"
right
"
46_turn_n,47
46_turn_speaker,A
46_turn_text,"
"
46_turn_0_dm_n,96
46_turn_0_dm_sp-act,init
46_turn_0_dm_text,"
now
"
46_turn_1_frag_n,97
46_turn_1_frag_sp-act,reqInfo
46_turn_1_frag_polarity,positive
46_turn_1_frag_topic,name
46_turn_1_frag_mode,open
46_turn_1_frag_text,"
your surname please
"
47_turn_n,48
47_turn_speaker,B
47_turn_text,"
"
47_turn_0_frag_n,98
47_turn_0_frag_sp-act,answ
47_turn_0_frag_polarity,positive
47_turn_0_frag_topic,spell-name
47_turn_0_frag_mode,closure
47_turn_0_frag_text,"
{surname}%5%18%16%5%23%18%0 {letter}%5 {letter}%18 {letter}%16 {letter}%5 {letter}%23 {letter}%18 {letter}%0
"
48_turn_n,49
48_turn_speaker,A
48_turn_text,"
"
48_turn_0_frag_n,99
48_turn_0_frag_sp-act,reqInfo
48_turn_0_frag_polarity,positive
48_turn_0_frag_topic,name
48_turn_0_frag_mode,open
48_turn_0_frag_text,"
"
49_turn_n,50
49_turn_speaker,B
49_turn_text,"
"
49_turn_0_frag_n,100
49_turn_0_frag_sp-act,answ
49_turn_0_frag_polarity,positive
49_turn_0_frag_topic,spell
49_turn_0_frag_mode,partial-closure
49_turn_0_frag_text,"
{letter}%11
"
50_turn_n,51
50_turn_speaker,A
50_turn_text,"
"
50_turn_0_frag_n,101
50_turn_0_frag_sp-act,reqInfo
50_turn_0_frag_polarity,positive
50_turn_0_frag_topic,name
50_turn_0_frag_mode,open
50_turn_0_frag_text,"
and your title
"
51_turn_n,52
51_turn_speaker,B
51_turn_text,"
"
51_turn_0_frag_n,102
51_turn_0_frag_sp-act,answ
51_turn_0_frag_polarity,positive
51_turn_0_frag_topic,
51_turn_0_frag_mode,partial-closure
51_turn_0_frag_text,"
Doctor
"
52_turn_n,53
52_turn_speaker,A
52_turn_text,"
"
52_turn_0_frag_n,103
52_turn_0_frag_sp-act,reqInfo
52_turn_0_frag_polarity,positive
52_turn_0_frag_topic,telephone-number
52_turn_0_frag_mode,open
52_turn_0_frag_text,"
and your contact telephone number
"
53_turn_n,54
53_turn_speaker,B
53_turn_text,"
"
53_turn_0_frag_n,104
53_turn_0_frag_sp-act,answ
53_turn_0_frag_polarity,positive
53_turn_0_frag_topic,enum
53_turn_0_frag_mode,closure
53_turn_0_frag_text,"
em 0 1 1 1
"
54_turn_n,55
54_turn_speaker,A
54_turn_text,"
"
54_turn_0_dm_n,105
54_turn_0_dm_sp-act,ackn
54_turn_0_dm_polarity,positive
54_turn_0_dm_text,"
"
55_turn_n,56
55_turn_speaker,B
55_turn_text,"
"
55_turn_0_frag_n,106
55_turn_0_frag_sp-act,answElab
55_turn_0_frag_polarity,positive
55_turn_0_frag_topic,enum
55_turn_0_frag_mode,
55_turn_0_frag_text,"
1 0 5
"
56_turn_n,57
56_turn_speaker,A
56_turn_text,"
"
56_turn_0_dm_n,107
56_turn_0_dm_sp-act,ackn
56_turn_0_dm_polarity,positive
56_turn_0_dm_text,"
"
57_turn_n,58
57_turn_speaker,B
57_turn_text,"
"
57_turn_0_frag_n,108
57_turn_0_frag_sp-act,answElab
57_turn_0_frag_polarity,positive
57_turn_0_frag_topic,enum
57_turn_0_frag_mode,
57_turn_0_frag_text,"
1 2 1 8
"
58_turn_n,59
58_turn_speaker,A
58_turn_text,"
"
58_turn_0_frag_n,109
58_turn_0_frag_sp-act,reqInfo
58_turn_0_frag_polarity,positive
58_turn_0_frag_topic,creditcard-address
58_turn_0_frag_mode,open
58_turn_0_frag_text,"
"
58_turn_0_frag_0_pause_length,2s
59_turn_n,60
59_turn_speaker,B
59_turn_text,"
"
59_turn_0_frag_n,110
59_turn_0_frag_sp-act,answ
59_turn_0_frag_polarity,positive
59_turn_0_frag_topic,enum-spell
59_turn_0_frag_mode,closure
59_turn_0_frag_text,"
{letter}%11 36 "
60_turn_n,61
60_turn_speaker,A
60_turn_text,"
"
60_turn_0_imp_n,111
60_turn_0_imp_sp-act,direct
60_turn_0_imp_polarity,positive
60_turn_0_imp_topic,confirm-address
60_turn_0_imp_mode,
60_turn_0_imp_text,"
and confirm that address for me please
"
61_turn_n,62
61_turn_speaker,B
61_turn_text,"
"
61_turn_0_decl_n,112
61_turn_0_decl_sp-act,answ
61_turn_0_decl_polarity,positive
61_turn_0_decl_topic,name-address
61_turn_0_decl_mode,
61_turn_0_decl_text,"
it's %street Avenue "
61_turn_1_decl_n,113
61_turn_1_decl_sp-act,answElab
61_turn_1_decl_polarity,positive
61_turn_1_decl_topic,number
61_turn_1_decl_mode,
61_turn_1_decl_text,"
it's number 11
"
62_turn_n,63
62_turn_speaker,A
62_turn_text,"
"
62_turn_0_frag_n,114
62_turn_0_frag_sp-act,echo
62_turn_0_frag_polarity,positive
62_turn_0_frag_topic,enum
62_turn_0_frag_mode,partial
62_turn_0_frag_text,"
11 "
62_turn_1_decl_n,115
62_turn_1_decl_sp-act,reqInfo
62_turn_1_decl_polarity,positive
62_turn_1_decl_topic,number-creditcard
62_turn_1_decl_mode,
62_turn_1_decl_text,"
and "
63_turn_n,64
63_turn_speaker,B
63_turn_text,"
"
63_turn_0_decl_n,116
63_turn_0_decl_sp-act,correct
63_turn_0_decl_polarity,positive
63_turn_0_decl_topic,creditcard
63_turn_0_decl_mode,
63_turn_0_decl_text,"
it's a debit card "
63_turn_0_decl_0_backchannel_content,aha
63_turn_1_frag_n,117
63_turn_1_frag_sp-act,answ
63_turn_1_frag_polarity,positive
63_turn_1_frag_topic,enum-number
63_turn_1_frag_mode,deixis
63_turn_1_frag_text,"
number 1 3 5
"
64_turn_n,65
64_turn_speaker,A
64_turn_text,"
"
64_turn_0_frag_n,118
64_turn_0_frag_sp-act,echo
64_turn_0_frag_polarity,positive
64_turn_0_frag_topic,enum
64_turn_0_frag_mode,
64_turn_0_frag_text,"
1 3 5
"
65_turn_n,66
65_turn_speaker,B
65_turn_text,"
"
65_turn_0_frag_n,119
65_turn_0_frag_sp-act,answElab
65_turn_0_frag_polarity,positive
65_turn_0_frag_topic,enum
65_turn_0_frag_mode,
65_turn_0_frag_text,"
5 3 1
"
66_turn_n,67
66_turn_speaker,A
66_turn_text,"
"
66_turn_0_frag_n,120
66_turn_0_frag_sp-act,echo
66_turn_0_frag_polarity,positive
66_turn_0_frag_topic,enum
66_turn_0_frag_mode,
