,children.0.decl.children.0.backchannel.content,children.0.decl.children.0.pause.length,children.0.decl.mode,children.0.decl.n,children.0.decl.polarity,children.0.decl.sp-act,children.0.decl.text,children.0.decl.topic,children.0.dm.children.0.pause.length,children.0.dm.mode,children.0.dm.n,children.0.dm.polarity,children.0.dm.sp-act,children.0.dm.text,children.0.frag.children.0.overlap.type,children.0.frag.children.0.pause.length,children.0.frag.mode,children.0.frag.n,children.0.frag.polarity,children.0.frag.sp-act,children.0.frag.text,children.0.frag.topic,children.0.imp.mode,children.0.imp.n,children.0.imp.polarity,children.0.imp.sp-act,children.0.imp.text,children.0.imp.topic,children.0.no.mode,children.0.no.n,children.0.no.sp-act,children.0.no.text,children.0.q-wh.mode,children.0.q-wh.n,children.0.q-wh.polarity,children.0.q-wh.sp-act,children.0.q-wh.text,children.0.q-wh.topic,children.0.q-yn.children.0.overlap.type,children.0.q-yn.mode,children.0.q-yn.n,children.0.q-yn.polarity,children.0.q-yn.sp-act,children.0.q-yn.text,children.0.q-yn.topic,children.0.yes.mode,children.0.yes.n,children.0.yes.sp-act,children.0.yes.text,children.1.decl.children.0.overlap.type,children.1.decl.mode,children.1.decl.n,children.1.decl.polarity,children.1.decl.sp-act,children.1.decl.text,children.1.decl.topic,children.1.dm.n,children.1.dm.sp-act,children.1.dm.text,children.1.frag.mode,children.1.frag.n,children.1.frag.polarity,children.1.frag.sp-act,children.1.frag.text,children.1.frag.topic,children.1.q-yn.mode,children.1.q-yn.n,children.1.q-yn.polarity,children.1.q-yn.sp-act,children.1.q-yn.text,children.1.q-yn.topic,children.1.yes.n,children.1.yes.sp-act,children.1.yes.text,children.10.decl.children.0.backchannel.content,children.10.decl.mode,children.10.decl.n,children.10.decl.polarity,children.10.decl.sp-act,children.10.decl.text,children.10.decl.topic,children.11.decl.mode,children.11.decl.n,children.11.decl.polarity,children.11.decl.sp-act,children.11.decl.text,children.11.decl.topic,children.2.decl.mode,children.2.decl.n,children.2.decl.polarity,children.2.decl.sp-act,children.2.decl.text,children.2.decl.topic,children.2.dm.n,children.2.dm.polarity,children.2.dm.sp-act,children.2.dm.text,children.2.frag.children.0.backchannel.content,children.2.frag.mode,children.2.frag.n,children.2.frag.polarity,children.2.frag.sp-act,children.2.frag.text,children.2.frag.topic,children.2.q-wh.mode,children.2.q-wh.n,children.2.q-wh.polarity,children.2.q-wh.sp-act,children.2.q-wh.text,children.2.q-wh.topic,children.2.yes.children.0.pause.length,children.2.yes.n,children.2.yes.sp-act,children.2.yes.text,children.3.decl.children.0.backchannel.content,children.3.decl.mode,children.3.decl.n,children.3.decl.polarity,children.3.decl.sp-act,children.3.decl.text,children.3.decl.topic,children.3.frag.mode,children.3.frag.n,children.3.frag.polarity,children.3.frag.sp-act,children.3.frag.text,children.3.frag.topic,children.4.decl.children.0.backchannel.content,children.4.decl.children.0.overlap.type,children.4.decl.mode,children.4.decl.n,children.4.decl.polarity,children.4.decl.sp-act,children.4.decl.text,children.4.decl.topic,children.4.frag.mode,children.4.frag.n,children.4.frag.polarity,children.4.frag.sp-act,children.4.frag.text,children.4.frag.topic,children.5.decl.mode,children.5.decl.n,children.5.decl.polarity,children.5.decl.sp-act,children.5.decl.text,children.5.decl.topic,children.5.frag.mode,children.5.frag.n,children.5.frag.polarity,children.5.frag.sp-act,children.5.frag.text,children.5.frag.topic,children.6.decl.children.0.backchannel.content,children.6.decl.mode,children.6.decl.n,children.6.decl.polarity,children.6.decl.sp-act,children.6.decl.text,children.6.decl.topic,children.7.decl.children.0.backchannel.content,children.7.decl.mode,children.7.decl.n,children.7.decl.polarity,children.7.decl.sp-act,children.7.decl.text,children.7.decl.topic,children.7.frag.mode,children.7.frag.n,children.7.frag.polarity,children.7.frag.sp-act,children.7.frag.text,children.7.frag.topic,children.8.decl.children.0.backchannel.content,children.8.decl.mode,children.8.decl.n,children.8.decl.polarity,children.8.decl.sp-act,children.8.decl.text,children.8.decl.topic,children.8.dm.n,children.8.dm.sp-act,children.8.dm.text,children.9.decl.mode,children.9.decl.n,children.9.decl.polarity,children.9.decl.sp-act,children.9.decl.text,children.9.decl.topic,n,speaker,text
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,16,positive,reqInfo,"
and what date is it you're travelling out
",date-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,A,"
"
11,,,closure,17,positive,answ,"
the eighth of October
",month-date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,B,"
"
12,,,,,,,,,,,,,,,,,open,18,positive,reqInfo,"
",time-departure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,A,"
"
13,,,intent-closure,19,positive,answ,"
i'd like to leave on the 7 33 train
",departure-preference-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,B,"
"
14,,,,,,,,,,,,,,,,,deixis,20,positive,confirm,"
from Birmingham International
",location-from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,A,"
"
15,,,,,,,,,,,,,,,,,deixis,21,positive,correct,"
New Street
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,B,"
"
16,,,,,,,,,,regret,22,,expressRegret,"
sorry
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,23,positive,correctSelf,"
Birmingham New Street
",location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10s,24,ackn,"
yeah ",,exists,25,positive,inform,"
there's the 7 33 from Birmingham New Street
",location-enum-from,,,,,,,,,,,,,,,deixis,26,positive,inform,"
arriving at 9 05 in Euston
",location-time-arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,A,"
"
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,B,"
"
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open,28,positive,reqInfo,"
and when is it you're returning
",time-return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,A,"
"
19,,,,,,,,,,,,,,,,,deixis-closure,29,positive,answ,"
em same day on the em 17 15
",day-enum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,B,"
"
20,,,,,,,,,,,,,,,,7s,deixis,30,positive,confirm,"
",time-arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,A,"
"
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,ackn,"
yeah ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,B,"
"
22,,,,,,,,,,,32,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reportIntent,33,positive,informIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you
",fare-avail-verify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,init,"
so
",,,,,,,,,,,,,,,,,,yes,poss2-condition-manage,35,positive,hold,"
if you can ",hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,A,"
"
23,,,,,,,,,,,,,,,,,,36,,thank,"
thank you
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,B,"
"
24,,,,37,positive,confirm,"
and that's for the eighth of October
",month-date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A,"
"
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,B,"
"
26,,,,,,,,,20s,,39,,init,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reason,40,positive,inform,"
because of the time that you're travelling out ",time-location-journey,,,,,,,,,,,,,,,,,,,,,,,exists,41,negative,inform,"
there's not any advance purchase tickets left ",fare-journey,,,,,,,,,,,,,,,,,,,,,,,,42,positive,inform,"
they've now been booked up
",avail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,A,"
"
27,,,,,,,,,,,43,positive,ackn,"
right
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,B,"
"
28,,,,44,positive,inform-disc,"
and the cheapest way to do it is going to is
",fare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reason,45,positive,inform,"
cos it's the normal price
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,,46,positive,inform-cont,"
is gonna be standard open return at 61 pounds 50 ",fare,,,,,,,,,,,,constrain,47,positive,inform,"
but you reduce that slightly ",fare,,,,,,,,,,48,positive,inform,"
you'll be able to get the standard open single at 33 pounds on your outward service
",fare,,,,,,,,,,,,,deixis,49,positive,refer,"
then on the return
",fare,yes,condition,50,positive,inform,"
as long as you're prepared to stick to the date and time ",time-date,right,poss2,51,positive,inform,"
you can get the Virgin value single at 7 pounds ",fare,,,,,,,,,,,,,,52,init,"
so
",,53,positive,inform,"
that's going to save you 21 pounds 50 there
",fare,29,A,"
"
29,,,reassurance-appreciate,54,positive,appreciate,"
that's fine
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,ackn,"
yeah ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,B,"
"
30,,,,,,,,,,,56,,init,"
so
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intent,57,positive,informIntent,"
i'll just gonna book ",booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,init,"
so
",,,,,,,,,,,,,,,,,,,,59,positive,inform,"
we say it's a return journey
",fare-journey,,,,,,,,start,constrain,60,positive,inform,"
but it's classed as two ",number-fare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,A,"
"
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,ackn,"
yeah
",end,reassurance-appreciate,62,positive,appreciate,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,B,"
"
32,,,,,,,,,,,64,,init,"
now
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,65,positive,confirm,"
on the eighth October
",month,,,,,,,,,,,,,,,,,,,,,,,,66,positive,confirm,"
you're travelling from Birmingham New Street at 7 33 ",time-location-from-journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,67,positive,confirm,"
arriving in Euston at 9 05
",location-time-arrival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,A,"
"
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,ackn,"
yeah
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,B,"
"
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed-alternative,69,positive,reqDirect,"
would you like smoking or non smoking
",preference-seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,A,"
"
35,,,,,,,,,,,,,,,start,,closure,70,positive,direct,"
non smoking ",seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,B,"
"
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,end,closed,71,positive,reqDirect,"
and ",preference-booking-seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,A,"
"
37,,,,,,,,,,,,,,,,,condition-closure,72,positive,direct,"
erm ",seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,B,"
"
38,,,,,,,,,3s,,73,positive,accept,"
ok ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benefit,74,positive,inform,"
that's booked for you
",booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,init,"
now
",,,,,,,,,,,,,,,,,,,reportIntent,76,positive,confirm,"
i'm booking from Euston to Birmingham New Street
",to-location-from-booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,A,"
"
39,,,,,,,,,,,77,positive,ackn,"
alright
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,B,"
"
40,,,,,,,,,,,,,,,,2s,deixis,78,positive,confirm,"
on the 8th again ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deixis,79,positive,confirm,"
departing 17 15
",departure-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,A,"
"
