,DialogueID,Turn-N,Speaker,Talk,Talk-N,Sp-Act,Text,Mode,Topic,Polarity,Act,Key,Value
34,01,20,B,frag,32,answer-refer,"
same day ",decl,day,positive,punc,type,stop
35,01,20,B,frag,33,elab-refer,"
on the em 17:15 ",partial-decl,,positive,punc,type,stop
36,01,21,A,frag,34,reqConfirm,"
",query,time-arrival,positive,pause,length,7s
37,01,21,A,frag,34,reqConfirm,"
",query,time-arrival,positive,punc,type,query
38,01,22,B,yes,35,confirm-acknowledge,"
",,,,pause,,
39,01,22,B,yes,35,confirm-acknowledge,"
",,,,punc,type,stop
40,01,23,A,dm,36,init,"
",,,,pause,,
41,01,23,A,decl,37,stateIntent-hold,"
i'm just going to check to see what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
42,01,23,A,dm,38,init,"
so
",,,,,,
43,01,23,A,decl,39,hold,"
if you can ",request-poss2-hold-condition-decl,,positive,backchannel,content,yes
44,01,23,A,decl,39,hold,"
if you can ",request-poss2-hold-condition-decl,,positive,punc,type,stop
45,01,24,B,frag,40,thank,"
thank you ",thank-decl,,positive,punc,type,stop
46,01,25,A,decl,41,reqConfirm,"
and that's for the 8th of October ",query,month-date,positive,punc,type,query
47,01,26,B,yes,42,confirm-acknowledge,"
yeah ",,,,punc,type,stop
48,01,27,A,dm,43,init,"
",,,,pause,length,20s
49,01,27,A,frag,44,referReason,"
because of the time that you're travelling out ",reason-partial-frag,location-journey-time,positive,pause,,
50,01,27,A,frag,44,referReason,"
because of the time that you're travelling out ",reason-partial-frag,location-journey-time,positive,punc,type,level
51,01,27,A,decl,45,state,"
there's not any advance purchase tickets left ",exists-decl,fare-journey,negative,punc,type,stop
52,01,27,A,decl,46,state,"
",,availability,positive,pause,,
53,01,28,B,dm,47,acknowledge,"
right ",,,,punc,type,stop
54,01,29,A,decl,48,predict,"
and the cheapest way to do it is going to is ",predict-frag,fare,positive,punc,type,level
55,01,29,A,decl,49,stateReason,"
cos it's the normal price is gonna be standard open return at 61 pounds 50 ",reason-decl,fare-enum,positive,backchannel,content,right
56,01,29,A,decl,49,stateReason,"
cos it's the normal price is gonna be standard open return at 61 pounds 50 ",reason-decl,fare-enum,positive,punc,type,stop
57,01,29,A,decl,50,state,"
but you reduce that slightly ",constrain-decl,fare,positive,punc,type,stop
58,01,29,A,decl,51,predict,"
",predict-decl,fare-enum,positive,pause,,
59,01,29,A,decl,51,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
60,01,29,A,frag,52,refer,"
then on the return ",frag,fare,positive,punc,type,level
61,01,29,A,decl,53,stateCondition,"
as long as you're prepared to stick to the date and time ",condition-frag,time-date,positive,backchannel,content,yes
62,01,29,A,decl,53,stateCondition,"
as long as you're prepared to stick to the date and time ",condition-frag,time-date,positive,punc,type,level
63,01,29,A,decl,54,expressPossibility,"
you can get the Virgin Value Single at 7 pounds ",poss2-decl,fare-enum,positive,backchannel,content,right
64,01,29,A,decl,54,expressPossibility,"
you can get the Virgin Value Single at 7 pounds ",poss2-decl,fare-enum,positive,punc,type,stop
65,01,29,A,decl,55,predict,"
so that's going to save you 21 pounds 50 there ",predict-decl,enum-fare-location,positive,punc,type,stop
66,01,30,B,decl,56,approve,"
that's fine ",reassurance-decl,,positive,punc,type,stop
67,01,30,B,yes,57,acknowledge,"
yeah ",,,,punc,type,stop
68,01,31,A,dm,58,init,"
",,,,pause,,
69,01,31,A,decl,59,stateIntent,"
i'll just gonna book
",intent,booking,positive,,,
70,01,31,A,dm,60,init,"
",,,,pause,,
71,01,31,A,decl,61,reqConfirm,"
we say it's a return journey ",tag-frag,fare-journey,positive,punc,type,level
72,01,31,A,decl,62,state,"
but it's classed as two ",constrain-decl,fare-number,positive,overlap,type,start
73,01,31,A,decl,62,state,"
but it's classed as two ",constrain-decl,fare-number,positive,punc,type,stop
74,01,32,B,yes,63,confirm-acknowledge,"
yeah ",,,,punc,type,stop
75,01,32,B,decl,64,elab-approve,"
",reassurance-decl,,positive,overlap,type,end
76,01,32,B,decl,64,elab-approve,"
",reassurance-decl,,positive,punc,type,stop
77,01,32,B,yes,65,acknowledge,"
yeah ",,,,punc,type,stop
78,01,33,A,dm,66,init,"
now
",,,,,,
79,01,33,A,frag,67,refer,"
on the 8th October ",partial-frag,month,positive,punc,type,level
80,01,33,A,decl,68,state,"
you're travelling from Birmingham New Street at 7:33 ",frag,location-journey-time-from,positive,punc,type,level
81,01,33,A,frag,69,state,"
",,location-time-arrival,positive,pause,,
82,01,34,B,yes,70,acknowledge,"
yeah ",,,,punc,type,stop
83,01,35,A,q-yn,71,reqDirect,"
would you like smoking or non-smoking ",alternative-preference2-closed-query,seat,positive,punc,type,query
84,01,36,B,frag,72,direct-refer,"
non-smoking ",request-decl,seat,positive,overlap,type,start
85,01,36,B,frag,72,direct-refer,"
non-smoking ",request-decl,seat,positive,punc,type,stop
86,01,37,A,q-yn,73,reqInfo,"
and ",closed-query,booking-seat,positive,overlap,type,end
87,01,37,A,q-yn,73,reqInfo,"
and ",closed-query,booking-seat,positive,punc,type,query
88,01,38,B,dm,74,hesitate,"
erm ",,,,pause,,
89,01,38,B,frag,75,answer-state,"
facing the way the train's going if possible ",condition-decl,seat,positive,punc,type,stop
90,01,39,A,dm,76,acknowledge,"
ok ",tag,,,punc,type,stop
91,01,39,A,decl,77,state,"
",effect-benefit-decl,booking,positive,pause,length,3s
92,01,39,A,decl,77,state,"
",effect-benefit-decl,booking,positive,punc,type,stop
93,01,39,A,dm,78,init,"
now
",,,,,,
94,01,39,A,decl,79,stateIntent,"
i'm booking from Euston to Birmingham New Street ",intent-decl,location-booking-to-from,positive,punc,type,stop
95,01,40,B,dm,80,acknowledge,"
alright ",tag,,,punc,type,stop
96,01,41,A,frag,81,refer,"
on the 8th again ",partial-decl,,positive,punc,type,stop
97,01,41,A,frag,82,reqConfirm,"
",partial-query,departure,positive,pause,length,2s
98,01,41,A,frag,82,reqConfirm,"
",partial-query,departure,positive,punc,type,query
99,01,42,B,yes,83,confirm-acknowledge,"
yep ",,,,punc,type,stop
100,01,43,A,decl,84,predict,"
",predict-decl,fare-enum,positive,pause,length,3s
101,01,43,A,decl,84,predict,"
",predict-decl,fare-enum,positive,punc,type,stop
102,01,44,B,yes,85,acknowledge,"
yep ",,,,punc,type,stop
103,01,45,A,decl,86,stateIntent,"
i'm going to book you a forward facing seat again ",intent-decl,seat-booking,positive,punc,type,stop
104,01,45,A,dm,87,init,"
",,,,pause,length,2s
105,01,45,A,frag,88,refer,"
with the Standard Open Single ",partial-frag,fare,positive,punc,type,level
106,01,45,A,decl,89,stateCondition,"
if you miss the service i've reserved you on ",report-condition-frag,miss,positive,punc,type,level
107,01,45,A,decl,90,expressPossibility,"
you are able to get the next available train ",poss2-decl,availability,positive,backchannel,content,right
108,01,45,A,decl,90,expressPossibility,"
you are able to get the next available train ",poss2-decl,availability,positive,punc,type,stop
109,01,45,A,decl,91,state,"
and it's a full refund less 5 pounds if you have to cancel ",constrain-condition-decl,fare-refund-enum-cancel,positive,backchannel,content,right
110,01,45,A,decl,91,state,"
and it's a full refund less 5 pounds if you have to cancel ",constrain-condition-decl,fare-refund-enum-cancel,positive,punc,type,stop
111,01,45,A,frag,92,refer,"
but with the Virgin Value fare ",constrain-partial-frag,fare,positive,punc,type,level
112,01,45,A,decl,93,stateConstraint,"
you must stick to the date and time that you book ",constrain-decl,booking-time-date,positive,backchannel,content,right
113,01,45,A,decl,93,stateConstraint,"
you must stick to the date and time that you book ",constrain-decl,booking-time-date,positive,punc,type,stop
114,01,45,A,decl,94,stateCondition,"
if you wanted to change the time of that travel ",preference2-condition-frag,journey-time,positive,punc,type,level
115,01,45,A,decl,95,stateConstraint,"
you must do so by 6 o'clock the day before your outward journey ",tag-constrain-decl,time-journey-enum-day,positive,backchannel,content,yeah
116,01,45,A,decl,95,stateConstraint,"
you must do so by 6 o'clock the day before your outward journey ",tag-constrain-decl,time-journey-enum-day,positive,punc,type,stop
117,01,45,A,decl,96,state,"
and it's subject to availability and 5 pounds charge ",constrain-decl,fare-availability-enum,positive,punc,type,stop
118,01,46,B,dm,97,acknowledge,"
right ",,,,punc,type,stop
119,01,47,A,dm,98,init,"
now
",,,,,,
120,01,47,A,frag,99,direct-refer,"
your surname please ",request-frag,name,positive,punc,type,level
121,01,48,B,frag,100,refer,"
",decl,,positive,anonym,type,name
122,01,48,B,frag,100,refer,"
",decl,,positive,punc,type,stop
123,01,48,B,frag,101,refer,"
",decl,,positive,anonym,type,spell
124,01,48,B,frag,101,refer,"
",decl,,positive,punc,type,stop
125,01,49,A,frag,102,reqInfo,"
",query,name,positive,pause,,
126,01,49,A,frag,102,reqInfo,"
",query,name,positive,punc,type,query
127,01,50,B,frag,103,answer-refer,"
",decl,,positive,anonym,type,letter
128,01,50,B,frag,103,answer-refer,"
",decl,,positive,punc,type,stop
129,01,51,A,frag,104,reqInfo,"
and your title ",query,name,positive,punc,type,query
130,01,52,B,frag,105,answer-refer,"
Doctor ",decl,,positive,punc,type,stop
131,01,53,A,frag,106,reqInfo,"
and your contact telephone number ",query,telephone-number,positive,punc,type,query
132,01,54,B,dm,107,hesitate,"
em
",,,,,,
133,01,54,B,frag,108,answer-refer,"
0 1 1 1 ",decl,enum,positive,punc,type,stop
134,01,55,A,dm,109,acknowledge,"
",,,,pause,,
135,01,55,A,dm,109,acknowledge,"
",,,,punc,type,stop
136,01,56,B,frag,110,refer,"
1 3 5 ",frag,enum,positive,punc,type,level
137,01,57,A,dm,111,acknowledge,"
",,,,pause,,
138,01,57,A,dm,111,acknowledge,"
",,,,punc,type,stop
139,01,58,B,frag,112,refer,"
1 3 1 8 ",decl,enum,positive,punc,type,stop
140,01,59,A,frag,113,reqInfo,"
",query,creditcard-address,positive,pause,length,2s
141,01,59,A,frag,113,reqInfo,"
",query,creditcard-address,positive,punc,type,query
142,01,60,B,frag,114,answer-refer,"
",decl,enum,positive,anonym,type,letter
143,01,60,B,frag,114,answer-refer,"
",decl,enum,positive,pause,,
144,01,60,B,frag,114,answer-refer,"
",decl,enum,positive,anonym,type,letter
145,01,60,B,frag,114,answer-refer,"
",decl,enum,positive,anonym,type,letter
146,01,60,B,frag,114,answer-refer,"
",decl,enum,positive,punc,type,stop
147,01,61,A,imp,115,direct,"
and confirm that address for me please ",request-frag,confirm-address,positive,punc,type,level
148,01,62,B,decl,116,state,"
it's ",decl,address,positive,anonym,type,street
149,01,62,B,decl,116,state,"
it's ",decl,address,positive,pause,,
150,01,62,B,decl,116,state,"
it's ",decl,address,positive,punc,type,stop
151,01,62,B,decl,117,state,"
it's number 12 ",decl,number,positive,punc,type,stop
152,01,63,A,frag,118,echo-refer,"
12  ",decl,,positive,punc,type,stop
153,01,63,A,frag,119,reqInfo,"
",query,number-creditcard,positive,pause,,
154,01,63,A,frag,119,reqInfo,"
",query,number-creditcard,positive,pause,,
155,01,63,A,frag,119,reqInfo,"
",query,number-creditcard,positive,punc,type,query
156,01,64,B,decl,120,answer-state,"
it's a debit card ",decl,creditcard,positive,backchannel,content,aha
157,01,64,B,decl,120,answer-state,"
it's a debit card ",decl,creditcard,positive,punc,type,stop
158,01,64,B,frag,121,elab-refer,"
number 2 5 9 ",frag,enum-number,positive,punc,type,level
159,01,65,A,frag,122,echo-refer,"
2 5 9 ",frag,enum,positive,punc,type,level
160,01,66,B,frag,123,refer,"
5 3 1 ",frag,enum,positive,punc,type,level
161,01,67,A,frag,124,echo-refer,"
5 3 1 ",frag,enum,positive,punc,type,level
162,01,68,B,frag,125,refer,"
1 5 1 ",frag,enum,positive,punc,type,level
163,01,69,A,frag,126,echo-refer,"
1 5 1 ",frag,enum,positive,punc,type,level
164,01,70,B,frag,127,refer,"
8 6 1 ",frag,enum,positive,punc,type,level
165,01,71,A,frag,128,echo-refer,"
8 6 1 ",frag,enum,positive,punc,type,level
166,01,72,B,frag,129,refer,"
9 1 1 ",frag,enum,positive,punc,type,level
167,01,73,A,frag,130,echo-refer,"
9 1 1 ",frag,enum,positive,punc,type,level
168,01,74,B,frag,131,refer,"
0 1 5 ",decl,enum,positive,punc,type,stop
169,01,75,A,frag,132,echo-refer,"
0 1 5 ",decl,enum,positive,punc,type,stop
170,01,75,A,frag,133,reqInfo,"
and the issue number ",query,number,positive,punc,type,query
171,01,76,B,frag,134,answer-refer,"
1 ",decl,enum,positive,punc,type,stop
172,01,77,A,frag,135,reqInfo,"
and the expiry date ",query,creditcard,positive,punc,type,query
173,01,78,B,frag,136,answer-refer,"
November this year ",decl,month,positive,punc,type,stop
174,01,79,A,dm,137,init,"
",,,,pause,length,3s
175,01,79,A,decl,138,state,"
this is your reference number your tickets have been booked under ",decl,booking-number-journey,positive,punc,type,stop
176,01,80,B,dm,139,acknowledge,"
ok ",tag,,,punc,type,stop
177,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,letter
178,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,alpha
179,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,letter
180,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,alpha
181,01,81,A,decl,140,refer,"
it's ",frag,,positive,pause,,
182,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,letter
183,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,alpha
184,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,letter
185,01,81,A,decl,140,refer,"
it's ",frag,,positive,anonym,type,alpha
186,01,81,A,decl,140,refer,"
it's ",frag,,positive,punc,type,level
187,01,82,B,yes,141,acknowledge,"
yeah ",,,,punc,type,stop
188,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
189,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
190,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,pause,,
191,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
192,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
193,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,anonym,type,letter
194,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,anonym,type,alpha
195,01,83,A,frag,142,refer,"
",partial-decl,number-enum,positive,punc,type,stop
196,01,84,B,dm,143,acknowledge,"
right ",,,,punc,type,stop
197,01,85,A,decl,144,state,"
and 40 pounds exactly's been debited from your debit card ",decl,booking-fare-enum-creditcard,positive,punc,type,stop
198,01,85,A,decl,145,predict,"
and the two tickets will be posted out first class to you this afternoon
",,number-journey-time,positive,,,
199,01,85,A,dm,146,reqConfirm,"
ok now ",,,,punc,type,query
200,01,86,B,decl,147,confirm-approve,"
that's brilliant ",decl,,positive,punc,type,stop
201,01,87,A,frag,148,thank,"
thank you for calling ",thank-intro,,,punc,type,stop
202,01,88,B,frag,149,thank,"
thanks very much ",thank,,,punc,type,stop
203,01,88,B,frag,150,bye,"
",farewell-closing,,,overlap,type,start
204,01,89,A,frag,151,echo-bye,"
bye ",farewell-closing,,,overlap,type,end
205,01,89,A,frag,151,echo-bye,"
bye ",farewell-closing,,,punc,type,stop
206,02,1,A,frag,1,greet,"
good afternoon ",greet-opening,,,punc,type,stop
207,02,1,A,frag,2,refer,"
Virgin Trainline ",partial-frag,,positive,punc,type,level
208,02,1,A,frag,3,identifySelf,"
Sandra speaking ",intro-partial-decl,,positive,punc,type,stop
209,02,1,A,q-wh,4,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
210,02,2,B,dm,5,hesitate,"
er
",,,,,,
211,02,2,B,frag,6,direct-refer,"
Euston to Manchester please ",request-decl,location-to,positive,punc,type,stop
212,02,3,A,dm,7,init,"
",,,,pause,,
213,02,3,A,dm,7,init,"
",,,,punc,type,level
214,02,3,A,q-yn,8,reqInfo,"
do you hold a current debit or credit card ",alternative-closed-query,creditcard,positive,punc,type,query
215,02,4,B,dm,9,answer-acknowledge,"
aha ",,,,punc,type,stop
216,02,5,A,q-yn,10,reqInfo,"
do you have a railcard at all ",closed-query,railcard,positive,punc,type,query
217,02,6,B,no,11,answer-negate,"
no ",,,,punc,type,stop
218,02,7,A,q-wh,12,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
219,02,8,B,frag,13,answer-direct-refer,"
just one please ",request-decl,number,positive,punc,type,stop
220,02,9,A,q-wh,14,reqInfo,"
and what date is it you're travelling ",open-query,journey-date,positive,punc,type,query
221,02,10,B,decl,15,answer-state,"
the Saturday which is the 3rd i think ",opinion-decl,day,positive,punc,type,stop
222,02,11,A,frag,16,refer-abandon,"
3rd of Oc... ",abandon-abandon,date,positive,punc,type,incomplete
223,02,12,B,frag,17,complete,"
",decl,month,positive,overlap,type,start
224,02,12,B,frag,17,complete,"
",decl,month,positive,punc,type,stop
225,02,13,A,frag,18,echo-refer,"
October ",decl,month,positive,overlap,type,end
226,02,13,A,frag,18,echo-refer,"
October ",decl,month,positive,punc,type,stop
227,02,13,A,frag,19,reqInfo,"
departing at what time from London Euston ",open-query,location-time-from-departure,positive,punc,type,query
228,02,14,B,decl,20,expressNonAwareness,"
i'm not sure what time the trains are ",doubt-decl,time,negative,punc,type,stop
229,02,14,B,q-yn,21,reqInfo,"
do you know ",closed-query,,positive,punc,type,query
230,02,15,A,dm,22,init,"
well ",,,,punc,type,level
231,02,15,A,decl,23,answer-state,"
the trains run at 10 to the hour every hour ",decl,time-enum,positive,punc,type,stop
232,02,16,B,frag,24,echo-refer,"
every hour ",decl,time,positive,punc,type,stop
233,02,16,B,decl,25,predictPossibility,"
",opinion-predict-decl,enum,positive,pause,,
234,02,16,B,decl,25,predictPossibility,"
",opinion-predict-decl,enum,positive,punc,type,stop
235,02,17,A,frag,26,reqConfirm,"
arriving at 17:30 ",decl,time-arrival,positive,punc,type,stop
236,02,18,B,dm,27,confirm-agree,"
that's right ",reassurance-tag,,,punc,type,stop
237,02,18,B,yes,28,elab-acknowledge,"
yeah ",,,,punc,type,stop
238,02,19,A,q-wh,29,reqInfo,"
when are you returning ",open-query,time-return,positive,punc,type,query
239,02,20,B,dm,30,hesitate,"
er
",,,,,,
240,02,20,B,frag,31,answer-refer,"
Monday ",decl,day,positive,punc,type,stop
241,02,21,A,frag,32,reqInfo,"
departing at what time ",query-open-query,time-departure,positive,punc,type,query
242,02,22,B,dm,33,hesitate,"
em
",,,,,,
243,02,22,B,frag,34,answer-refer,"
",decl,time,positive,unclear,length,2 syllables
244,02,22,B,frag,34,answer-refer,"
",decl,time,positive,punc,type,stop
245,02,23,A,frag,35,refer,"
on the half hour ",partial-decl,time,positive,punc,type,stop
246,02,23,A,decl,36,reqConfirm,"
and that's Monday the 5th yeah ",query,day,positive,punc,type,query
247,02,24,B,dm,37,confirm-agree,"
that's right
",reassurance-tag,,,,,
248,02,24,B,yes,38,elab-acknowledge,"
yeah ",,,,punc,type,stop
249,02,24,B,dm,39,hesitate,"
em
",,,,,,
250,02,24,B,imp,40,suggest,"
let's say ",decl,time-enum,positive,pause,,
251,02,24,B,imp,40,suggest,"
let's say ",decl,time-enum,positive,punc,type,stop
252,02,25,A,dm,41,init,"
",,,,pause,length,8s
253,02,25,A,dm,41,init,"
",,,,punc,type,level
254,02,25,A,decl,42,state,"
there's a train at 14:30 from Manchester Picadilly ",exists-decl,location-time-from-enum,positive,punc,type,stop
255,02,25,A,decl,43,state,"
",decl,location-enum-arrival,positive,pause,,
256,02,25,A,decl,43,state,"
",decl,location-enum-arrival,positive,punc,type,stop
257,02,26,B,dm,44,acknowledge,"
ok ",tag,,,punc,type,stop
258,02,26,B,decl,45,approve,"
that's great ",decl,,positive,punc,type,stop
259,02,27,A,dm,46,init,"
now ",,,,punc,type,level
260,02,27,A,decl,47,stateIntent-hold,"
i'm just going to check with you what's your cheapest fare available to you ",intent-report-hold-decl,fare-availability-verify,positive,punc,type,stop
261,02,28,B,dm,48,agree,"
sure ",,,,punc,type,stop
262,02,28,B,decl,49,state,"
",report-decl,fare-enum,positive,pause,length,9s
263,02,28,B,decl,49,state,"
",report-decl,fare-enum,positive,punc,type,stop
264,02,29,A,decl,50,state,"
the 19 pounds is not available at the dates and times specified ",decl,fare-availability-date-enum,negative,punc,type,stop
265,02,30,B,dm,51,acknowledge,"
right ",,,,punc,type,level
266,02,31,A,decl,52,stateConstraint,"
you'd need to travel out an hour later on Saturday and come back on the 19:59 train in the evening on Monday ",constrain-decl,time-day-journey-enum,positive,punc,type,stop
267,02,32,B,dm,53,acknowledge,"
right em
",,,,,,
268,02,33,A,decl,54,stateCondition,"
if it has to be the dates and times that you specified to me ",condition-frag,date,positive,backchannel,content,ok
269,02,33,A,decl,54,stateCondition,"
if it has to be the dates and times that you specified to me ",condition-frag,date,positive,punc,type,level
270,02,33,A,decl,55,state,"
that's a Super Advance Return at 30 pounds ",decl,fare-enum,positive,punc,type,stop
271,02,34,B,frag,56,echo-refer,"
30 ",decl,,positive,punc,type,stop
272,02,34,B,dm,57,hesitate,"
em
",,,,,,
273,02,34,B,imp,58,hold,"
",opinion-hold-decl,,positive,pause,,
274,02,34,B,imp,58,hold,"
",opinion-hold-decl,,positive,punc,type,stop
275,02,34,B,q-yn,59,reqInfo,"
",condition-closed-query,cancel,positive,pause,,
276,02,34,B,q-yn,59,reqInfo,"
",condition-closed-query,cancel,positive,punc,type,query
277,02,35,A,decl,60,reqInfo,"
you don't want to book at all ",query,booking,negative,punc,type,query
278,02,36,B,no,61,answer-reject,"
no thank you ",thank,,,punc,type,stop
279,02,37,A,dm,62,acknowledge,"
ok then
",tag,,,,,
280,02,37,A,address,63,refer,"
Sir
",,,,,,
281,02,37,A,frag,64,bye,"
",farewell-closing,,,overlap,type,start
282,02,37,A,frag,64,bye,"
",farewell-closing,,,punc,type,stop
283,02,38,B,frag,65,echo-bye,"
bye ",farewell-closing,,,overlap,type,end
284,02,38,B,frag,65,echo-bye,"
bye ",farewell-closing,,,punc,type,stop
285,03,1,A,frag,1,greet,"
good afternoon ",greet-opening,,,punc,type,stop
286,03,1,A,frag,2,refer,"
Virgin Trainlines ",frag,,positive,punc,type,level
287,03,1,A,frag,3,identifySelf,"
Sandra speaking ",intro-partial-decl,,positive,punc,type,stop
288,03,1,A,q-wh,4,reqDirect,"
for which journey do you wish to purchase a ticket ",preference2-open-query,journey,positive,punc,type,query
289,03,2,B,dm,5,hesitate,"
er
",,,,,,
290,03,2,B,frag,6,direct-refer,"
from Macclesfield to London Euston return ",partial-decl,location-to-fare-from,positive,punc,type,stop
291,03,3,A,dm,7,init,"
now
",,,,,,
292,03,3,A,q-yn,8,reqInfo,"
do you hold a current credit or debit card ",alternative-closed-query,creditcard,positive,punc,type,query
293,03,4,B,yes,9,answer-acknowledge,"
yes ",,,,punc,type,stop
294,03,5,A,q-yn,10,reqInfo,"
do you have a rail card at all ",closed-query,railcard,positive,punc,type,query
295,03,6,B,no,11,answer-negate,"
no ",,,,punc,type,stop
296,03,7,A,q-wh,12,reqInfo,"
and how many people's travelling ",query-open-query,number-journey,positive,punc,type,query
297,03,8,B,frag,13,answer-refer,"
two ",decl,number,positive,punc,type,stop
298,03,9,A,q-yn,14,reqInfo,"
is that two adults ",closed-query,number,positive,punc,type,query
299,03,10,B,yes,15,answer-acknowledge,"
yes ",,,,punc,type,stop
300,03,11,A,q-wh,16,reqInfo,"
and what date is it you're departing ",open-query,date-departure,positive,punc,type,query
301,03,12,B,dm,17,hesitate,"
er
",,,,,,
302,03,12,B,frag,18,answer-refer,"
3rd of October ",decl,month-date,positive,punc,type,stop
303,03,13,A,frag,19,reqInfo,"
Saturday ",query,day,positive,punc,type,query
304,03,14,B,yes,20,answer-acknowledge,"
yes ",,,,punc,type,stop
305,03,15,A,q-wh,21,reqDirect,"
",preference2-open-query,time-from,positive,pause,,
306,03,15,A,q-wh,21,reqDirect,"
",preference2-open-query,time-from,positive,punc,type,query
307,03,16,B,dm,22,hesitate,"
em
",,,,,,
308,03,16,B,frag,23,direct-refer,"
about 9 o'clock ",partial-decl,time-enum,positive,punc,type,stop
309,03,17,A,q-wh,24,reqDirect,"
",preference2-open-query,time,positive,pause,length,7s
310,03,17,A,q-wh,24,reqDirect,"
",preference2-open-query,time,positive,punc,type,query
311,03,18,B,dm,25,hesitate,"
er ",,,,pause,,
312,03,18,B,frag,26,direct-refer,"
on ",partial-decl,month-date-day,positive,pause,,
313,03,18,B,frag,26,direct-refer,"
on ",partial-decl,month-date-day,positive,punc,type,stop
314,03,18,B,frag,27,elab-refer,"
at about midday ",decl,time-day,positive,punc,type,stop
