Key,Value
data_0_dialogue_2_turn_0_q-yn_text,"
is that Birmingham New Street
"
data_0_dialogue_3_turn_n,4
data_0_dialogue_3_turn_speaker,B
data_0_dialogue_3_turn_0_yes_n,6
data_0_dialogue_3_turn_0_yes_sp-act,answ
data_0_dialogue_3_turn_0_yes_mode,closure
data_0_dialogue_3_turn_0_yes_text,"
yeah
"
data_0_dialogue_4_turn_n,5
data_0_dialogue_4_turn_speaker,A
data_0_dialogue_4_turn_0_dm_n,7
data_0_dialogue_4_turn_0_dm_sp-act,init
data_0_dialogue_4_turn_0_dm_text,"
now
"
data_0_dialogue_4_turn_1_q-yn_n,8
data_0_dialogue_4_turn_1_q-yn_sp-act,reqInfo
data_0_dialogue_4_turn_1_q-yn_polarity,positive
data_0_dialogue_4_turn_1_q-yn_topic,creditcard
data_0_dialogue_4_turn_1_q-yn_mode,closed-alternative
data_0_dialogue_4_turn_1_q-yn_text,"
do you hold a current debit or credit card
"
data_0_dialogue_5_turn_n,6
data_0_dialogue_5_turn_speaker,B
data_0_dialogue_5_turn_0_yes_n,9
data_0_dialogue_5_turn_0_yes_sp-act,answ
data_0_dialogue_5_turn_0_yes_text,"
er yeah
"
data_0_dialogue_5_turn_1_frag_n,10
data_0_dialogue_5_turn_1_frag_sp-act,answElab
data_0_dialogue_5_turn_1_frag_polarity,positive
data_0_dialogue_5_turn_1_frag_topic,creditcard
data_0_dialogue_5_turn_1_frag_mode,closure
data_0_dialogue_5_turn_1_frag_text,"
a debit card
"
data_0_dialogue_6_turn_n,7
data_0_dialogue_6_turn_speaker,A
data_0_dialogue_6_turn_0_dm_n,11
data_0_dialogue_6_turn_0_dm_sp-act,init
data_0_dialogue_6_turn_0_dm_text,"
now "
data_0_dialogue_6_turn_0_dm_0_pause_text,
data_0_dialogue_6_turn_1_q-yn_n,12
data_0_dialogue_6_turn_1_q-yn_sp-act,reqInfo
data_0_dialogue_6_turn_1_q-yn_polarity,positive
data_0_dialogue_6_turn_1_q-yn_topic,railcard
data_0_dialogue_6_turn_1_q-yn_mode,closed
data_0_dialogue_6_turn_1_q-yn_text,"
do you have a rail card
"
data_0_dialogue_7_turn_n,8
data_0_dialogue_7_turn_speaker,B
data_0_dialogue_7_turn_0_no_n,13
data_0_dialogue_7_turn_0_no_sp-act,answ
data_0_dialogue_7_turn_0_no_mode,closure
data_0_dialogue_7_turn_0_no_text,"
no
"
data_0_dialogue_8_turn_n,9
data_0_dialogue_8_turn_speaker,A
data_0_dialogue_8_turn_0_q-wh_n,14
data_0_dialogue_8_turn_0_q-wh_sp-act,reqInfo
data_0_dialogue_8_turn_0_q-wh_polarity,positive
data_0_dialogue_8_turn_0_q-wh_topic,number-journey
data_0_dialogue_8_turn_0_q-wh_mode,open
data_0_dialogue_8_turn_0_q-wh_text,"
and how many people's travelling
"
data_0_dialogue_9_turn_n,10
data_0_dialogue_9_turn_speaker,B
data_0_dialogue_9_turn_0_frag_n,15
data_0_dialogue_9_turn_0_frag_sp-act,answ
data_0_dialogue_9_turn_0_frag_polarity,positive
data_0_dialogue_9_turn_0_frag_topic,number
data_0_dialogue_9_turn_0_frag_mode,partial-closure
data_0_dialogue_9_turn_0_frag_text,"
one
"
data_0_dialogue_10_turn_n,11
data_0_dialogue_10_turn_speaker,A
data_0_dialogue_10_turn_0_q-wh_n,16
data_0_dialogue_10_turn_0_q-wh_sp-act,reqInfo
data_0_dialogue_10_turn_0_q-wh_polarity,positive
data_0_dialogue_10_turn_0_q-wh_topic,date-journey
data_0_dialogue_10_turn_0_q-wh_mode,open
data_0_dialogue_10_turn_0_q-wh_text,"
and what date is it you're travelling out
"
data_0_dialogue_11_turn_n,12
data_0_dialogue_11_turn_speaker,B
data_0_dialogue_11_turn_0_decl_n,17
data_0_dialogue_11_turn_0_decl_sp-act,answ
data_0_dialogue_11_turn_0_decl_polarity,positive
data_0_dialogue_11_turn_0_decl_topic,month-date
data_0_dialogue_11_turn_0_decl_mode,closure
data_0_dialogue_11_turn_0_decl_text,"
the eighth of October
"
data_0_dialogue_12_turn_n,13
data_0_dialogue_12_turn_speaker,A
data_0_dialogue_12_turn_0_frag_n,18
data_0_dialogue_12_turn_0_frag_sp-act,reqInfo
data_0_dialogue_12_turn_0_frag_polarity,positive
data_0_dialogue_12_turn_0_frag_topic,time-departure
data_0_dialogue_12_turn_0_frag_mode,open
data_0_dialogue_12_turn_0_frag_0_pause_text,
data_0_dialogue_13_turn_n,14
data_0_dialogue_13_turn_speaker,B
data_0_dialogue_13_turn_0_decl_n,19
data_0_dialogue_13_turn_0_decl_sp-act,answ
data_0_dialogue_13_turn_0_decl_polarity,positive
data_0_dialogue_13_turn_0_decl_topic,departure-preference-time
data_0_dialogue_13_turn_0_decl_mode,intent-closure
data_0_dialogue_13_turn_0_decl_text,"
i'd like to leave on the 7 33 train
"
data_0_dialogue_14_turn_n,15
data_0_dialogue_14_turn_speaker,A
data_0_dialogue_14_turn_0_frag_n,20
data_0_dialogue_14_turn_0_frag_sp-act,confirm
data_0_dialogue_14_turn_0_frag_polarity,positive
data_0_dialogue_14_turn_0_frag_topic,location-from
data_0_dialogue_14_turn_0_frag_mode,deixis
data_0_dialogue_14_turn_0_frag_text,"
from Birmingham International
"
data_0_dialogue_15_turn_n,16
data_0_dialogue_15_turn_speaker,B
data_0_dialogue_15_turn_0_frag_n,21
data_0_dialogue_15_turn_0_frag_sp-act,correct
data_0_dialogue_15_turn_0_frag_polarity,positive
data_0_dialogue_15_turn_0_frag_topic,
data_0_dialogue_15_turn_0_frag_mode,deixis
data_0_dialogue_15_turn_0_frag_text,"
New Street
"
data_0_dialogue_16_turn_n,17
data_0_dialogue_16_turn_speaker,A
data_0_dialogue_16_turn_0_dm_n,22
data_0_dialogue_16_turn_0_dm_sp-act,expressRegret
data_0_dialogue_16_turn_0_dm_mode,regret
data_0_dialogue_16_turn_0_dm_text,"
sorry
"
data_0_dialogue_16_turn_1_frag_n,23
data_0_dialogue_16_turn_1_frag_sp-act,correctSelf
data_0_dialogue_16_turn_1_frag_polarity,positive
data_0_dialogue_16_turn_1_frag_topic,location
data_0_dialogue_16_turn_1_frag_mode,deixis
data_0_dialogue_16_turn_1_frag_text,"
Birmingham New Street
"
data_0_dialogue_16_turn_2_yes_n,24
data_0_dialogue_16_turn_2_yes_sp-act,ackn
data_0_dialogue_16_turn_2_yes_text,"
yeah "
data_0_dialogue_16_turn_2_yes_0_pause_length,10s
data_0_dialogue_16_turn_2_yes_0_pause_text,
data_0_dialogue_16_turn_3_decl_n,25
data_0_dialogue_16_turn_3_decl_sp-act,inform
data_0_dialogue_16_turn_3_decl_polarity,positive
data_0_dialogue_16_turn_3_decl_topic,location-enum-from
data_0_dialogue_16_turn_3_decl_mode,exists
data_0_dialogue_16_turn_3_decl_text,"
there's the 7 33 from Birmingham New Street
"
data_0_dialogue_16_turn_4_frag_n,26
data_0_dialogue_16_turn_4_frag_sp-act,inform
data_0_dialogue_16_turn_4_frag_polarity,positive
data_0_dialogue_16_turn_4_frag_topic,location-time-arrival
data_0_dialogue_16_turn_4_frag_mode,deixis
data_0_dialogue_16_turn_4_frag_text,"
arriving at 9 05 in Euston
"
data_0_dialogue_17_turn_n,18
data_0_dialogue_17_turn_speaker,B
data_0_dialogue_17_turn_0_yes_n,27
data_0_dialogue_17_turn_0_yes_sp-act,ackn
data_0_dialogue_17_turn_0_yes_text,"
yeah
"
data_0_dialogue_18_turn_n,19
data_0_dialogue_18_turn_speaker,A
data_0_dialogue_18_turn_0_q-wh_n,28
data_0_dialogue_18_turn_0_q-wh_sp-act,reqInfo
data_0_dialogue_18_turn_0_q-wh_polarity,positive
data_0_dialogue_18_turn_0_q-wh_topic,time-return
data_0_dialogue_18_turn_0_q-wh_mode,open
data_0_dialogue_18_turn_0_q-wh_text,"
and when is it you're returning
"
data_0_dialogue_19_turn_n,20
data_0_dialogue_19_turn_speaker,B
data_0_dialogue_19_turn_0_frag_n,29
data_0_dialogue_19_turn_0_frag_sp-act,answ
data_0_dialogue_19_turn_0_frag_polarity,positive
data_0_dialogue_19_turn_0_frag_topic,day-enum
data_0_dialogue_19_turn_0_frag_mode,deixis-closure
data_0_dialogue_19_turn_0_frag_text,"
em same day on the em 17 15
"
data_0_dialogue_20_turn_n,21
data_0_dialogue_20_turn_speaker,A
data_0_dialogue_20_turn_0_frag_n,30
data_0_dialogue_20_turn_0_frag_sp-act,confirm
data_0_dialogue_20_turn_0_frag_polarity,positive
data_0_dialogue_20_turn_0_frag_topic,time-arrival
data_0_dialogue_20_turn_0_frag_mode,deixis
data_0_dialogue_20_turn_0_frag_0_pause_length,7s
data_0_dialogue_20_turn_0_frag_0_pause_text,
data_0_dialogue_20_turn_0_frag_1_pause_text,
data_0_dialogue_21_turn_n,22
data_0_dialogue_21_turn_speaker,B
data_0_dialogue_21_turn_0_yes_n,31
data_0_dialogue_21_turn_0_yes_sp-act,ackn
data_0_dialogue_21_turn_0_yes_text,"
yeah "
data_0_dialogue_21_turn_0_yes_0_pause_text,
data_0_dialogue_22_turn_n,23
data_0_dialogue_22_turn_speaker,A
data_0_dialogue_22_turn_0_dm_n,32
data_0_dialogue_22_turn_0_dm_sp-act,init
data_0_dialogue_22_turn_0_dm_text,"
now
"
data_0_dialogue_22_turn_1_decl_n,33
data_0_dialogue_22_turn_1_decl_sp-act,informIntent-hold
data_0_dialogue_22_turn_1_decl_polarity,positive
data_0_dialogue_22_turn_1_decl_topic,fare-avail-verify
data_0_dialogue_22_turn_1_decl_mode,reportIntent
data_0_dialogue_22_turn_1_decl_text,"
i'm just going to check to see what's your cheapest fare available to you
"
data_0_dialogue_22_turn_2_dm_n,34
data_0_dialogue_22_turn_2_dm_sp-act,init
data_0_dialogue_22_turn_2_dm_text,"
so
"
data_0_dialogue_22_turn_3_decl_n,35
data_0_dialogue_22_turn_3_decl_sp-act,hold
data_0_dialogue_22_turn_3_decl_polarity,positive
data_0_dialogue_22_turn_3_decl_topic,hold
data_0_dialogue_22_turn_3_decl_mode,poss2-condition-manage
data_0_dialogue_22_turn_3_decl_text,"
if you can "
data_0_dialogue_22_turn_3_decl_0_backchannel_content,yes
data_0_dialogue_22_turn_3_decl_0_backchannel_text,
data_0_dialogue_23_turn_n,24
data_0_dialogue_23_turn_speaker,B
data_0_dialogue_23_turn_0_frag_n,36
data_0_dialogue_23_turn_0_frag_sp-act,thank
data_0_dialogue_23_turn_0_frag_mode,
data_0_dialogue_23_turn_0_frag_text,"
thank you
"
data_0_dialogue_24_turn_n,25
data_0_dialogue_24_turn_speaker,A
data_0_dialogue_24_turn_0_decl_n,37
data_0_dialogue_24_turn_0_decl_sp-act,confirm
data_0_dialogue_24_turn_0_decl_polarity,positive
data_0_dialogue_24_turn_0_decl_topic,month-date
data_0_dialogue_24_turn_0_decl_mode,
data_0_dialogue_24_turn_0_decl_text,"
and that's for the eighth of October
"
data_0_dialogue_25_turn_n,26
data_0_dialogue_25_turn_speaker,B
data_0_dialogue_25_turn_0_yes_n,38
data_0_dialogue_25_turn_0_yes_sp-act,ackn
data_0_dialogue_25_turn_0_yes_text,"
yeah
"
data_0_dialogue_26_turn_n,27
data_0_dialogue_26_turn_speaker,A
data_0_dialogue_26_turn_0_dm_n,39
data_0_dialogue_26_turn_0_dm_sp-act,init
data_0_dialogue_26_turn_0_dm_0_pause_length,20s
data_0_dialogue_26_turn_0_dm_0_pause_text,
data_0_dialogue_26_turn_1_frag_n,40
data_0_dialogue_26_turn_1_frag_sp-act,inform
data_0_dialogue_26_turn_1_frag_polarity,positive
data_0_dialogue_26_turn_1_frag_topic,time-location-journey
data_0_dialogue_26_turn_1_frag_mode,reason
data_0_dialogue_26_turn_1_frag_text,"
because of the time that you're travelling out "
data_0_dialogue_26_turn_1_frag_0_pause_text,
data_0_dialogue_26_turn_2_decl_n,41
data_0_dialogue_26_turn_2_decl_sp-act,inform
data_0_dialogue_26_turn_2_decl_polarity,negative
data_0_dialogue_26_turn_2_decl_topic,fare-journey
data_0_dialogue_26_turn_2_decl_mode,exists
data_0_dialogue_26_turn_2_decl_text,"
there's not any advance purchase tickets left "
data_0_dialogue_26_turn_2_decl_0_pause_text,
data_0_dialogue_26_turn_3_decl_n,42
data_0_dialogue_26_turn_3_decl_sp-act,inform
data_0_dialogue_26_turn_3_decl_polarity,positive
data_0_dialogue_26_turn_3_decl_topic,avail
data_0_dialogue_26_turn_3_decl_mode,
data_0_dialogue_26_turn_3_decl_text,"
they've now been booked up
"
data_0_dialogue_27_turn_n,28
data_0_dialogue_27_turn_speaker,B
data_0_dialogue_27_turn_0_dm_n,43
data_0_dialogue_27_turn_0_dm_sp-act,ackn
data_0_dialogue_27_turn_0_dm_polarity,positive
data_0_dialogue_27_turn_0_dm_text,"
right
"
data_0_dialogue_28_turn_n,29
data_0_dialogue_28_turn_speaker,A
data_0_dialogue_28_turn_0_decl_n,44
data_0_dialogue_28_turn_0_decl_sp-act,inform-disc
data_0_dialogue_28_turn_0_decl_polarity,positive
data_0_dialogue_28_turn_0_decl_topic,fare
data_0_dialogue_28_turn_0_decl_mode,
data_0_dialogue_28_turn_0_decl_text,"
and the cheapest way to do it is going to is
"
data_0_dialogue_28_turn_1_decl_n,45
data_0_dialogue_28_turn_1_decl_sp-act,inform
data_0_dialogue_28_turn_1_decl_polarity,positive
data_0_dialogue_28_turn_1_decl_topic,
data_0_dialogue_28_turn_1_decl_mode,reason
data_0_dialogue_28_turn_1_decl_text,"
cos it's the normal price
"
data_0_dialogue_28_turn_2_frag_n,46
data_0_dialogue_28_turn_2_frag_sp-act,inform-cont
data_0_dialogue_28_turn_2_frag_polarity,positive
data_0_dialogue_28_turn_2_frag_topic,fare
data_0_dialogue_28_turn_2_frag_mode,
data_0_dialogue_28_turn_2_frag_text,"
is gonna be standard open return at 61 pounds 50 "
data_0_dialogue_28_turn_2_frag_0_backchannel_content,right
data_0_dialogue_28_turn_2_frag_0_backchannel_text,
data_0_dialogue_28_turn_3_decl_n,47
data_0_dialogue_28_turn_3_decl_sp-act,inform
data_0_dialogue_28_turn_3_decl_polarity,positive
data_0_dialogue_28_turn_3_decl_topic,fare
data_0_dialogue_28_turn_3_decl_mode,constrain
data_0_dialogue_28_turn_3_decl_text,"
but you reduce that slightly "
data_0_dialogue_28_turn_3_decl_0_pause_text,
data_0_dialogue_28_turn_4_decl_n,48
data_0_dialogue_28_turn_4_decl_sp-act,inform
data_0_dialogue_28_turn_4_decl_polarity,positive
data_0_dialogue_28_turn_4_decl_topic,fare
data_0_dialogue_28_turn_4_decl_mode,
data_0_dialogue_28_turn_4_decl_text,"
you'll be able to get the standard open single at 33 pounds on your outward service
"
data_0_dialogue_28_turn_5_frag_n,49
data_0_dialogue_28_turn_5_frag_sp-act,refer
data_0_dialogue_28_turn_5_frag_polarity,positive
data_0_dialogue_28_turn_5_frag_topic,fare
data_0_dialogue_28_turn_5_frag_mode,deixis
data_0_dialogue_28_turn_5_frag_text,"
then on the return
"
data_0_dialogue_28_turn_6_decl_n,50
data_0_dialogue_28_turn_6_decl_sp-act,inform
data_0_dialogue_28_turn_6_decl_polarity,positive
data_0_dialogue_28_turn_6_decl_topic,time-date
data_0_dialogue_28_turn_6_decl_mode,condition
data_0_dialogue_28_turn_6_decl_text,"
as long as you're prepared to stick to the date and time "
data_0_dialogue_28_turn_6_decl_0_backchannel_content,yes
data_0_dialogue_28_turn_6_decl_0_backchannel_text,
data_0_dialogue_28_turn_7_decl_n,51
data_0_dialogue_28_turn_7_decl_sp-act,inform
data_0_dialogue_28_turn_7_decl_polarity,positive
data_0_dialogue_28_turn_7_decl_topic,fare
data_0_dialogue_28_turn_7_decl_mode,poss2
data_0_dialogue_28_turn_7_decl_text,"
you can get the Virgin value single at 7 pounds "
data_0_dialogue_28_turn_7_decl_0_backchannel_content,right
data_0_dialogue_28_turn_7_decl_0_backchannel_text,
data_0_dialogue_28_turn_8_dm_n,52
data_0_dialogue_28_turn_8_dm_sp-act,init
data_0_dialogue_28_turn_8_dm_text,"
so
"
data_0_dialogue_28_turn_9_decl_n,53
data_0_dialogue_28_turn_9_decl_sp-act,inform
data_0_dialogue_28_turn_9_decl_polarity,positive
data_0_dialogue_28_turn_9_decl_topic,fare
data_0_dialogue_28_turn_9_decl_mode,
data_0_dialogue_28_turn_9_decl_text,"
that's going to save you 21 pounds 50 there
"
data_0_dialogue_29_turn_n,30
data_0_dialogue_29_turn_speaker,B
data_0_dialogue_29_turn_0_decl_n,54
data_0_dialogue_29_turn_0_decl_sp-act,appreciate
data_0_dialogue_29_turn_0_decl_polarity,positive
data_0_dialogue_29_turn_0_decl_topic,
data_0_dialogue_29_turn_0_decl_mode,reassurance-appreciate
data_0_dialogue_29_turn_0_decl_text,"
that's fine
"
data_0_dialogue_29_turn_1_yes_n,55
data_0_dialogue_29_turn_1_yes_sp-act,ackn
data_0_dialogue_29_turn_1_yes_text,"
yeah "
data_0_dialogue_29_turn_1_yes_0_pause_text,
data_0_dialogue_30_turn_n,31
data_0_dialogue_30_turn_speaker,A
data_0_dialogue_30_turn_0_dm_n,56
data_0_dialogue_30_turn_0_dm_sp-act,init
data_0_dialogue_30_turn_0_dm_text,"
so
"
data_0_dialogue_30_turn_1_decl_n,57
data_0_dialogue_30_turn_1_decl_sp-act,informIntent
data_0_dialogue_30_turn_1_decl_polarity,positive
data_0_dialogue_30_turn_1_decl_topic,booking
data_0_dialogue_30_turn_1_decl_mode,intent
data_0_dialogue_30_turn_1_decl_text,"
i'll just gonna book "
data_0_dialogue_30_turn_1_decl_0_pause_text,
data_0_dialogue_30_turn_2_dm_n,58
data_0_dialogue_30_turn_2_dm_sp-act,init
data_0_dialogue_30_turn_2_dm_text,"
so
"
data_0_dialogue_30_turn_3_decl_n,59
data_0_dialogue_30_turn_3_decl_sp-act,inform
data_0_dialogue_30_turn_3_decl_polarity,positive
data_0_dialogue_30_turn_3_decl_topic,fare-journey
data_0_dialogue_30_turn_3_decl_mode,
data_0_dialogue_30_turn_3_decl_text,"
we say it's a return journey
"
data_0_dialogue_30_turn_4_decl_n,60
data_0_dialogue_30_turn_4_decl_sp-act,inform
data_0_dialogue_30_turn_4_decl_polarity,positive
data_0_dialogue_30_turn_4_decl_topic,number-fare
data_0_dialogue_30_turn_4_decl_mode,constrain
data_0_dialogue_30_turn_4_decl_text,"
but it's classed as two "
data_0_dialogue_30_turn_4_decl_0_overlap_type,start
data_0_dialogue_30_turn_4_decl_0_overlap_text,
data_0_dialogue_31_turn_n,32
data_0_dialogue_31_turn_speaker,B
data_0_dialogue_31_turn_0_yes_n,61
data_0_dialogue_31_turn_0_yes_sp-act,ackn
data_0_dialogue_31_turn_0_yes_text,"
yeah
"
data_0_dialogue_31_turn_1_decl_n,62
data_0_dialogue_31_turn_1_decl_sp-act,appreciate
data_0_dialogue_31_turn_1_decl_polarity,positive
data_0_dialogue_31_turn_1_decl_topic,
data_0_dialogue_31_turn_1_decl_mode,reassurance-appreciate
data_0_dialogue_31_turn_1_decl_0_overlap_type,end
data_0_dialogue_31_turn_1_decl_0_overlap_text,
data_0_dialogue_31_turn_2_yes_n,63
data_0_dialogue_31_turn_2_yes_sp-act,ackn
data_0_dialogue_31_turn_2_yes_text,"
yeah
"
data_0_dialogue_32_turn_n,33
data_0_dialogue_32_turn_speaker,A
data_0_dialogue_32_turn_0_dm_n,64
data_0_dialogue_32_turn_0_dm_sp-act,init
data_0_dialogue_32_turn_0_dm_text,"
now
"
data_0_dialogue_32_turn_1_frag_n,65
data_0_dialogue_32_turn_1_frag_sp-act,confirm
data_0_dialogue_32_turn_1_frag_polarity,positive
data_0_dialogue_32_turn_1_frag_topic,month
data_0_dialogue_32_turn_1_frag_mode,deixis
data_0_dialogue_32_turn_1_frag_text,"
on the eighth October
"
data_0_dialogue_32_turn_2_decl_n,66
data_0_dialogue_32_turn_2_decl_sp-act,confirm
data_0_dialogue_32_turn_2_decl_polarity,positive
data_0_dialogue_32_turn_2_decl_topic,time-location-from-journey
data_0_dialogue_32_turn_2_decl_mode,
data_0_dialogue_32_turn_2_decl_text,"
you're travelling from Birmingham New Street at 7 33 "
data_0_dialogue_32_turn_2_decl_0_pause_text,
data_0_dialogue_32_turn_3_frag_n,67
data_0_dialogue_32_turn_3_frag_sp-act,confirm
data_0_dialogue_32_turn_3_frag_polarity,positive
data_0_dialogue_32_turn_3_frag_topic,location-time-arrival
data_0_dialogue_32_turn_3_frag_mode,deixis
data_0_dialogue_32_turn_3_frag_text,"
arriving in Euston at 9 05
"
data_0_dialogue_33_turn_n,34
data_0_dialogue_33_turn_speaker,B
data_0_dialogue_33_turn_0_yes_n,68
data_0_dialogue_33_turn_0_yes_sp-act,ackn
data_0_dialogue_33_turn_0_yes_text,"
yeah
"
data_0_dialogue_34_turn_n,35
data_0_dialogue_34_turn_speaker,A
data_0_dialogue_34_turn_0_q-yn_n,69
data_0_dialogue_34_turn_0_q-yn_sp-act,reqDirect
data_0_dialogue_34_turn_0_q-yn_polarity,positive
data_0_dialogue_34_turn_0_q-yn_topic,preference-seat
data_0_dialogue_34_turn_0_q-yn_mode,closed-alternative
data_0_dialogue_34_turn_0_q-yn_text,"
would you like smoking or non smoking
"
data_0_dialogue_35_turn_n,36
data_0_dialogue_35_turn_speaker,B
data_0_dialogue_35_turn_0_frag_n,70
data_0_dialogue_35_turn_0_frag_sp-act,direct
data_0_dialogue_35_turn_0_frag_polarity,positive
data_0_dialogue_35_turn_0_frag_topic,seat
data_0_dialogue_35_turn_0_frag_mode,closure
data_0_dialogue_35_turn_0_frag_text,"
non smoking "
data_0_dialogue_35_turn_0_frag_0_overlap_type,start
data_0_dialogue_35_turn_0_frag_0_overlap_text,
data_0_dialogue_36_turn_n,37
data_0_dialogue_36_turn_speaker,A
data_0_dialogue_36_turn_0_q-yn_n,71
data_0_dialogue_36_turn_0_q-yn_sp-act,reqDirect
data_0_dialogue_36_turn_0_q-yn_polarity,positive
data_0_dialogue_36_turn_0_q-yn_topic,preference-booking-seat
data_0_dialogue_36_turn_0_q-yn_mode,closed
data_0_dialogue_36_turn_0_q-yn_text,"
and "
data_0_dialogue_36_turn_0_q-yn_0_overlap_type,end
data_0_dialogue_36_turn_0_q-yn_0_overlap_text,
data_0_dialogue_37_turn_n,38
data_0_dialogue_37_turn_speaker,B
data_0_dialogue_37_turn_0_frag_n,72
data_0_dialogue_37_turn_0_frag_sp-act,direct
data_0_dialogue_37_turn_0_frag_polarity,positive
data_0_dialogue_37_turn_0_frag_topic,seat
data_0_dialogue_37_turn_0_frag_mode,condition-closure
data_0_dialogue_37_turn_0_frag_text,"
erm "
data_0_dialogue_37_turn_0_frag_0_pause_text,
data_0_dialogue_38_turn_n,39
data_0_dialogue_38_turn_speaker,A
data_0_dialogue_38_turn_0_dm_n,73
data_0_dialogue_38_turn_0_dm_sp-act,accept
data_0_dialogue_38_turn_0_dm_polarity,positive
data_0_dialogue_38_turn_0_dm_text,"
ok "
data_0_dialogue_38_turn_0_dm_0_pause_length,3s
data_0_dialogue_38_turn_0_dm_0_pause_text,
data_0_dialogue_38_turn_1_decl_n,74
data_0_dialogue_38_turn_1_decl_sp-act,inform
data_0_dialogue_38_turn_1_decl_polarity,positive
data_0_dialogue_38_turn_1_decl_topic,booking
data_0_dialogue_38_turn_1_decl_mode,benefit
data_0_dialogue_38_turn_1_decl_text,"
that's booked for you
"
data_0_dialogue_38_turn_2_dm_n,75
data_0_dialogue_38_turn_2_dm_sp-act,init
data_0_dialogue_38_turn_2_dm_text,"
now
"
data_0_dialogue_38_turn_3_decl_n,76
data_0_dialogue_38_turn_3_decl_sp-act,confirm
data_0_dialogue_38_turn_3_decl_polarity,positive
data_0_dialogue_38_turn_3_decl_topic,to-location-from-booking
data_0_dialogue_38_turn_3_decl_mode,reportIntent
data_0_dialogue_38_turn_3_decl_text,"
i'm booking from Euston to Birmingham New Street
"
data_0_dialogue_39_turn_n,40
data_0_dialogue_39_turn_speaker,B
data_0_dialogue_39_turn_0_dm_n,77
data_0_dialogue_39_turn_0_dm_sp-act,ackn
data_0_dialogue_39_turn_0_dm_polarity,positive
data_0_dialogue_39_turn_0_dm_text,"
alright
"
data_0_dialogue_40_turn_n,41
data_0_dialogue_40_turn_speaker,A
data_0_dialogue_40_turn_0_frag_n,78
data_0_dialogue_40_turn_0_frag_sp-act,confirm
data_0_dialogue_40_turn_0_frag_polarity,positive
data_0_dialogue_40_turn_0_frag_topic,
data_0_dialogue_40_turn_0_frag_mode,deixis
data_0_dialogue_40_turn_0_frag_text,"
on the 8th again "
data_0_dialogue_40_turn_0_frag_0_pause_length,2s
data_0_dialogue_40_turn_0_frag_0_pause_text,
data_0_dialogue_40_turn_1_frag_n,79
data_0_dialogue_40_turn_1_frag_sp-act,confirm
data_0_dialogue_40_turn_1_frag_polarity,positive
data_0_dialogue_40_turn_1_frag_topic,departure-time
data_0_dialogue_40_turn_1_frag_mode,deixis
data_0_dialogue_40_turn_1_frag_text,"
departing 17 15
"
data_0_dialogue_41_turn_n,42
data_0_dialogue_41_turn_speaker,B
data_0_dialogue_41_turn_0_yes_n,80
data_0_dialogue_41_turn_0_yes_sp-act,ackn
data_0_dialogue_41_turn_0_yes_text,"
yep
"
data_0_dialogue_42_turn_n,43
data_0_dialogue_42_turn_speaker,A
data_0_dialogue_42_turn_0_decl_n,81
data_0_dialogue_42_turn_0_decl_sp-act,confirm
data_0_dialogue_42_turn_0_decl_polarity,positive
data_0_dialogue_42_turn_0_decl_topic,fare
data_0_dialogue_42_turn_0_decl_mode,
data_0_dialogue_42_turn_0_decl_0_pause_length,3s
data_0_dialogue_42_turn_0_decl_0_pause_text,
data_0_dialogue_43_turn_n,44
data_0_dialogue_43_turn_speaker,B
data_0_dialogue_43_turn_0_yes_n,82
data_0_dialogue_43_turn_0_yes_sp-act,ackn
