,0
dialogue_children_5_turn_children_1_frag_mode,closure
dialogue_children_5_turn_children_1_frag_text,"
a debit card
"
dialogue_children_6_turn_n,7
dialogue_children_6_turn_speaker,A
dialogue_children_6_turn_text,"
"
dialogue_children_6_turn_children_0_dm_n,11
dialogue_children_6_turn_children_0_dm_sp-act,init
dialogue_children_6_turn_children_0_dm_text,"
now "
dialogue_children_6_turn_children_1_q-yn_n,12
dialogue_children_6_turn_children_1_q-yn_sp-act,reqInfo
dialogue_children_6_turn_children_1_q-yn_polarity,positive
dialogue_children_6_turn_children_1_q-yn_topic,railcard
dialogue_children_6_turn_children_1_q-yn_mode,closed
dialogue_children_6_turn_children_1_q-yn_text,"
do you have a rail card
"
dialogue_children_7_turn_n,8
dialogue_children_7_turn_speaker,B
dialogue_children_7_turn_text,"
"
dialogue_children_7_turn_children_0_no_n,13
dialogue_children_7_turn_children_0_no_sp-act,answ
dialogue_children_7_turn_children_0_no_mode,closure
dialogue_children_7_turn_children_0_no_text,"
no
"
dialogue_children_8_turn_n,9
dialogue_children_8_turn_speaker,A
dialogue_children_8_turn_text,"
"
dialogue_children_8_turn_children_0_q-wh_n,14
dialogue_children_8_turn_children_0_q-wh_sp-act,reqInfo
dialogue_children_8_turn_children_0_q-wh_polarity,positive
dialogue_children_8_turn_children_0_q-wh_topic,number-journey
dialogue_children_8_turn_children_0_q-wh_mode,open
dialogue_children_8_turn_children_0_q-wh_text,"
and how many people's travelling
"
dialogue_children_9_turn_n,10
dialogue_children_9_turn_speaker,B
dialogue_children_9_turn_text,"
"
dialogue_children_9_turn_children_0_frag_n,15
dialogue_children_9_turn_children_0_frag_sp-act,answ
dialogue_children_9_turn_children_0_frag_polarity,positive
dialogue_children_9_turn_children_0_frag_topic,number
dialogue_children_9_turn_children_0_frag_mode,partial-closure
dialogue_children_9_turn_children_0_frag_text,"
one
"
dialogue_children_10_turn_n,11
dialogue_children_10_turn_speaker,A
dialogue_children_10_turn_text,"
"
dialogue_children_10_turn_children_0_q-wh_n,16
dialogue_children_10_turn_children_0_q-wh_sp-act,reqInfo
dialogue_children_10_turn_children_0_q-wh_polarity,positive
dialogue_children_10_turn_children_0_q-wh_topic,date-journey
dialogue_children_10_turn_children_0_q-wh_mode,open
dialogue_children_10_turn_children_0_q-wh_text,"
and what date is it you're travelling out
"
dialogue_children_11_turn_n,12
dialogue_children_11_turn_speaker,B
dialogue_children_11_turn_text,"
"
dialogue_children_11_turn_children_0_decl_n,17
dialogue_children_11_turn_children_0_decl_sp-act,answ
dialogue_children_11_turn_children_0_decl_polarity,positive
dialogue_children_11_turn_children_0_decl_topic,month-date
dialogue_children_11_turn_children_0_decl_mode,closure
dialogue_children_11_turn_children_0_decl_text,"
the eighth of October
"
dialogue_children_12_turn_n,13
dialogue_children_12_turn_speaker,A
dialogue_children_12_turn_text,"
"
dialogue_children_12_turn_children_0_frag_n,18
dialogue_children_12_turn_children_0_frag_sp-act,reqInfo
dialogue_children_12_turn_children_0_frag_polarity,positive
dialogue_children_12_turn_children_0_frag_topic,time-departure
dialogue_children_12_turn_children_0_frag_mode,open
dialogue_children_12_turn_children_0_frag_text,"
"
dialogue_children_13_turn_n,14
dialogue_children_13_turn_speaker,B
dialogue_children_13_turn_text,"
"
dialogue_children_13_turn_children_0_decl_n,19
dialogue_children_13_turn_children_0_decl_sp-act,answ
dialogue_children_13_turn_children_0_decl_polarity,positive
dialogue_children_13_turn_children_0_decl_topic,departure-preference-time
dialogue_children_13_turn_children_0_decl_mode,intent-closure
dialogue_children_13_turn_children_0_decl_text,"
i'd like to leave on the 7 33 train
"
dialogue_children_14_turn_n,15
dialogue_children_14_turn_speaker,A
dialogue_children_14_turn_text,"
"
dialogue_children_14_turn_children_0_frag_n,20
dialogue_children_14_turn_children_0_frag_sp-act,confirm
dialogue_children_14_turn_children_0_frag_polarity,positive
dialogue_children_14_turn_children_0_frag_topic,location-from
dialogue_children_14_turn_children_0_frag_mode,deixis
dialogue_children_14_turn_children_0_frag_text,"
from Birmingham International
"
dialogue_children_15_turn_n,16
dialogue_children_15_turn_speaker,B
dialogue_children_15_turn_text,"
"
dialogue_children_15_turn_children_0_frag_n,21
dialogue_children_15_turn_children_0_frag_sp-act,correct
dialogue_children_15_turn_children_0_frag_polarity,positive
dialogue_children_15_turn_children_0_frag_topic,
dialogue_children_15_turn_children_0_frag_mode,deixis
dialogue_children_15_turn_children_0_frag_text,"
New Street
"
dialogue_children_16_turn_n,17
dialogue_children_16_turn_speaker,A
dialogue_children_16_turn_text,"
"
dialogue_children_16_turn_children_0_dm_n,22
dialogue_children_16_turn_children_0_dm_sp-act,expressRegret
dialogue_children_16_turn_children_0_dm_mode,regret
dialogue_children_16_turn_children_0_dm_text,"
sorry
"
dialogue_children_16_turn_children_1_frag_n,23
dialogue_children_16_turn_children_1_frag_sp-act,correctSelf
dialogue_children_16_turn_children_1_frag_polarity,positive
dialogue_children_16_turn_children_1_frag_topic,location
dialogue_children_16_turn_children_1_frag_mode,deixis
dialogue_children_16_turn_children_1_frag_text,"
Birmingham New Street
"
dialogue_children_16_turn_children_2_yes_n,24
dialogue_children_16_turn_children_2_yes_sp-act,ackn
dialogue_children_16_turn_children_2_yes_text,"
yeah "
dialogue_children_16_turn_children_2_yes_children_0_pause_length,10s
dialogue_children_16_turn_children_3_decl_n,25
dialogue_children_16_turn_children_3_decl_sp-act,inform
dialogue_children_16_turn_children_3_decl_polarity,positive
dialogue_children_16_turn_children_3_decl_topic,location-enum-from
dialogue_children_16_turn_children_3_decl_mode,exists
dialogue_children_16_turn_children_3_decl_text,"
there's the 7 33 from Birmingham New Street
"
dialogue_children_16_turn_children_4_frag_n,26
dialogue_children_16_turn_children_4_frag_sp-act,inform
dialogue_children_16_turn_children_4_frag_polarity,positive
dialogue_children_16_turn_children_4_frag_topic,location-time-arrival
dialogue_children_16_turn_children_4_frag_mode,deixis
dialogue_children_16_turn_children_4_frag_text,"
arriving at 9 05 in Euston
"
dialogue_children_17_turn_n,18
dialogue_children_17_turn_speaker,B
dialogue_children_17_turn_text,"
"
dialogue_children_17_turn_children_0_yes_n,27
dialogue_children_17_turn_children_0_yes_sp-act,ackn
dialogue_children_17_turn_children_0_yes_text,"
yeah
"
dialogue_children_18_turn_n,19
dialogue_children_18_turn_speaker,A
dialogue_children_18_turn_text,"
"
dialogue_children_18_turn_children_0_q-wh_n,28
dialogue_children_18_turn_children_0_q-wh_sp-act,reqInfo
dialogue_children_18_turn_children_0_q-wh_polarity,positive
dialogue_children_18_turn_children_0_q-wh_topic,time-return
dialogue_children_18_turn_children_0_q-wh_mode,open
dialogue_children_18_turn_children_0_q-wh_text,"
and when is it you're returning
"
dialogue_children_19_turn_n,20
dialogue_children_19_turn_speaker,B
dialogue_children_19_turn_text,"
"
dialogue_children_19_turn_children_0_frag_n,29
dialogue_children_19_turn_children_0_frag_sp-act,answ
dialogue_children_19_turn_children_0_frag_polarity,positive
dialogue_children_19_turn_children_0_frag_topic,day-enum
dialogue_children_19_turn_children_0_frag_mode,deixis-closure
dialogue_children_19_turn_children_0_frag_text,"
em same day on the em 17 15
"
dialogue_children_20_turn_n,21
dialogue_children_20_turn_speaker,A
dialogue_children_20_turn_text,"
"
dialogue_children_20_turn_children_0_frag_n,30
dialogue_children_20_turn_children_0_frag_sp-act,confirm
dialogue_children_20_turn_children_0_frag_polarity,positive
dialogue_children_20_turn_children_0_frag_topic,time-arrival
dialogue_children_20_turn_children_0_frag_mode,deixis
dialogue_children_20_turn_children_0_frag_text,"
"
dialogue_children_20_turn_children_0_frag_children_0_pause_length,7s
dialogue_children_21_turn_n,22
dialogue_children_21_turn_speaker,B
dialogue_children_21_turn_text,"
"
dialogue_children_21_turn_children_0_yes_n,31
dialogue_children_21_turn_children_0_yes_sp-act,ackn
dialogue_children_21_turn_children_0_yes_text,"
yeah "
dialogue_children_22_turn_n,23
dialogue_children_22_turn_speaker,A
dialogue_children_22_turn_text,"
"
dialogue_children_22_turn_children_0_dm_n,32
dialogue_children_22_turn_children_0_dm_sp-act,init
dialogue_children_22_turn_children_0_dm_text,"
now
"
dialogue_children_22_turn_children_1_decl_n,33
dialogue_children_22_turn_children_1_decl_sp-act,informIntent-hold
dialogue_children_22_turn_children_1_decl_polarity,positive
dialogue_children_22_turn_children_1_decl_topic,fare-avail-verify
dialogue_children_22_turn_children_1_decl_mode,reportIntent
dialogue_children_22_turn_children_1_decl_text,"
i'm just going to check to see what's your cheapest fare available to you
"
dialogue_children_22_turn_children_2_dm_n,34
dialogue_children_22_turn_children_2_dm_sp-act,init
dialogue_children_22_turn_children_2_dm_text,"
so
"
dialogue_children_22_turn_children_3_decl_n,35
dialogue_children_22_turn_children_3_decl_sp-act,hold
dialogue_children_22_turn_children_3_decl_polarity,positive
dialogue_children_22_turn_children_3_decl_topic,hold
dialogue_children_22_turn_children_3_decl_mode,poss2-condition-manage
dialogue_children_22_turn_children_3_decl_text,"
if you can "
dialogue_children_22_turn_children_3_decl_children_0_backchannel_content,yes
dialogue_children_23_turn_n,24
dialogue_children_23_turn_speaker,B
dialogue_children_23_turn_text,"
"
dialogue_children_23_turn_children_0_frag_n,36
dialogue_children_23_turn_children_0_frag_sp-act,thank
dialogue_children_23_turn_children_0_frag_mode,
dialogue_children_23_turn_children_0_frag_text,"
thank you
"
dialogue_children_24_turn_n,25
dialogue_children_24_turn_speaker,A
dialogue_children_24_turn_text,"
"
dialogue_children_24_turn_children_0_decl_n,37
dialogue_children_24_turn_children_0_decl_sp-act,confirm
dialogue_children_24_turn_children_0_decl_polarity,positive
dialogue_children_24_turn_children_0_decl_topic,month-date
dialogue_children_24_turn_children_0_decl_mode,
dialogue_children_24_turn_children_0_decl_text,"
and that's for the eighth of October
"
dialogue_children_25_turn_n,26
dialogue_children_25_turn_speaker,B
dialogue_children_25_turn_text,"
"
dialogue_children_25_turn_children_0_yes_n,38
dialogue_children_25_turn_children_0_yes_sp-act,ackn
dialogue_children_25_turn_children_0_yes_text,"
yeah
"
dialogue_children_26_turn_n,27
dialogue_children_26_turn_speaker,A
dialogue_children_26_turn_text,"
"
dialogue_children_26_turn_children_0_dm_n,39
dialogue_children_26_turn_children_0_dm_sp-act,init
dialogue_children_26_turn_children_0_dm_text,"
"
dialogue_children_26_turn_children_0_dm_children_0_pause_length,20s
dialogue_children_26_turn_children_1_frag_n,40
dialogue_children_26_turn_children_1_frag_sp-act,inform
dialogue_children_26_turn_children_1_frag_polarity,positive
dialogue_children_26_turn_children_1_frag_topic,time-location-journey
dialogue_children_26_turn_children_1_frag_mode,reason
dialogue_children_26_turn_children_1_frag_text,"
because of the time that you're travelling out "
dialogue_children_26_turn_children_2_decl_n,41
dialogue_children_26_turn_children_2_decl_sp-act,inform
dialogue_children_26_turn_children_2_decl_polarity,negative
dialogue_children_26_turn_children_2_decl_topic,fare-journey
dialogue_children_26_turn_children_2_decl_mode,exists
dialogue_children_26_turn_children_2_decl_text,"
there's not any advance purchase tickets left "
dialogue_children_26_turn_children_3_decl_n,42
dialogue_children_26_turn_children_3_decl_sp-act,inform
dialogue_children_26_turn_children_3_decl_polarity,positive
dialogue_children_26_turn_children_3_decl_topic,avail
dialogue_children_26_turn_children_3_decl_mode,
dialogue_children_26_turn_children_3_decl_text,"
they've now been booked up
"
dialogue_children_27_turn_n,28
dialogue_children_27_turn_speaker,B
dialogue_children_27_turn_text,"
"
dialogue_children_27_turn_children_0_dm_n,43
dialogue_children_27_turn_children_0_dm_sp-act,ackn
dialogue_children_27_turn_children_0_dm_polarity,positive
dialogue_children_27_turn_children_0_dm_text,"
right
"
dialogue_children_28_turn_n,29
dialogue_children_28_turn_speaker,A
dialogue_children_28_turn_text,"
"
dialogue_children_28_turn_children_0_decl_n,44
dialogue_children_28_turn_children_0_decl_sp-act,inform-disc
dialogue_children_28_turn_children_0_decl_polarity,positive
dialogue_children_28_turn_children_0_decl_topic,fare
dialogue_children_28_turn_children_0_decl_mode,
dialogue_children_28_turn_children_0_decl_text,"
and the cheapest way to do it is going to is
"
dialogue_children_28_turn_children_1_decl_n,45
dialogue_children_28_turn_children_1_decl_sp-act,inform
dialogue_children_28_turn_children_1_decl_polarity,positive
dialogue_children_28_turn_children_1_decl_topic,
dialogue_children_28_turn_children_1_decl_mode,reason
dialogue_children_28_turn_children_1_decl_text,"
cos it's the normal price
"
dialogue_children_28_turn_children_2_frag_n,46
dialogue_children_28_turn_children_2_frag_sp-act,inform-cont
dialogue_children_28_turn_children_2_frag_polarity,positive
dialogue_children_28_turn_children_2_frag_topic,fare
dialogue_children_28_turn_children_2_frag_mode,
dialogue_children_28_turn_children_2_frag_text,"
is gonna be standard open return at 61 pounds 50 "
dialogue_children_28_turn_children_2_frag_children_0_backchannel_content,right
dialogue_children_28_turn_children_3_decl_n,47
dialogue_children_28_turn_children_3_decl_sp-act,inform
dialogue_children_28_turn_children_3_decl_polarity,positive
dialogue_children_28_turn_children_3_decl_topic,fare
dialogue_children_28_turn_children_3_decl_mode,constrain
dialogue_children_28_turn_children_3_decl_text,"
but you reduce that slightly "
dialogue_children_28_turn_children_4_decl_n,48
dialogue_children_28_turn_children_4_decl_sp-act,inform
dialogue_children_28_turn_children_4_decl_polarity,positive
dialogue_children_28_turn_children_4_decl_topic,fare
dialogue_children_28_turn_children_4_decl_mode,
dialogue_children_28_turn_children_4_decl_text,"
you'll be able to get the standard open single at 33 pounds on your outward service
"
dialogue_children_28_turn_children_5_frag_n,49
dialogue_children_28_turn_children_5_frag_sp-act,refer
dialogue_children_28_turn_children_5_frag_polarity,positive
dialogue_children_28_turn_children_5_frag_topic,fare
dialogue_children_28_turn_children_5_frag_mode,deixis
dialogue_children_28_turn_children_5_frag_text,"
then on the return
"
dialogue_children_28_turn_children_6_decl_n,50
dialogue_children_28_turn_children_6_decl_sp-act,inform
dialogue_children_28_turn_children_6_decl_polarity,positive
dialogue_children_28_turn_children_6_decl_topic,time-date
dialogue_children_28_turn_children_6_decl_mode,condition
dialogue_children_28_turn_children_6_decl_text,"
as long as you're prepared to stick to the date and time "
dialogue_children_28_turn_children_6_decl_children_0_backchannel_content,yes
dialogue_children_28_turn_children_7_decl_n,51
dialogue_children_28_turn_children_7_decl_sp-act,inform
dialogue_children_28_turn_children_7_decl_polarity,positive
dialogue_children_28_turn_children_7_decl_topic,fare
dialogue_children_28_turn_children_7_decl_mode,poss2
dialogue_children_28_turn_children_7_decl_text,"
you can get the Virgin value single at 7 pounds "
dialogue_children_28_turn_children_7_decl_children_0_backchannel_content,right
dialogue_children_28_turn_children_8_dm_n,52
dialogue_children_28_turn_children_8_dm_sp-act,init
dialogue_children_28_turn_children_8_dm_text,"
so
"
dialogue_children_28_turn_children_9_decl_n,53
dialogue_children_28_turn_children_9_decl_sp-act,inform
dialogue_children_28_turn_children_9_decl_polarity,positive
dialogue_children_28_turn_children_9_decl_topic,fare
dialogue_children_28_turn_children_9_decl_mode,
dialogue_children_28_turn_children_9_decl_text,"
that's going to save you 21 pounds 50 there
"
dialogue_children_29_turn_n,30
dialogue_children_29_turn_speaker,B
dialogue_children_29_turn_text,"
"
dialogue_children_29_turn_children_0_decl_n,54
dialogue_children_29_turn_children_0_decl_sp-act,appreciate
dialogue_children_29_turn_children_0_decl_polarity,positive
dialogue_children_29_turn_children_0_decl_topic,
dialogue_children_29_turn_children_0_decl_mode,reassurance-appreciate
dialogue_children_29_turn_children_0_decl_text,"
that's fine
"
dialogue_children_29_turn_children_1_yes_n,55
dialogue_children_29_turn_children_1_yes_sp-act,ackn
dialogue_children_29_turn_children_1_yes_text,"
yeah "
dialogue_children_30_turn_n,31
dialogue_children_30_turn_speaker,A
dialogue_children_30_turn_text,"
"
dialogue_children_30_turn_children_0_dm_n,56
dialogue_children_30_turn_children_0_dm_sp-act,init
dialogue_children_30_turn_children_0_dm_text,"
so
"
dialogue_children_30_turn_children_1_decl_n,57
dialogue_children_30_turn_children_1_decl_sp-act,informIntent
dialogue_children_30_turn_children_1_decl_polarity,positive
dialogue_children_30_turn_children_1_decl_topic,booking
dialogue_children_30_turn_children_1_decl_mode,intent
dialogue_children_30_turn_children_1_decl_text,"
i'll just gonna book "
dialogue_children_30_turn_children_2_dm_n,58
dialogue_children_30_turn_children_2_dm_sp-act,init
dialogue_children_30_turn_children_2_dm_text,"
so
"
dialogue_children_30_turn_children_3_decl_n,59
dialogue_children_30_turn_children_3_decl_sp-act,inform
dialogue_children_30_turn_children_3_decl_polarity,positive
dialogue_children_30_turn_children_3_decl_topic,fare-journey
dialogue_children_30_turn_children_3_decl_mode,
dialogue_children_30_turn_children_3_decl_text,"
we say it's a return journey
"
dialogue_children_30_turn_children_4_decl_n,60
dialogue_children_30_turn_children_4_decl_sp-act,inform
dialogue_children_30_turn_children_4_decl_polarity,positive
dialogue_children_30_turn_children_4_decl_topic,number-fare
dialogue_children_30_turn_children_4_decl_mode,constrain
dialogue_children_30_turn_children_4_decl_text,"
but it's classed as two "
dialogue_children_30_turn_children_4_decl_children_0_overlap_type,start
dialogue_children_31_turn_n,32
dialogue_children_31_turn_speaker,B
dialogue_children_31_turn_text,"
"
dialogue_children_31_turn_children_0_yes_n,61
dialogue_children_31_turn_children_0_yes_sp-act,ackn
dialogue_children_31_turn_children_0_yes_text,"
yeah
"
dialogue_children_31_turn_children_1_decl_n,62
dialogue_children_31_turn_children_1_decl_sp-act,appreciate
dialogue_children_31_turn_children_1_decl_polarity,positive
dialogue_children_31_turn_children_1_decl_topic,
dialogue_children_31_turn_children_1_decl_mode,reassurance-appreciate
dialogue_children_31_turn_children_1_decl_text,"
"
dialogue_children_31_turn_children_1_decl_children_0_overlap_type,end
dialogue_children_31_turn_children_2_yes_n,63
dialogue_children_31_turn_children_2_yes_sp-act,ackn
dialogue_children_31_turn_children_2_yes_text,"
yeah
"
dialogue_children_32_turn_n,33
dialogue_children_32_turn_speaker,A
dialogue_children_32_turn_text,"
"
dialogue_children_32_turn_children_0_dm_n,64
dialogue_children_32_turn_children_0_dm_sp-act,init
dialogue_children_32_turn_children_0_dm_text,"
now
"
dialogue_children_32_turn_children_1_frag_n,65
dialogue_children_32_turn_children_1_frag_sp-act,confirm
dialogue_children_32_turn_children_1_frag_polarity,positive
dialogue_children_32_turn_children_1_frag_topic,month
dialogue_children_32_turn_children_1_frag_mode,deixis
dialogue_children_32_turn_children_1_frag_text,"
on the eighth October
"
dialogue_children_32_turn_children_2_decl_n,66
dialogue_children_32_turn_children_2_decl_sp-act,confirm
dialogue_children_32_turn_children_2_decl_polarity,positive
dialogue_children_32_turn_children_2_decl_topic,time-location-from-journey
dialogue_children_32_turn_children_2_decl_mode,
dialogue_children_32_turn_children_2_decl_text,"
you're travelling from Birmingham New Street at 7 33 "
dialogue_children_32_turn_children_3_frag_n,67
dialogue_children_32_turn_children_3_frag_sp-act,confirm
dialogue_children_32_turn_children_3_frag_polarity,positive
dialogue_children_32_turn_children_3_frag_topic,location-time-arrival
dialogue_children_32_turn_children_3_frag_mode,deixis
dialogue_children_32_turn_children_3_frag_text,"
arriving in Euston at 9 05
"
dialogue_children_33_turn_n,34
dialogue_children_33_turn_speaker,B
dialogue_children_33_turn_text,"
"
dialogue_children_33_turn_children_0_yes_n,68
dialogue_children_33_turn_children_0_yes_sp-act,ackn
dialogue_children_33_turn_children_0_yes_text,"
yeah
"
dialogue_children_34_turn_n,35
dialogue_children_34_turn_speaker,A
dialogue_children_34_turn_text,"
"
dialogue_children_34_turn_children_0_q-yn_n,69
dialogue_children_34_turn_children_0_q-yn_sp-act,reqDirect
dialogue_children_34_turn_children_0_q-yn_polarity,positive
dialogue_children_34_turn_children_0_q-yn_topic,preference-seat
dialogue_children_34_turn_children_0_q-yn_mode,closed-alternative
dialogue_children_34_turn_children_0_q-yn_text,"
would you like smoking or non smoking
"
dialogue_children_35_turn_n,36
dialogue_children_35_turn_speaker,B
dialogue_children_35_turn_text,"
"
dialogue_children_35_turn_children_0_frag_n,70
dialogue_children_35_turn_children_0_frag_sp-act,direct
dialogue_children_35_turn_children_0_frag_polarity,positive
dialogue_children_35_turn_children_0_frag_topic,seat
dialogue_children_35_turn_children_0_frag_mode,closure
dialogue_children_35_turn_children_0_frag_text,"
non smoking "
dialogue_children_35_turn_children_0_frag_children_0_overlap_type,start
dialogue_children_36_turn_n,37
dialogue_children_36_turn_speaker,A
dialogue_children_36_turn_text,"
"
dialogue_children_36_turn_children_0_q-yn_n,71
dialogue_children_36_turn_children_0_q-yn_sp-act,reqDirect
dialogue_children_36_turn_children_0_q-yn_polarity,positive
dialogue_children_36_turn_children_0_q-yn_topic,preference-booking-seat
dialogue_children_36_turn_children_0_q-yn_mode,closed
dialogue_children_36_turn_children_0_q-yn_text,"
and "
dialogue_children_36_turn_children_0_q-yn_children_0_overlap_type,end
dialogue_children_37_turn_n,38
dialogue_children_37_turn_speaker,B
dialogue_children_37_turn_text,"
"
dialogue_children_37_turn_children_0_frag_n,72
dialogue_children_37_turn_children_0_frag_sp-act,direct
dialogue_children_37_turn_children_0_frag_polarity,positive
dialogue_children_37_turn_children_0_frag_topic,seat
dialogue_children_37_turn_children_0_frag_mode,condition-closure
dialogue_children_37_turn_children_0_frag_text,"
erm "
dialogue_children_38_turn_n,39
dialogue_children_38_turn_speaker,A
dialogue_children_38_turn_text,"
"
dialogue_children_38_turn_children_0_dm_n,73
dialogue_children_38_turn_children_0_dm_sp-act,accept
dialogue_children_38_turn_children_0_dm_polarity,positive
dialogue_children_38_turn_children_0_dm_text,"
ok "
dialogue_children_38_turn_children_0_dm_children_0_pause_length,3s
dialogue_children_38_turn_children_1_decl_n,74
dialogue_children_38_turn_children_1_decl_sp-act,inform
dialogue_children_38_turn_children_1_decl_polarity,positive
dialogue_children_38_turn_children_1_decl_topic,booking
dialogue_children_38_turn_children_1_decl_mode,benefit
dialogue_children_38_turn_children_1_decl_text,"
that's booked for you
"
dialogue_children_38_turn_children_2_dm_n,75
dialogue_children_38_turn_children_2_dm_sp-act,init
dialogue_children_38_turn_children_2_dm_text,"
now
"
dialogue_children_38_turn_children_3_decl_n,76
dialogue_children_38_turn_children_3_decl_sp-act,confirm
dialogue_children_38_turn_children_3_decl_polarity,positive
dialogue_children_38_turn_children_3_decl_topic,to-location-from-booking
dialogue_children_38_turn_children_3_decl_mode,reportIntent
dialogue_children_38_turn_children_3_decl_text,"
i'm booking from Euston to Birmingham New Street
"
dialogue_children_39_turn_n,40
dialogue_children_39_turn_speaker,B
dialogue_children_39_turn_text,"
"
dialogue_children_39_turn_children_0_dm_n,77
dialogue_children_39_turn_children_0_dm_sp-act,ackn
dialogue_children_39_turn_children_0_dm_polarity,positive
dialogue_children_39_turn_children_0_dm_text,"
alright
"
dialogue_children_40_turn_n,41
dialogue_children_40_turn_speaker,A
dialogue_children_40_turn_text,"
"
dialogue_children_40_turn_children_0_frag_n,78
dialogue_children_40_turn_children_0_frag_sp-act,confirm
dialogue_children_40_turn_children_0_frag_polarity,positive
dialogue_children_40_turn_children_0_frag_topic,
dialogue_children_40_turn_children_0_frag_mode,deixis
dialogue_children_40_turn_children_0_frag_text,"
on the 8th again "
dialogue_children_40_turn_children_0_frag_children_0_pause_length,2s
dialogue_children_40_turn_children_1_frag_n,79
dialogue_children_40_turn_children_1_frag_sp-act,confirm
dialogue_children_40_turn_children_1_frag_polarity,positive
dialogue_children_40_turn_children_1_frag_topic,departure-time
dialogue_children_40_turn_children_1_frag_mode,deixis
dialogue_children_40_turn_children_1_frag_text,"
departing 17 15
"
dialogue_children_41_turn_n,42
dialogue_children_41_turn_speaker,B
dialogue_children_41_turn_text,"
"
dialogue_children_41_turn_children_0_yes_n,80
dialogue_children_41_turn_children_0_yes_sp-act,ackn
dialogue_children_41_turn_children_0_yes_text,"
yep
"
dialogue_children_42_turn_n,43
dialogue_children_42_turn_speaker,A
dialogue_children_42_turn_text,"
"
dialogue_children_42_turn_children_0_decl_n,81
dialogue_children_42_turn_children_0_decl_sp-act,confirm
dialogue_children_42_turn_children_0_decl_polarity,positive
dialogue_children_42_turn_children_0_decl_topic,fare
dialogue_children_42_turn_children_0_decl_mode,
dialogue_children_42_turn_children_0_decl_text,"
"
dialogue_children_42_turn_children_0_decl_children_0_pause_length,3s
dialogue_children_43_turn_n,44
