Call_ID,Speaker,Conversation,Start,End,ConversationLower,ConversationLowerJoin,ConversationLowerJoinContracts,ConversationLowerJoinContractsNums,ConversationLowerJoinContractsNumsNoPunct,ConversationLowerJoinContractsNumsNoPunctTokens,ConversationLowerJoinContractsNumsNoPunctTokensSpell,ConversationLowerJoinContractsNumsNoPunctTokensSpellStem,ConversationLowerJoinContractsNumsNoPunctTokensSpellLemma,ConversationLowerJoinContractsNumsNoPunctTokensSpellNoStop,ConversationLowerJoinContractsNumsNoPunctTokensSpellLemmaNoStop
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,I'm activated the $25 one I went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then I tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,77,78,i'm activated the $25 one i went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then i tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,i'm activated the $25 one i went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then i tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,i am activated the $25 one i went to use that the whole $25 one and then it said it was the declined straight away and then obviously $0.15 came out and then i tried to put in 20 4 and then it said it was declined again and then another $0.15 charge that an adult 20 obviously for the phone call but yeah why is that happening,i am activated the $# # i went to use that the whole $# # and then it said it was the declined straight away and then obviously $### came out and then i tried to put in # # and then it said it was declined again and then another $### charge that an adult # obviously for the phone call but yeah why is that happening,i am activated the   i went to use that the whole   and then it said it was the declined straight away and then obviously  came out and then i tried to put in   and then it said it was declined again and then another  charge that an adult  obviously for the phone call but yeah why is that happening,"['i', 'am', 'activated', 'the', 'i', 'went', 'to', 'use', 'that', 'the', 'whole', 'and', 'then', 'it', 'said', 'it', 'was', 'the', 'declined', 'straight', 'away', 'and', 'then', 'obviously', 'came', 'out', 'and', 'then', 'i', 'tried', 'to', 'put', 'in', 'and', 'then', 'it', 'said', 'it', 'was', 'declined', 'again', 'and', 'then', 'another', 'charge', 'that', 'an', 'adult', 'obviously', 'for', 'the', 'phone', 'call', 'but', 'yeah', 'why', 'is', 'that', 'happening']","['i', 'am', 'activated', 'the', 'i', 'went', 'to', 'use', 'that', 'the', 'whole', 'and', 'then', 'it', 'said', 'it', 'was', 'the', 'declined', 'straight', 'away', 'and', 'then', 'obviously', 'came', 'out', 'and', 'then', 'i', 'tried', 'to', 'put', 'in', 'and', 'then', 'it', 'said', 'it', 'was', 'declined', 'again', 'and', 'then', 'another', 'charge', 'that', 'an', 'adult', 'obviously', 'for', 'the', 'phone', 'call', 'but', 'yeah', 'why', 'is', 'that', 'happening']","['i', 'am', 'activ', 'the', 'i', 'went', 'to', 'use', 'that', 'the', 'whole', 'and', 'then', 'it', 'said', 'it', 'wa', 'the', 'declin', 'straight', 'away', 'and', 'then', 'obvious', 'came', 'out', 'and', 'then', 'i', 'tri', 'to', 'put', 'in', 'and', 'then', 'it', 'said', 'it', 'wa', 'declin', 'again', 'and', 'then', 'anoth', 'charg', 'that', 'an', 'adult', 'obvious', 'for', 'the', 'phone', 'call', 'but', 'yeah', 'whi', 'is', 'that', 'happen']","['i', 'be', 'activate', 'the', 'i', 'go', 'to', 'use', 'that', 'the', 'whole', 'and', 'then', 'it', 'say', 'it', 'be', 'the', 'decline', 'straight', 'away', 'and', 'then', 'obviously', 'come', 'out', 'and', 'then', 'i', 'try', 'to', 'put', 'in', 'and', 'then', 'it', 'say', 'it', 'be', 'decline', 'again', 'and', 'then', 'another', 'charge', 'that', 'an', 'adult', 'obviously', 'for', 'the', 'phone', 'call', 'but', 'yeah', 'why', 'be', 'that', 'happen']","['activated', 'went', 'use', 'whole', 'said', 'declined', 'straight', 'away', 'obviously', 'came', 'tried', 'put', 'said', 'declined', 'another', 'charge', 'adult', 'obviously', 'phone', 'call', 'yeah', 'happening']","['activate', 'go', 'use', 'whole', 'say', 'decline', 'straight', 'away', 'obviously', 'come', 'try', 'put', 'say', 'decline', 'another', 'charge', 'adult', 'obviously', 'phone', 'call', 'yeah', 'happen']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Well I can see the very first time you just try to make a purchase for $26.,79,80,well i can see the very first time you just try to make a purchase for $26.,well i can see the very first time you just try to make a purchase for $26.,well i can see the very first time you just try to make a purchase for $26.,well i can see the very first time you just try to make a purchase for $##,well i can see the very first time you just try to make a purchase for,"['well', 'i', 'can', 'see', 'the', 'very', 'first', 'time', 'you', 'just', 'try', 'to', 'make', 'a', 'purchase', 'for']","['well', 'i', 'can', 'see', 'the', 'very', 'first', 'time', 'you', 'just', 'try', 'to', 'make', 'a', 'purchase', 'for']","['well', 'i', 'can', 'see', 'the', 'veri', 'first', 'time', 'you', 'just', 'tri', 'to', 'make', 'a', 'purchas', 'for']","['well', 'i', 'can', 'see', 'the', 'very', 'first', 'time', 'you', 'just', 'try', 'to', 'make', 'a', 'purchase', 'for']","['well', 'see', 'first', 'time', 'try', 'make', 'purchase']","['well', 'see', 'first', 'time', 'try', 'make', 'purchase']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,As you know you would just have,81,86,as you know you would just have,as you know you would just have,as you know you would just have,as you know you would just have,as you know you would just have,"['as', 'you', 'know', 'you', 'would', 'just', 'have']","['as', 'you', 'know', 'you', 'would', 'just', 'have']","['as', 'you', 'know', 'you', 'would', 'just', 'have']","['as', 'you', 'know', 'you', 'would', 'just', 'have']","['know', 'would']","['know', 'would']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,That was a lady yeah I said put 25 that and I'll put the the other  dollar on cash I see,87,88,that was a lady yeah i said put 25 that and i'll put the the other  dollar on cash i see,that was a lady yeah i said put 25 that and i'll put the the other  dollar on cash i see,that was a lady yeah i said put 25 that and i will put the the other  dollar on cash i see,that was a lady yeah i said put # that and i will put the the other  dollar on cash i see,that was a lady yeah i said put  that and i will put the the other  dollar on cash i see,"['that', 'was', 'a', 'lady', 'yeah', 'i', 'said', 'put', 'that', 'and', 'i', 'will', 'put', 'the', 'the', 'other', 'dollar', 'on', 'cash', 'i', 'see']","['that', 'was', 'a', 'lady', 'yeah', 'i', 'said', 'put', 'that', 'and', 'i', 'will', 'put', 'the', 'the', 'other', 'dollar', 'on', 'cash', 'i', 'see']","['that', 'wa', 'a', 'ladi', 'yeah', 'i', 'said', 'put', 'that', 'and', 'i', 'will', 'put', 'the', 'the', 'other', 'dollar', 'on', 'cash', 'i', 'see']","['that', 'be', 'a', 'lady', 'yeah', 'i', 'say', 'put', 'that', 'and', 'i', 'will', 'put', 'the', 'the', 'other', 'dollar', 'on', 'cash', 'i', 'see']","['lady', 'yeah', 'said', 'put', 'put', 'dollar', 'cash', 'see']","['lady', 'yeah', 'say', 'put', 'put', 'dollar', 'cash', 'see']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,The,89,91,the,the,the,the,the,['the'],['the'],['the'],['the'],[],[]
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Best trends that you and that's,92,93,best trends that you and that's,best trends that you and that's,best trends that you and that is,best trends that you and that is,best trends that you and that is,"['best', 'trends', 'that', 'you', 'and', 'that', 'is']","['best', 'trends', 'that', 'you', 'and', 'that', 'is']","['best', 'trend', 'that', 'you', 'and', 'that', 'is']","['best', 'trend', 'that', 'you', 'and', 'that', 'be']","['best', 'trends']","['best', 'trend']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,And the second time she swiped  it for $25.,94,96,and the second time she swiped  it for $25.,and the second time she swiped  it for $25.,and the second time she swiped  it for $25.,and the second time she swiped  it for $##,and the second time she swiped  it for,"['and', 'the', 'second', 'time', 'she', 'swiped', 'it', 'for']","['and', 'the', 'second', 'time', 'she', 'swiped', 'it', 'for']","['and', 'the', 'second', 'time', 'she', 'swipe', 'it', 'for']","['and', 'the', 'second', 'time', 'she', 'swipe', 'it', 'for']","['second', 'time', 'swiped']","['second', 'time', 'swipe']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Again you have like 2485 at that time.,97,101,again you have like 2485 at that time.,again you have like 2485 at that time.,again you have like 2485 at that time.,again you have like # at that #,again you have like  at that,"['again', 'you', 'have', 'like', 'at', 'that']","['again', 'you', 'have', 'like', 'at', 'that']","['again', 'you', 'have', 'like', 'at', 'that']","['again', 'you', 'have', 'like', 'at', 'that']",['like'],['like']
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,You have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,102,106,you have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,you have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,you have been declined again yeah and now you have just 2470 so just make a purchase according to your available balance.,you have been declined again yeah and now you have just # so just make a purchase according to your available #,you have been declined again yeah and now you have just  so just make a purchase according to your available,"['you', 'have', 'been', 'declined', 'again', 'yeah', 'and', 'now', 'you', 'have', 'just', 'so', 'just', 'make', 'a', 'purchase', 'according', 'to', 'your', 'available']","['you', 'have', 'been', 'declined', 'again', 'yeah', 'and', 'now', 'you', 'have', 'just', 'so', 'just', 'make', 'a', 'purchase', 'according', 'to', 'your', 'available']","['you', 'have', 'been', 'declin', 'again', 'yeah', 'and', 'now', 'you', 'have', 'just', 'so', 'just', 'make', 'a', 'purchas', 'accord', 'to', 'your', 'avail']","['you', 'have', 'be', 'decline', 'again', 'yeah', 'and', 'now', 'you', 'have', 'just', 'so', 'just', 'make', 'a', 'purchase', 'accord', 'to', 'your', 'available']","['declined', 'yeah', 'make', 'purchase', 'according', 'available']","['decline', 'yeah', 'make', 'purchase', 'accord', 'available']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,You will not get decline,107,108,you will not get decline,you will not get decline,you will not get decline,you will not get decline,you will not get decline,"['you', 'will', 'not', 'get', 'decline']","['you', 'will', 'not', 'get', 'decline']","['you', 'will', 'not', 'get', 'declin']","['you', 'will', 'not', 'get', 'decline']","['get', 'decline']","['get', 'decline']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Go yeah.,109,110,go yeah.,go yeah.,go yeah.,go #,go,['go'],['go'],['go'],['go'],['go'],['go']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,it was just that the girl at the shop must've put in the 26 instead of the 24th.,111,113,it was just that the girl at the shop must've put in the 26 instead of the 24th.,it was just that the girl at the shop must've put in the 26 instead of the 24th.,it was just that the girl at the shop must have put in the 26 instead of the 24th.,it was just that the girl at the shop must have put in the # instead of the ##,it was just that the girl at the shop must have put in the  instead of the,"['it', 'was', 'just', 'that', 'the', 'girl', 'at', 'the', 'shop', 'must', 'have', 'put', 'in', 'the', 'instead', 'of', 'the']","['it', 'was', 'just', 'that', 'the', 'girl', 'at', 'the', 'shop', 'must', 'have', 'put', 'in', 'the', 'instead', 'of', 'the']","['it', 'wa', 'just', 'that', 'the', 'girl', 'at', 'the', 'shop', 'must', 'have', 'put', 'in', 'the', 'instead', 'of', 'the']","['it', 'be', 'just', 'that', 'the', 'girl', 'at', 'the', 'shop', 'must', 'have', 'put', 'in', 'the', 'instead', 'of', 'the']","['girl', 'shop', 'must', 'put', 'instead']","['girl', 'shop', 'must', 'put', 'instead']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Correct,114,116,correct,correct,correct,correct,correct,['correct'],['correct'],['correct'],['correct'],['correct'],['correct']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,25 you know otherwise just because yeah I thought it was very strange.,119,120,25 you know otherwise just because yeah i thought it was very strange.,25 you know otherwise just because yeah i thought it was very strange.,25 you know otherwise just because yeah i thought it was very strange.,# you know otherwise just because yeah i thought it was very #,you know otherwise just because yeah i thought it was very,"['you', 'know', 'otherwise', 'just', 'because', 'yeah', 'i', 'thought', 'it', 'was', 'very']","['you', 'know', 'otherwise', 'just', 'because', 'yeah', 'i', 'thought', 'it', 'was', 'very']","['you', 'know', 'otherwis', 'just', 'becaus', 'yeah', 'i', 'thought', 'it', 'wa', 'veri']","['you', 'know', 'otherwise', 'just', 'because', 'yeah', 'i', 'think', 'it', 'be', 'very']","['know', 'otherwise', 'yeah', 'thought']","['know', 'otherwise', 'yeah', 'think']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Like I said now and I when I when I use my next card.,121,125,like i said now and i when i when i use my next card.,like i said now and i when i when i use my next card.,like i said now and i when i when i use my next card.,like i said now and i when i when i use my next #,like i said now and i when i when i use my next,"['like', 'i', 'said', 'now', 'and', 'i', 'when', 'i', 'when', 'i', 'use', 'my', 'next']","['like', 'i', 'said', 'now', 'and', 'i', 'when', 'i', 'when', 'i', 'use', 'my', 'next']","['like', 'i', 'said', 'now', 'and', 'i', 'when', 'i', 'when', 'i', 'use', 'my', 'next']","['like', 'i', 'say', 'now', 'and', 'i', 'when', 'i', 'when', 'i', 'use', 'my', 'next']","['like', 'said', 'use', 'next']","['like', 'say', 'use', 'next']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,I know what to do ,126,129,i know what to do ,i know what to do ,i know what to do ,i know what to do ,i know what to do,"['i', 'know', 'what', 'to', 'do']","['i', 'know', 'what', 'to', 'do']","['i', 'know', 'what', 'to', 'do']","['i', 'know', 'what', 'to', 'do']",['know'],['know']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Thank you for that anyway.,130,131,thank you for that anyway.,thank you for that anyway.,thank you for that anyway.,thank you for that #,thank you for that,"['thank', 'you', 'for', 'that']","['thank', 'you', 'for', 'that']","['thank', 'you', 'for', 'that']","['thank', 'you', 'for', 'that']",['thank'],['thank']
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,Your all welcome,132,136,your all welcome,your all welcome,your all welcome,your all welcome,your all welcome,"['your', 'all', 'welcome']","['your', 'all', 'welcome']","['your', 'all', 'welcom']","['your', 'all', 'welcome']",['welcome'],['welcome']
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Is there anything else I can help you more.,137,139,is there anything else i can help you more.,is there anything else i can help you more.,is there anything else i can help you more.,is there anything else i can help you #,is there anything else i can help you,"['is', 'there', 'anything', 'else', 'i', 'can', 'help', 'you']","['is', 'there', 'anything', 'else', 'i', 'can', 'help', 'you']","['is', 'there', 'anyth', 'els', 'i', 'can', 'help', 'you']","['be', 'there', 'anything', 'else', 'i', 'can', 'help', 'you']","['anything', 'else', 'help']","['anything', 'else', 'help']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1,No I that's a lot that.,140,142,no i that's a lot that.,no i that's a lot that.,no i that is a lot that.,no i that is a lot #,no i that is a lot,"['no', 'i', 'that', 'is', 'a', 'lot']","['no', 'i', 'that', 'is', 'a', 'lot']","['no', 'i', 'that', 'is', 'a', 'lot']","['no', 'i', 'that', 'be', 'a', 'lot']",['lot'],['lot']
98a60d80-2e88-11e9-9291-4154e7eb25f4,2,Thank you very much for your call and having a wonderful day.,143,144,thank you very much for your call and having a wonderful day.,thank you very much for your call and having a wonderful day.,thank you very much for your call and having a wonderful day.,thank you very much for your call and having a wonderful #,thank you very much for your call and having a wonderful,"['thank', 'you', 'very', 'much', 'for', 'your', 'call', 'and', 'having', 'a', 'wonderful']","['thank', 'you', 'very', 'much', 'for', 'your', 'call', 'and', 'having', 'a', 'wonderful']","['thank', 'you', 'veri', 'much', 'for', 'your', 'call', 'and', 'have', 'a', 'wonder']","['thank', 'you', 'very', 'much', 'for', 'your', 'call', 'and', 'have', 'a', 'wonderful']","['thank', 'much', 'call', 'wonderful']","['thank', 'much', 'call', 'wonderful']"
98a60d80-2e88-11e9-9291-4154e7eb25f4,1, Bye,154,156, bye, bye, bye, bye,bye,['bye'],['bye'],['bye'],['bye'],['bye'],['bye']
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,Welcome to Australia Post load and go support my name is Archie may have your card ID number please.,1,13,welcome to australia post load and go support my name is archie may have your card id number please.,welcome to australia post load and go support my name is archie may have your card id number please.,welcome to australia post load and go support my name is archie may have your card id number please.,welcome to australia post load and go support my name is archie # have your card id number #,welcome to australia post load and go support my name is archie  have your card id number,"['welcome', 'to', 'australia', 'post', 'load', 'and', 'go', 'support', 'my', 'name', 'is', 'archie', 'have', 'your', 'card', 'id', 'number']","['welcome', 'to', 'australia', 'post', 'load', 'and', 'go', 'support', 'my', 'name', 'is', 'archie', 'have', 'your', 'card', 'id', 'number']","['welcom', 'to', 'australia', 'post', 'load', 'and', 'go', 'support', 'my', 'name', 'is', 'archi', 'have', 'your', 'card', 'id', 'number']","['welcome', 'to', 'australia', 'post', 'load', 'and', 'go', 'support', 'my', 'name', 'be', 'archie', 'have', 'your', 'card', 'id', 'number']","['welcome', 'australia', 'post', 'load', 'go', 'support', 'name', 'archie', 'card', 'id', 'number']","['welcome', 'australia', 'post', 'load', 'go', 'support', 'name', 'archie', 'card', 'id', 'number']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,2, yes is that the straight digit.,14,15, yes is that the straight digit., yes is that the straight digit., yes is that the straight digit., yes is that the straight #,yes is that the straight,"['yes', 'is', 'that', 'the', 'straight']","['yes', 'is', 'that', 'the', 'straight']","['ye', 'is', 'that', 'the', 'straight']","['yes', 'be', 'that', 'the', 'straight']","['yes', 'straight']","['yes', 'straight']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,No it's the 16 digit number on the back of your card please.,16,18,no it's the 16 digit number on the back of your card please.,no it's the 16 digit number on the back of your card please.,no it is the 16 digit number on the back of your card please.,no it is the # digit number on the back of your card #,no it is the  digit number on the back of your card,"['no', 'it', 'is', 'the', 'digit', 'number', 'on', 'the', 'back', 'of', 'your', 'card']","['no', 'it', 'is', 'the', 'digit', 'number', 'on', 'the', 'back', 'of', 'your', 'card']","['no', 'it', 'is', 'the', 'digit', 'number', 'on', 'the', 'back', 'of', 'your', 'card']","['no', 'it', 'be', 'the', 'digit', 'number', 'on', 'the', 'back', 'of', 'your', 'card']","['digit', 'number', 'back', 'card']","['digit', 'number', 'back', 'card']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,02 is the last two digit number.,37,39,02 is the last two digit number.,02 is the last two digit number.,02 is the last two digit number.,# is the last # digit #,is the last  digit,"['is', 'the', 'last', 'digit']","['is', 'the', 'last', 'digit']","['is', 'the', 'last', 'digit']","['be', 'the', 'last', 'digit']","['last', 'digit']","['last', 'digit']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,Okay thank you so much let me go ahead and pull up the account one moment.,44,46,okay thank you so much let me go ahead and pull up the account one moment.,okay thank you so much let me go ahead and pull up the account one moment.,okay thank you so much let me go ahead and pull up the account one moment.,okay thank you so much let me go ahead and pull up the account # #,okay thank you so much let me go ahead and pull up the account,"['okay', 'thank', 'you', 'so', 'much', 'let', 'me', 'go', 'ahead', 'and', 'pull', 'up', 'the', 'account']","['okay', 'thank', 'you', 'so', 'much', 'let', 'me', 'go', 'ahead', 'and', 'pull', 'up', 'the', 'account']","['okay', 'thank', 'you', 'so', 'much', 'let', 'me', 'go', 'ahead', 'and', 'pull', 'up', 'the', 'account']","['okay', 'thank', 'you', 'so', 'much', 'let', 'me', 'go', 'ahead', 'and', 'pull', 'up', 'the', 'account']","['okay', 'thank', 'much', 'let', 'go', 'ahead', 'pull', 'account']","['okay', 'thank', 'much', 'let', 'go', 'ahead', 'pull', 'account']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,Can I have the access code please it's the six digit number you nominate.,52,54,can i have the access code please it's the six digit number you nominate.,can i have the access code please it's the six digit number you nominate.,can i have the access code please it is the six digit number you nominate.,can i have the access code please it is the # digit number you #,can i have the access code please it is the  digit number you,"['can', 'i', 'have', 'the', 'access', 'code', 'please', 'it', 'is', 'the', 'digit', 'number', 'you']","['can', 'i', 'have', 'the', 'access', 'code', 'please', 'it', 'is', 'the', 'digit', 'number', 'you']","['can', 'i', 'have', 'the', 'access', 'code', 'pleas', 'it', 'is', 'the', 'digit', 'number', 'you']","['can', 'i', 'have', 'the', 'access', 'code', 'please', 'it', 'be', 'the', 'digit', 'number', 'you']","['access', 'code', 'please', 'digit', 'number']","['access', 'code', 'please', 'digit', 'number']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,When you purchase the card.,55,59,when you purchase the card.,when you purchase the card.,when you purchase the card.,when you purchase the #,when you purchase the,"['when', 'you', 'purchase', 'the']","['when', 'you', 'purchase', 'the']","['when', 'you', 'purchas', 'the']","['when', 'you', 'purchase', 'the']",['purchase'],['purchase']
98a179a0-2e88-11e9-9291-4154e7eb25f4,1,Thank you so much and how can help you today Tammy.,63,64,thank you so much and how can help you today tammy.,thank you so much and how can help you today tammy.,thank you so much and how can help you today tammy.,thank you so much and how can help you today #,thank you so much and how can help you today,"['thank', 'you', 'so', 'much', 'and', 'how', 'can', 'help', 'you', 'today']","['thank', 'you', 'so', 'much', 'and', 'how', 'can', 'help', 'you', 'today']","['thank', 'you', 'so', 'much', 'and', 'how', 'can', 'help', 'you', 'today']","['thank', 'you', 'so', 'much', 'and', 'how', 'can', 'help', 'you', 'today']","['thank', 'much', 'help', 'today']","['thank', 'much', 'help', 'today']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,2,Ah Yes.,65,67,ah yes.,ah yes.,ah yes.,ah #,ah,['ah'],['ah'],['ah'],['ah'],['ah'],['ah']
98a179a0-2e88-11e9-9291-4154e7eb25f4,2,Oh I realize I hadn't changed.,68,69,oh i realize i hadn't changed.,oh i realize i hadn't changed.,oh i realize i had not changed.,oh i realize i had not #,oh i realize i had not,"['oh', 'i', 'realize', 'i', 'had', 'not']","['oh', 'i', 'realize', 'i', 'had', 'not']","['oh', 'i', 'realiz', 'i', 'had', 'not']","['oh', 'i', 'realize', 'i', 'have', 'not']","['oh', 'realize']","['oh', 'realize']"
98a179a0-2e88-11e9-9291-4154e7eb25f4,2,I updated my address.,70,74,i updated my address.,i updated my address.,i updated my address.,i updated my #,i updated my,"['i', 'updated', 'my']","['i', 'updated', 'my']","['i', 'updat', 'my']","['i', 'update', 'my']",['updated'],['update']
