Call_ID,Speaker,Dialogue,Sentences,NounChunks,Co-Reference,Tags,PERSON,ORG,Greet,IntroduceSelf,IntroduceCompany,Offer,Mastered
3,1,# ,#,,,"[('#', '#', 'SYM', 'CARDINAL', 'ROOT')]",,,,,,,Mastered
3,1,Okay.                                                                                                                                                                                                                                                                                                                                ,Okay.                                                                                                                                                                                                                                                                                                                                ,,,"[('Okay', 'okay', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
4,1,But my thing.                                                                                                                                                                                                                                                                                                                        ,But my thing.                                                                                                                                                                                                                                                                                                                        ,But my thing,,"[('But', 'but', 'CCONJ', '', 'cc'), ('my', '-PRON-', 'DET', '', 'poss'), ('thing', 'thing', 'NOUN', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
4,2,Welcome to australia post load and go support this is Matthew.                                                                                                                                                                                                                                                                       ,Welcome to australia post load and go support this is Matthew.                                                                                                                                                                                                                                                                       ,"post load,Matthew",,"[('Welcome', 'welcome', 'VERB', '', 'advcl'), ('to', 'to', 'PART', '', 'aux'), ('australia', 'australia', 'VERB', '', 'xcomp'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'VERB', '', 'dobj'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Matthew', 'Matthew', 'PROPN', 'PERSON', 'attr'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Matthew,,,This is,"Welcome to,This is",,Mastered
4,2,May I Please have your card ID number                                                                                                                                                                                                                                                                                                ,May I Please have your card ID number                                                                                                                                                                                                                                                                                                ,"I,your card,ID number",,"[('May', 'May', 'VERB', '', 'aux'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('Please', 'please', 'INTJ', '', 'intj'), ('have', 'have', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'dobj'), ('ID', 'id', 'NOUN', '', 'compound'), ('number', 'number', 'NOUN', '', 'appos'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
4,1,# ,#,,,"[('#', '#', 'SYM', 'CARDINAL', 'ROOT')]",,,,,,,Mastered
5,1,Welcome to australia post load and go support.                                                                                                                                                                                                                                                                                       ,Welcome to australia post load and go support.                                                                                                                                                                                                                                                                                       ,"post load,support",,"[('Welcome', 'welcome', 'VERB', '', 'ROOT'), ('to', 'to', 'PART', '', 'aux'), ('australia', 'australia', 'VERB', '', 'xcomp'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,Welcome to,,Mastered
5,1,My name is Archie #  have your card ID number please                                                                                                                                                                                                                                                                                ,"My name is Archie #  ,have your card ID number please                                                                                                                                                                                                                                                                                ","My name,your card ID number",,"[('My', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Archie', 'Archie', 'PROPN', 'PERSON', 'compound'), ('#', '#', 'SYM', '', 'attr'), (' ', ' ', 'SPACE', '', ''), ('have', 'have', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'compound'), ('ID', 'ID', 'PROPN', '', 'compound'), ('number', 'number', 'NOUN', '', 'dobj'), ('please', 'please', 'INTJ', '', 'intj'), (' ', ' ', 'SPACE', '', '')]",Archie,,,My name is,,,Mastered
5,2,#  # .                                                                                                                                                                                                                                                                                                                           ,#  # .                                                                                                                                                                                                                                                                                                                           ,,,"[('#', '#', 'SYM', 'MONEY', 'det'), (' ', ' ', 'SPACE', 'MONEY', ''), ('#', '#', 'X', 'MONEY', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
5,2,# ,#,,,"[('#', '#', 'SYM', 'CARDINAL', 'ROOT')]",,,,,,,Mastered
6,1,Welcome to Australia post load and go support my name's Archie #  I have your card ID number please.                                                                                                                                                                                                                                ,"Welcome to Australia post load and go support my name's Archie #  ,I have your card ID number please.                                                                                                                                                                                                                                ","Australia,post load,I,your card ID number",,"[('Welcome', 'welcome', 'VERB', '', 'ROOT'), ('to', 'to', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'GPE', 'pobj'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'VERB', '', 'advcl'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'poss'), (""'s"", ""'s"", 'PART', '', 'case'), ('Archie', 'Archie', 'PROPN', 'PERSON', 'compound'), ('#', '#', 'SYM', '', 'dobj'), (' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'compound'), ('ID', 'ID', 'PROPN', '', 'compound'), ('number', 'number', 'NOUN', '', 'dobj'), ('please', 'please', 'INTJ', '', 'intj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Archie,,,name,Welcome to,,Mastered
6,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,Yeah.                                                                                                                                                                                                                                                                                                                                ,,,"[('Yeah', 'yeah', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
6,2,#  # .                                                                                                                                                                                                                                                                                                                            ,#  # .                                                                                                                                                                                                                                                                                                                            ,,,"[('#', '#', 'SYM', 'MONEY', 'nmod'), (' ', ' ', 'SPACE', 'MONEY', ''), ('#', '#', 'X', 'MONEY', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
6,1,I'm sorry can I have the #  in the back please it is the #                                                                                                                                                                                                                                                                         ,"I'm sorry can I have the #  in the back,please it is the #                                                                                                                                                                                                                                                                         ","I,I,the back,it",,"[('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'ROOT'), ('sorry', 'sorry', 'ADJ', '', 'acomp'), ('can', 'can', 'VERB', '', 'aux'), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'ccomp'), ('the', 'the', 'DET', '', 'det'), ('#', '#', 'SYM', '', 'dobj'), (' ', ' ', 'SPACE', '', ''), ('in', 'in', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('back', 'back', 'NOUN', '', 'pobj'), ('please', 'please', 'INTJ', '', 'intj'), ('it', '-PRON-', 'PRON', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('the', 'the', 'DET', '', 'det'), ('#', '#', 'SYM', '', 'attr'), (' ', ' ', 'SPACE', '', '')]",,,,It is,,Can I,Mastered
7,1,Hello.                                                                                                                                                                                                                                                                                                                               ,Hello.                                                                                                                                                                                                                                                                                                                               ,,,"[('Hello', 'hello', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Hello,,,,Mastered
7,2,Hi Lucy this is Omar from Australia post load and go support.                                                                                                                                                                                                                                                                        ,"Hi Lucy,this is Omar from Australia post load and go support.                                                                                                                                                                                                                                                                        ","Australia,support",,"[('Hi', 'hi', 'INTJ', '', 'ROOT'), ('Lucy', 'Lucy', 'PROPN', 'PERSON', 'npadvmod'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Omar', 'Omar', 'PROPN', 'PERSON', 'nmod'), ('from', 'from', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'GPE', 'pobj'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'attr'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]","Lucy,Omar",,Hi,This is,"This is,from",,Mastered
7,2,I'm calling you in regards to the reissue of your card.                                                                                                                                                                                                                                                                              ,I'm calling you in regards to the reissue of your card.                                                                                                                                                                                                                                                                              ,"I,you,regards,the reissue,your card",,"[('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'aux'), ('calling', 'call', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('in', 'in', 'ADP', '', 'prep'), ('regards', 'regard', 'NOUN', '', 'pobj'), ('to', 'to', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('reissue', 'reissue', 'NOUN', '', 'pobj'), ('of', 'of', 'ADP', '', 'prep'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,calling,,Mastered
7,1,Oh yes                                                                                                                                                                                                                                                                                                                               ,Oh yes                                                                                                                                                                                                                                                                                                                               ,,,"[('Oh', 'oh', 'INTJ', '', 'ROOT'), ('yes', 'yes', 'INTJ', '', 'intj'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
8,1,Hello.                                                                                                                                                                                                                                                                                                                               ,Hello.                                                                                                                                                                                                                                                                                                                               ,,,"[('Hello', 'hello', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Hello,,,,Mastered
8,2,Hello Fiona this is Omar from Australia post loading go support how are you doing today.                                                                                                                                                                                                                                             ,"Hello Fiona,this is Omar from Australia,post loading go support how are you doing today.                                                                                                                                                                                                                                             ","Hello Fiona,Omar,Australia,post loading,support,you",,"[('Hello', 'hello', 'INTJ', '', 'intj'), ('Fiona', 'Fiona', 'PROPN', 'GPE', 'ROOT'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('Omar', 'Omar', 'PROPN', 'PERSON', 'attr'), ('from', 'from', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'GPE', 'pobj'), ('post', 'post', 'NOUN', '', 'compound'), ('loading', 'loading', 'NOUN', '', 'nsubj'), ('go', 'go', 'VERB', '', 'ROOT'), ('support', 'support', 'NOUN', '', 'dobj'), ('how', 'how', 'ADV', '', 'advmod'), ('are', 'be', 'VERB', '', 'aux'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('doing', 'do', 'VERB', '', 'relcl'), ('today', 'today', 'NOUN', 'DATE', 'npadvmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Omar,,"Hello,How are you doing",This is,"This is,from",,Mastered
8,1,Yeah I'm good thank you.                                                                                                                                                                                                                                                                                                             ,Yeah I'm good thank you.                                                                                                                                                                                                                                                                                                             ,"I,you",,"[('Yeah', 'yeah', 'INTJ', '', 'intj'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'ROOT'), ('good', 'good', 'ADJ', '', 'acomp'), ('thank', 'thank', 'VERB', '', 'advcl'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
8,2,Thank you very much so.                                                                                                                                                                                                                                                                                                              ,Thank you very much so.                                                                                                                                                                                                                                                                                                              ,you,,"[('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('very', 'very', 'ADV', '', 'advmod'), ('much', 'much', 'ADV', '', 'advmod'), ('so', 'so', 'ADV', '', 'advmod'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
9,1,Hi.                                                                                                                                                                                                                                                                                                                                  ,Hi.                                                                                                                                                                                                                                                                                                                                  ,,,"[('Hi', 'hi', 'INTJ', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,Hi,,,,Mastered
9,1,The person you have a called is not available please leave a short #  seconds message after the tone.                                                                                                                                                                                                                                ,The person you have a called is not available please leave a short #  seconds message after the tone.                                                                                                                                                                                                                                ,"The person,you,message,the tone",,"[('The', 'the', 'DET', '', 'det'), ('person', 'person', 'NOUN', '', 'nsubj'), ('you', '-PRON-', 'PRON', '', 'nsubj'), ('have', 'have', 'VERB', '', 'relcl'), ('a', 'a', 'DET', '', 'det'), ('called', 'call', 'VERB', '', 'dobj'), ('is', 'be', 'VERB', '', 'ROOT'), ('not', 'not', 'ADV', '', 'neg'), ('available', 'available', 'ADJ', '', 'acomp'), ('please', 'please', 'INTJ', '', 'intj'), ('leave', 'leave', 'VERB', '', 'conj'), ('a', 'a', 'DET', 'MONEY', 'det'), ('short', 'short', 'ADJ', 'MONEY', 'amod'), ('#', '#', 'SYM', 'MONEY', 'dobj'), (' ', ' ', 'SPACE', 'MONEY', ''), ('seconds', 'second', 'NOUN', 'MONEY', 'dep'), ('message', 'message', 'NOUN', '', 'dobj'), ('after', 'after', 'ADP', '', 'prep'), ('the', 'the', 'DET', '', 'det'), ('tone', 'tone', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,called,,Mastered
9,1,And we will send the message as a text.                                                                                                                                                                                                                                                                                                ,And we will send the message as a text.                                                                                                                                                                                                                                                                                                ,"we,the message,a text",,"[('And', 'and', 'CCONJ', '', 'cc'), ('we', '-PRON-', 'PRON', '', 'nsubj'), ('will', 'will', 'VERB', '', 'aux'), ('send', 'send', 'VERB', '', 'ROOT'), ('the', 'the', 'DET', '', 'det'), ('message', 'message', 'NOUN', '', 'dobj'), ('as', 'as', 'ADP', '', 'prep'), ('a', 'a', 'DET', '', 'det'), ('text', 'text', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",,,,,,,Mastered
9,2,Hey Alison this is ghulam I'm calling from Australia post load and go support.                                                                                                                                                                                                                                                       ,Hey Alison this is ghulam I'm calling from Australia post load and go support.                                                                                                                                                                                                                                                       ,"ghulam,I,Australia,post load,support",,"[('Hey', 'Hey', 'PROPN', '', 'intj'), ('Alison', 'Alison', 'PROPN', 'PERSON', 'npadvmod'), ('this', 'this', 'DET', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('ghulam', 'ghulam', 'NOUN', '', 'attr'), ('I', '-PRON-', 'PRON', '', 'nsubj'), (""'m"", 'be', 'VERB', '', 'aux'), ('calling', 'call', 'VERB', '', 'relcl'), ('from', 'from', 'ADP', '', 'prep'), ('Australia', 'Australia', 'PROPN', 'GPE', 'pobj'), ('post', 'post', 'NOUN', '', 'compound'), ('load', 'load', 'NOUN', '', 'dobj'), ('and', 'and', 'CCONJ', '', 'cc'), ('go', 'go', 'VERB', '', 'conj'), ('support', 'support', 'NOUN', '', 'dobj'), ('.', '.', 'PUNCT', '', 'punct'), (' ', ' ', 'SPACE', '', '')]",Alison,,Hey,This is,"This is,calling,from",,Mastered
10,0, Thank you for calling direct express card services my name is merry #  have your name please.," Thank you for calling direct express card services my name is merry,#  have your name please.","you,direct express card services,my name,your name",,"[(' ', ' ', 'SPACE', '', ''), ('Thank', 'thank', 'VERB', '', 'advcl'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('direct', 'direct', 'ADJ', '', 'amod'), ('express', 'express', 'ADJ', '', 'amod'), ('card', 'card', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'dobj'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('is', 'be', 'VERB', '', 'ROOT'), ('merry', 'merry', 'ADJ', '', 'acomp'), ('#', '#', 'SYM', '', 'dep'), (' ', ' ', 'SPACE', '', ''), ('have', 'have', 'VERB', '', 'ROOT'), ('your', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'nsubj'), ('please', 'please', 'INTJ', '', 'ccomp'), ('.', '.', 'PUNCT', '', 'punct')]",,,,"My name is,name",Thank you for calling,,Did not demonstrate
10,2, Hello my name L. hay Seuss., Hello my name L. hay Seuss.,"my name,L. hay Seuss",,"[(' ', ' ', 'SPACE', '', ''), ('Hello', 'hello', 'INTJ', '', 'ROOT'), ('my', '-PRON-', 'DET', '', 'poss'), ('name', 'name', 'NOUN', '', 'pobj'), ('L.', 'L.', 'PROPN', 'PERSON', 'compound'), ('hay', 'hay', 'NOUN', '', 'compound'), ('Seuss', 'Seuss', 'PROPN', 'PERSON', 'appos'), ('.', '.', 'PUNCT', '', 'punct')]","L.,Seuss",,Hello,name,,,Did not demonstrate
10,0, The last #  digits of your card number., The last #  digits of your card number.," The last #  digits,your card number",,"[(' ', ' ', 'SPACE', '', ''), ('The', 'the', 'DET', '', 'det'), ('last', 'last', 'ADJ', '', 'amod'), ('#', '#', 'SYM', '', 'nmod'), (' ', ' ', 'SPACE', '', ''), ('digits', 'digit', 'NOUN', '', 'ROOT'), ('of', 'of', 'ADP', '', 'prep'), ('your', '-PRON-', 'DET', '', 'poss'), ('card', 'card', 'NOUN', '', 'compound'), ('number', 'number', 'NOUN', '', 'pobj'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Did not demonstrate
10,2, Zero #  #  # ., Zero #  #  # .,,,"[(' ', ' ', 'SPACE', '', ''), ('Zero', 'Zero', 'PROPN', '', 'nmod'), ('#', '#', 'NOUN', '', 'nmod'), (' ', ' ', 'SPACE', '', ''), ('#', '#', 'NOUN', '', 'nmod'), (' ', ' ', 'SPACE', '', ''), ('#', '#', 'X', '', 'ROOT'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Did not demonstrate
11,0, Thank you for calling direct., Thank you for calling direct.,you,,"[(' ', ' ', 'SPACE', '', ''), ('Thank', 'thank', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('for', 'for', 'ADP', '', 'prep'), ('calling', 'call', 'VERB', '', 'pcomp'), ('direct', 'direct', 'ADV', '', 'oprd'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,Thank you for calling,,Mastered
11,0, Express card services this town how #  I help you today.," Express card services this town,how #  I help you today."," Express card services,this town,I,you",,"[(' ', ' ', 'SPACE', '', ''), ('Express', 'Express', 'PROPN', '', 'compound'), ('card', 'card', 'NOUN', '', 'compound'), ('services', 'service', 'NOUN', '', 'ROOT'), ('this', 'this', 'DET', '', 'det'), ('town', 'town', 'NOUN', '', 'dobj'), ('how', 'how', 'ADV', '', 'advmod'), ('#', '#', 'SYM', '', 'npadvmod'), (' ', ' ', 'SPACE', '', ''), ('I', '-PRON-', 'PRON', '', 'nsubj'), ('help', 'help', 'VERB', '', 'ROOT'), ('you', '-PRON-', 'PRON', '', 'dobj'), ('today', 'today', 'NOUN', 'DATE', 'npadvmod'), ('.', '.', 'PUNCT', '', 'punct')]",,,,,,,Mastered
