ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl
22150273269432857,1,89,98,Okay thank you so much let me go ahead and pull up the account one moment.                                                                                                                                                                                                                                                           
22150273269432857,2,104,113,Okay.                                                                                                                                                                                                                                                                                                                                
22150273269432857,1,123,132,Can I have the access code please it's the six digit number you nominate.                                                                                                                                                                                                                                                            
22150273269432857,1,138,145,When you purchase the card.                                                                                                                                                                                                                                                                                                          
22150273269432857,2,148,154,0 22121.                                                                                                                                                                                                                                                                                                                             
22150273269432857,1,163,165,Thank you so much and how can help you today Tammy.                                                                                                                                                                                                                                                                                  
22150273269432857,2,171,181,Ah Yes.                                                                                                                                                                                                                                                                                                                              
22150273269432857,2,183,186,Oh I realize I hadn't changed.                                                                                                                                                                                                                                                                                                       
22150273269432857,2,195,202,I updated my address.                                                                                                                                                                                                                                                                                                                
22150273269432857,2,210,217,So when the cards renewed it's going to my old address                                                                                                                                                                                                                                                                               
22150273269432857,1,222,229,I'm so sorry for that but let me verify your address is it still 2022.                                                                                                                                                                                                                                                               
22150273269432857,1,238,247,Pauler up                                                                                                                                                                                                                                                                                                                            
22150273269432857,1,252,254,Grover Waikiki western Australia 6169.                                                                                                                                                                                                                                                                                               
22150273269432857,2,260,268,That's the new address I just changed it today.                                                                                                                                                                                                                                                                                      
22150273269432857,1,274,280,Okay so I can see here.                                                                                                                                                                                                                                                                                                              
22150273269432857,1,284,288,The new card is already in transit.                                                                                                                                                                                                                                                                                                  
22150273269432857,1,291,297,You should be able to receive that one either tomorrow or the next couple of days.                                                                                                                                                                                                                                                   
22150273269432857,2,304,311,So even though I've only just changed it like 20 minutes ago to come to this address now.                                                                                                                                                                                                                                            
22150273269432857,2,313,317,We'll have to go to look came back.                                                                                                                                                                                                                                                                                                  
22150273269432857,1,320,325,No no no definitely able to go through to that address because our personal will actually check from time to time.                                                                                                                                                                                                                   
22150273269432857,1,326,332,Um the address.                                                                                                                                                                                                                                                                                                                      
22150273269432857,1,337,340,If it's already up                                                                                                                                                                                                                                                                                                                   
22150273269432857,2,344,353,oh thanks.                                                                                                                                                                                                                                                                                                                           
22150273269432857,1,361,363,Okay.                                                                                                                                                                                                                                                                                                                                
22150273269432857,2,371,372,Oh great.                                                                                                                                                                                                                                                                                                                            
22150273269432857,2,376,379,Thank you so much.                                                                                                                                                                                                                                                                                                                   
22150273269432857,1,381,383,You're very welcome Tammy.                                                                                                                                                                                                                                                                                                           
22150273269432857,1,391,398,Thank you for calling Australia post load and go support.                                                                                                                                                                                                                                                                            
22150273269432857,1,405,409,You have a wonderful day.                                                                                                                                                                                                                                                                                                            
22150273269432857,1,416,418,Bye-bye.                                                                                                                                                                                                                                                                                                                             
22150273269432857,2,422,431,You to.                                                                                                                                                                                                                                                                                                                              
22150273269432857,2,435,445,Bye.                                                                                                                                                                                                                                                                                                                                 
22150273269432857,2,453,461,Bye                                                                                                                                                                                                                                                                                                                                  
90150286763511567,1,1,2,Welcome to Australia post load and go support this is Matthew can I  please have your card ID number.                                                                                                                                                                                                                                
90150286763511567,2,5,13,Yes sure Matthew it's                                                                                                                                                                                                                                                                                                                
90150286763511567,1,14,23,2436
90150286763511567,1,27,30,Okay.                                                                                                                                                                                                                                                                                                                                
90150286763511567,2,32,35,3797
90150286763511567,2,43,49,Alright.                                                                                                                                                                                                                                                                                                                             
90150286763511567,2,54,60,228
90150286763511567,1,64,71,Five                                                                                                                                                                                                                                                                                                                                 
90150286763511567,2,79,87,7057
90150286763511567,1,94,101,Thank you.                                                                                                                                                                                                                                                                                                                           
90150286763511567,1,102,104,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           
90150286763511567,1,114,122,Alright.                                                                                                                                                                                                                                                                                                                             
90150286763511567,1,128,130,And can I get your name please.                                                                                                                                                                                                                                                                                                      
90150286763511567,2,135,136,Linda Johnson.                                                                                                                                                                                                                                                                                                                       
90150286763511567,1,141,143,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       
90150286763511567,2,150,154,Do I Tell you.                                                                                                                                                                                                                                                                                                                       
90150286763511567,1,164,173,Yes please                                                                                                                                                                                                                                                                                                                           
90150286763511567,2,182,184,or you 310877.                                                                                                                                                                                                                                                                                                                       
90150286763511567,1,192,196,Perfect.                                                                                                                                                                                                                                                                                                                             
90150286763511567,1,204,211,So I can I help you today.                                                                                                                                                                                                                                                                                                           
90150286763511567,2,214,222,I put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               
90150286763511567,1,224,233,Just give me a second.                                                                                                                                                                                                                                                                                                               
90150286763511567,1,242,243,I saw that go through yeah that went through on the 15th.                                                                                                                                                                                                                                                                            
90150286763511567,2,245,247,yep the 800 was it.                                                                                                                                                                                                                                                                                                                  
90150286763511567,1,256,258,Yes $800 and has it been                                                                                                                                                                                                                                                                                                             
90150286763511567,2,262,268,Something else taking out of that apart from the IG stuff it's been over a $600 amount taking out from booked holiday house and I'm wondering if that's come out to because                                                                                                                                                          
90150286763511567,1,276,286,Stays.                                                                                                                                                                                                                                                                                                                               
90150286763511567,1,289,293,'s Bob and stop .                                                                                                                                                                                                                                                                                                                    
90150286763511567,1,294,303,Five 7120                                                                                                                                                                                                                                                                                                                            
90150286763511567,2,308,314,Five 7121 did that come out yesterday.                                                                                                                                                                                                                                                                                               
90150286763511567,1,319,324,that came out                                                                                                                                                                                                                                                                                                                        
90150286763511567,1,333,342,Interesting.                                                                                                                                                                                                                                                                                                                         
90150286763511567,1,349,351,A 09 hours later.                                                                                                                                                                                                                                                                                                                    
90150286763511567,1,359,362,So yes.                                                                                                                                                                                                                                                                                                                              
90150286763511567,1,365,371,Yet                                                                                                                                                                                                                                                                                                                                  
90150286763511567,2,380,383,From space.                                                                                                                                                                                                                                                                                                                          
90150286763511567,2,393,401,Yeah.                                                                                                                                                                                                                                                                                                                                
90150286763511567,2,405,410,Yeah.                                                                                                                                                                                                                                                                                                                                
90150286763511567,2,411,417,So that did go out.                                                                                                                                                                                                                                                                                                                  
90150286763511567,2,419,423,Okay thank you very much that that's all I need tonight.                                                                                                                                                                                                                                                                             
90150286763511567,1,433,436,Alright perfect is there anything else I can assist today.                                                                                                                                                                                                                                                                           
90150286763511567,2,439,448,no thats all  thanks Matthew                                                                                                                                                                                                                                                                                                         
90150286763511567,1,454,463,Okay and thank you for calling Australia post laod and go support I hope you have a great vacation                                                                                                                                                                                                                                   
90150286763511567,2,464,465,yeah.                                                                                                                                                                                                                                                                                                                                
90150286763511567,2,466,473,Thank you you too bye-bye.                                                                                                                                                                                                                                                                                                           
90150286763511567,1,483,486,Alright thanks bye.                                                                                                                                                                                                                                                                                                                  
90150286763511567,2,496,504,Yeah                                                                                                                                                                                                                                                                                                                                 
22150273269432938,1,1,3,But my thing.                                                                                                                                                                                                                                                                                                                        
22150273269432938,2,12,18,Welcome to australia post load and go support this is Matthew.                                                                                                                                                                                                                                                                       
22150273269432938,2,28,35,May I Please have your card ID number                                                                                                                                                                                                                                                                                                
22150273269432938,1,45,50,2436
22150273269432938,2,54,62,Okay.                                                                                                                                                                                                                                                                                                                                
22150273269432938,1,71,72,3797
22150273269432938,2,75,83,Okay.                                                                                                                                                                                                                                                                                                                                
